stem,kind,category,route,mask_area_frac,confidence,soft_edge_frac,runtime_s,crop_w,crop_h,src_w,src_h,reason_codes,failed,target,src_path
p001,duo_sweep,,duo_biref_multiclass,0.075,0.879,0.03931,1.9,226,632,682,1024,birefnet_cached;subject_frac=0.09;clothes_conf=0.88;head_frac=0.009;hair_frac=0.006;skin_frac=0.010;select_region=off;noface_frac=0.09;soft_frac=0.0393;svg_paths=1;bbox=226x632;runtime_s=1.9,False,,test_set/people/p001.jpg
p002,duo_sweep,,duo_biref_multiclass,0.1152,0.825,0.03693,0.4,277,779,682,1024,birefnet_cached;subject_frac=0.14;clothes_conf=0.83;head_frac=0.010;hair_frac=0.003;skin_frac=0.018;select_region=off;noface_frac=0.13;soft_frac=0.0369;svg_paths=1;bbox=277x779;runtime_s=0.4,False,,test_set/people/p002.jpg
p003,duo_sweep,,duo_biref_multiclass,0.1447,0.881,0.0311,0.7,316,766,706,1024,birefnet_cached;subject_frac=0.19;clothes_conf=0.88;head_frac=0.013;hair_frac=0.007;skin_frac=0.031;select_region=off;noface_frac=0.18;soft_frac=0.0311;svg_paths=1;bbox=316x766;runtime_s=0.7,False,,test_set/people/p003.jpg
p004,duo_sweep,,duo_biref_multiclass,0.0717,0.883,0.02927,0.4,262,453,1024,682,birefnet_cached;subject_frac=0.10;clothes_conf=0.88;head_frac=0.012;hair_frac=0.003;skin_frac=0.019;select_region=off;noface_frac=0.09;soft_frac=0.0293;svg_paths=1;bbox=262x453;runtime_s=0.4,False,,test_set/people/p004.jpg
p005,duo_sweep,,duo_biref_multiclass,0.145,0.579,0.02501,0.5,501,763,682,1024,birefnet_cached;subject_frac=0.18;clothes_conf=0.58;head_frac=0.010;hair_frac=0.005;skin_frac=0.021;select_region=off;noface_frac=0.17;soft_frac=0.0250;svg_paths=2;bbox=501x763;runtime_s=0.5,False,,test_set/people/p005.jpg
p006,duo_sweep,,duo_biref_multiclass,0.0757,0.761,0.0375,0.4,239,653,682,1024,birefnet_cached;subject_frac=0.09;clothes_conf=0.76;head_frac=0.003;hair_frac=0.000;skin_frac=0.010;select_region=off;noface_frac=0.09;soft_frac=0.0375;svg_paths=2;bbox=239x653;runtime_s=0.4,False,,test_set/people/p006.jpg
p007,duo_sweep,,duo_biref_multiclass,0.3362,0.888,0.01839,0.5,620,938,682,1024,birefnet_cached;subject_frac=0.48;clothes_conf=0.89;head_frac=0.057;hair_frac=0.020;skin_frac=0.087;select_region=off;noface_frac=0.42;soft_frac=0.0184;svg_paths=1;bbox=620x938;runtime_s=0.5,False,,test_set/people/p007.jpg
p008,duo_sweep,,duo_biref_multiclass,0.1909,0.688,0.0284,0.5,422,767,768,1024,birefnet_cached;subject_frac=0.23;clothes_conf=0.69;head_frac=0.013;hair_frac=0.003;skin_frac=0.027;select_region=off;noface_frac=0.22;soft_frac=0.0284;svg_paths=1;bbox=422x767;runtime_s=0.5,False,,test_set/people/p008.jpg
p009,duo_sweep,,duo_biref_multiclass,0.1813,0.883,0.02508,0.4,376,897,682,1024,birefnet_cached;subject_frac=0.26;clothes_conf=0.88;head_frac=0.030;hair_frac=0.017;skin_frac=0.045;select_region=off;noface_frac=0.23;soft_frac=0.0251;svg_paths=1;bbox=376x897;runtime_s=0.4,False,,test_set/people/p009.jpg
p010,duo_sweep,,duo_biref_multiclass,0.1179,0.818,0.03598,0.4,253,810,683,1024,birefnet_cached;subject_frac=0.13;clothes_conf=0.82;head_frac=0.009;hair_frac=0.003;skin_frac=0.002;select_region=off;noface_frac=0.12;soft_frac=0.0360;svg_paths=1;bbox=253x810;runtime_s=0.4,False,,test_set/people/p010.jpg
p011,duo_sweep,,duo_biref_multiclass,0.334,0.82,0.03189,0.5,530,922,683,1024,birefnet_cached;subject_frac=0.40;clothes_conf=0.82;head_frac=0.027;hair_frac=0.000;skin_frac=0.042;select_region=off;noface_frac=0.38;soft_frac=0.0319;svg_paths=2;bbox=530x922;runtime_s=0.5,False,,test_set/people/p011.jpg
p012,duo_sweep,,duo_biref_multiclass,0.1224,0.832,0.0289,0.4,316,846,682,1024,birefnet_cached;subject_frac=0.16;clothes_conf=0.83;head_frac=0.026;hair_frac=0.021;skin_frac=0.008;select_region=off;noface_frac=0.13;soft_frac=0.0289;svg_paths=2;bbox=316x846;runtime_s=0.4,False,,test_set/people/p012.jpg
p013,duo_sweep,,duo_biref_multiclass,0.21,0.7,0.04973,0.4,491,660,1024,683,birefnet_cached;subject_frac=0.26;clothes_conf=0.70;head_frac=0.018;hair_frac=0.002;skin_frac=0.031;select_region=off;noface_frac=0.24;soft_frac=0.0497;svg_paths=1;bbox=491x660;runtime_s=0.4,False,,test_set/people/p013.jpg
p014,duo_sweep,,duo_biref_multiclass,0.2893,0.9,0.01731,0.5,586,996,682,1024,birefnet_cached;subject_frac=0.47;clothes_conf=0.90;head_frac=0.068;hair_frac=0.027;skin_frac=0.111;select_region=off;noface_frac=0.40;soft_frac=0.0173;svg_paths=1;bbox=586x996;runtime_s=0.5,False,,test_set/people/p014.jpg
p015,duo_sweep,,duo_biref_multiclass,0.4974,0.813,0.02652,0.6,643,1024,683,1024,birefnet_cached;subject_frac=0.64;clothes_conf=0.81;head_frac=0.073;hair_frac=0.001;skin_frac=0.073;select_region=off;noface_frac=0.57;soft_frac=0.0265;svg_paths=2;bbox=643x1024;runtime_s=0.6,False,,test_set/people/p015.jpg
p016,duo_sweep,,duo_biref_multiclass,0.0143,0.564,0.04107,0.4,195,424,682,1024,birefnet_cached;subject_frac=0.03;clothes_conf=0.56;head_frac=0.003;hair_frac=0.003;skin_frac=0.013;select_region=off;noface_frac=0.03;soft_frac=0.0411;svg_paths=3;bbox=195x424;runtime_s=0.4,True,,test_set/people/p016.jpg
p017,duo_sweep,,duo_biref_multiclass,0.2772,0.897,0.01907,0.5,403,958,682,1024,birefnet_cached;subject_frac=0.34;clothes_conf=0.90;head_frac=0.032;hair_frac=0.007;skin_frac=0.034;select_region=off;noface_frac=0.31;soft_frac=0.0191;svg_paths=1;bbox=403x958;runtime_s=0.5,False,,test_set/people/p017.jpg
p018,duo_sweep,,duo_biref_multiclass,0.2123,0.785,0.03251,0.4,315,857,682,1024,birefnet_cached;subject_frac=0.24;clothes_conf=0.79;head_frac=0.017;hair_frac=0.007;skin_frac=0.007;select_region=off;noface_frac=0.22;soft_frac=0.0325;svg_paths=2;bbox=315x857;runtime_s=0.4,False,,test_set/people/p018.jpg
p019,duo_sweep,,duo_biref_multiclass,0.2093,0.901,0.01619,0.4,481,683,1024,683,birefnet_cached;subject_frac=0.26;clothes_conf=0.90;head_frac=0.056;hair_frac=0.034;skin_frac=0.000;select_region=off;noface_frac=0.21;soft_frac=0.0162;svg_paths=1;bbox=481x683;runtime_s=0.4,False,,test_set/people/p019.jpg
p020,duo_sweep,,duo_biref_multiclass,0.2074,0.815,0.04319,0.5,381,798,819,1024,birefnet_cached;subject_frac=0.23;clothes_conf=0.81;head_frac=0.026;hair_frac=0.011;skin_frac=0.006;select_region=off;noface_frac=0.21;soft_frac=0.0432;svg_paths=2;bbox=381x798;runtime_s=0.5,False,,test_set/people/p020.jpg
p021,duo_sweep,,duo_biref_multiclass,0.1438,0.633,0.04643,0.5,506,757,684,1024,birefnet_cached;subject_frac=0.21;clothes_conf=0.63;head_frac=0.046;hair_frac=0.038;skin_frac=0.014;select_region=off;noface_frac=0.16;soft_frac=0.0464;svg_paths=1;bbox=506x757;runtime_s=0.5,False,,test_set/people/p021.jpg
p022,duo_sweep,,duo_biref_multiclass,0.0851,0.553,0.02343,0.4,551,405,682,1024,birefnet_cached;subject_frac=0.11;clothes_conf=0.55;head_frac=0.009;hair_frac=0.004;skin_frac=0.017;select_region=off;noface_frac=0.10;soft_frac=0.0234;svg_paths=1;bbox=551x405;runtime_s=0.4,False,,test_set/people/p022.jpg
p023,duo_sweep,,duo_biref_multiclass,0.1836,0.254,0.02823,0.5,554,892,682,1024,birefnet_cached;subject_frac=0.39;clothes_conf=0.25;head_frac=0.075;hair_frac=0.064;skin_frac=0.128;select_region=off;noface_frac=0.31;soft_frac=0.0282;svg_paths=2;bbox=554x892;runtime_s=0.5,False,,test_set/people/p023.jpg
p024,duo_sweep,,duo_biref_multiclass,0.2884,0.793,0.02955,0.5,569,801,682,1024,birefnet_cached;subject_frac=0.37;clothes_conf=0.79;head_frac=0.033;hair_frac=0.002;skin_frac=0.043;select_region=off;noface_frac=0.33;soft_frac=0.0295;svg_paths=1;bbox=569x801;runtime_s=0.5,False,,test_set/people/p024.jpg
p025,duo_sweep,,duo_biref_multiclass,0.0941,0.678,0.02948,0.5,344,728,731,1024,birefnet_cached;subject_frac=0.10;clothes_conf=0.68;head_frac=0.006;hair_frac=0.003;skin_frac=0.000;select_region=off;noface_frac=0.09;soft_frac=0.0295;svg_paths=1;bbox=344x728;runtime_s=0.5,False,,test_set/people/p025.jpg
p026,duo_sweep,,duo_biref_multiclass,0.1331,0.587,0.02959,0.5,536,842,682,1024,birefnet_cached;subject_frac=0.16;clothes_conf=0.59;head_frac=0.011;hair_frac=0.008;skin_frac=0.013;select_region=off;noface_frac=0.15;soft_frac=0.0296;svg_paths=2;bbox=536x842;runtime_s=0.5,False,,test_set/people/p026.jpg
p027,duo_sweep,,duo_biref_multiclass,0.1954,0.829,0.02805,0.7,532,789,1024,1024,birefnet_cached;subject_frac=0.25;clothes_conf=0.83;head_frac=0.011;hair_frac=0.003;skin_frac=0.040;select_region=off;noface_frac=0.24;soft_frac=0.0281;svg_paths=2;bbox=532x789;runtime_s=0.7,False,,test_set/people/p027.jpg
p028,duo_sweep,,duo_biref_multiclass,0.1812,0.857,0.03577,0.4,443,683,1024,683,birefnet_cached;subject_frac=0.23;clothes_conf=0.86;head_frac=0.036;hair_frac=0.027;skin_frac=0.013;select_region=off;noface_frac=0.20;soft_frac=0.0358;svg_paths=1;bbox=443x683;runtime_s=0.4,False,,test_set/people/p028.jpg
p029,duo_sweep,,duo_biref_multiclass,0.1927,0.787,0.02532,0.5,587,656,1024,683,birefnet_cached;subject_frac=0.29;clothes_conf=0.79;head_frac=0.035;hair_frac=0.015;skin_frac=0.065;select_region=off;noface_frac=0.26;soft_frac=0.0253;svg_paths=2;bbox=587x656;runtime_s=0.5,False,,test_set/people/p029.jpg
