set_id,person,garment_source,arm,rank,tier,counted
"ts2_11","dualuse_emma_watson_black_blazer_armscrossed","dualuse_man_black_suit_studio_nonceleb","control","1","top","yes"
"ts2_11","dualuse_emma_watson_black_blazer_armscrossed","dualuse_man_black_suit_studio_nonceleb","QX_qwen_p1","2","top","yes"
"ts2_11","dualuse_emma_watson_black_blazer_armscrossed","dualuse_man_black_suit_studio_nonceleb","BC_klein","3","top","yes"
"ts2_11","dualuse_emma_watson_black_blazer_armscrossed","dualuse_man_black_suit_studio_nonceleb","BALD_raw","4","top","yes"
"ts2_11","dualuse_emma_watson_black_blazer_armscrossed","dualuse_man_black_suit_studio_nonceleb","D1hO","5","top","yes"
"ts2_11","dualuse_emma_watson_black_blazer_armscrossed","dualuse_man_black_suit_studio_nonceleb","D2O","6","top","yes"
"ts2_11","dualuse_emma_watson_black_blazer_armscrossed","dualuse_man_black_suit_studio_nonceleb","D3O","7","top","yes"
"ts2_11","dualuse_emma_watson_black_blazer_armscrossed","dualuse_man_black_suit_studio_nonceleb","D1hB","8","top","yes"
"ts2_11","dualuse_emma_watson_black_blazer_armscrossed","dualuse_man_black_suit_studio_nonceleb","D2B","9","top","yes"
"ts2_11","dualuse_emma_watson_black_blazer_armscrossed","dualuse_man_black_suit_studio_nonceleb","D3B","10","top","yes"
"ts2_12","dualuse_man_black_suit_studio_nonceleb","dualuse_hugh_jackman_grey_suit_outdoor","QX_qwen_p1","1","top","yes"
"ts2_12","dualuse_man_black_suit_studio_nonceleb","dualuse_hugh_jackman_grey_suit_outdoor","D3B","2","top","yes"
"ts2_12","dualuse_man_black_suit_studio_nonceleb","dualuse_hugh_jackman_grey_suit_outdoor","control","3","top","yes"
"ts2_12","dualuse_man_black_suit_studio_nonceleb","dualuse_hugh_jackman_grey_suit_outdoor","BC_klein","4","top","yes"
"ts2_12","dualuse_man_black_suit_studio_nonceleb","dualuse_hugh_jackman_grey_suit_outdoor","D1hO","5","top","yes"
"ts2_12","dualuse_man_black_suit_studio_nonceleb","dualuse_hugh_jackman_grey_suit_outdoor","D2O","6","top","yes"
"ts2_12","dualuse_man_black_suit_studio_nonceleb","dualuse_hugh_jackman_grey_suit_outdoor","D3O","7","top","yes"
"ts2_12","dualuse_man_black_suit_studio_nonceleb","dualuse_hugh_jackman_grey_suit_outdoor","D1hB","8","top","yes"
"ts2_12","dualuse_man_black_suit_studio_nonceleb","dualuse_hugh_jackman_grey_suit_outdoor","D2B","9","top","yes"
"ts2_12","dualuse_man_black_suit_studio_nonceleb","dualuse_hugh_jackman_grey_suit_outdoor","BALD_raw","10","out","no"
"p015+p007","p015","p007","QX_qwen_p1","1","top","yes"
"p015+p007","p015","p007","BC_klein","2","mid","yes"
"p015+p007","p015","p007","D2B","3","mid","yes"
"p015+p007","p015","p007","control","4","mid","yes"
"p015+p007","p015","p007","D1hB","5","mid","yes"
"p015+p007","p015","p007","D3B","6","mid","yes"
"p015+p007","p015","p007","D1hO","7","out","no"
