"set_id","condition","person","garment","arm","order_position","generations_cumulative","my_verdict","ships","gate_score","gate_weakest","chk_degenerate","chk_noop","chk_people","chk_identity","chk_background","amt_tier","phead_verdict"
"ts2_11","low","dualuse_emma_watson_black_blazer_armscrossed","dualuse_man_black_suit_studio_nonceleb","PHEAD","1","1","usable","1","0.6010","noop","1","0.601","1","1","0.718","perfect","perfect"
"ts2_11","low","dualuse_emma_watson_black_blazer_armscrossed","dualuse_man_black_suit_studio_nonceleb","BC_klein","2","3","usable","0","0.6350","noop","1","0.635","1","1","0.721","perfect","perfect"
"ts2_11","low","dualuse_emma_watson_black_blazer_armscrossed","dualuse_man_black_suit_studio_nonceleb","QX_qwen_p1","3","5","usable","0","0.5850","noop","1","0.585","1","1","0.749","perfect","perfect"
"ts2_12","low","dualuse_man_black_suit_studio_nonceleb","dualuse_hugh_jackman_grey_suit_outdoor","PHEAD","1","1","usable","1","0.5080","noop","1","0.508","1","1","1","perfect","perfect"
"ts2_12","low","dualuse_man_black_suit_studio_nonceleb","dualuse_hugh_jackman_grey_suit_outdoor","BC_klein","2","3","usable","0","0.5290","noop","1","0.529","1","1","1","perfect","perfect"
"ts2_12","low","dualuse_man_black_suit_studio_nonceleb","dualuse_hugh_jackman_grey_suit_outdoor","QX_qwen_p1","3","5","usable","0","0.4710","noop","1","0.471","1","1","1","perfect","perfect"
"p015+p007","low","p015","p007","PHEAD","1","1","usable","1","0.0000","background","0.418","1","1","1","0","perfect","perfect"
"p015+p007","low","p015","p007","BC_klein","2","3","unusable","0","0.0000","background","0.277","1","1","1","0","ok","perfect"
"p015+p007","low","p015","p007","QX_qwen_p1","3","5","usable","0","0.0000","background","0.309","1","1","1","0","perfect","perfect"
"dualuse_man_black_suit_studio_nonceleb+dualuse_woman_top_denim_skirt_nonceleb","low","dualuse_man_black_suit_studio_nonceleb","dualuse_woman_top_denim_skirt_nonceleb","PHEAD","1","1","unusable","0","0.9410","noop","1","0.941","1","1","1","fail","fail"
"dualuse_man_black_suit_studio_nonceleb+dualuse_woman_top_denim_skirt_nonceleb","low","dualuse_man_black_suit_studio_nonceleb","dualuse_woman_top_denim_skirt_nonceleb","BC_klein","2","3","usable","1","0.9140","noop","1","0.914","1","1","1","perfect","fail"
"dualuse_man_black_suit_studio_nonceleb+dualuse_woman_top_denim_skirt_nonceleb","low","dualuse_man_black_suit_studio_nonceleb","dualuse_woman_top_denim_skirt_nonceleb","QX_qwen_p1","3","5","unusable","0","0.6950","noop","0.947","0.695","1","1","1","ok","fail"
"p011+p003","low","p011","p003","PHEAD","1","1","usable","1","1.0000","degenerate","1","1","1","1","0.913","perfect","perfect"
"p011+p003","low","p011","p003","BC_klein","2","3","usable","0","1.0000","degenerate","1","1","1","1","0.938","perfect","perfect"
"p011+p003","low","p011","p003","QX_qwen_p1","3","5","unusable","0","0.8280","degenerate","0.828","1","1","1","0.969","ok","perfect"
"p015+p002","low","p015","p002","PHEAD","1","1","usable","1","0.3450","degenerate","0.345","1","1","1","0.411","perfect","perfect"
"p015+p002","low","p015","p002","BC_klein","2","3","usable","0","0.3440","degenerate","0.344","1","1","1","0.399","perfect","perfect"
"p015+p002","low","p015","p002","QX_qwen_p1","3","5","usable","0","0.2440","degenerate","0.244","1","1","1","0.413","perfect","perfect"
"dualuse_lp_beige_long_coat_menswear+dualuse_scarlett_johansson_black_dress_backview_night","low","dualuse_lp_beige_long_coat_menswear","dualuse_scarlett_johansson_black_dress_backview_night","PHEAD","1","1","unusable","0","1.0000","degenerate","1","1","1","1","1","ok","ok"
"dualuse_lp_beige_long_coat_menswear+dualuse_scarlett_johansson_black_dress_backview_night","low","dualuse_lp_beige_long_coat_menswear","dualuse_scarlett_johansson_black_dress_backview_night","BC_klein","2","3","unusable","0","1.0000","degenerate","1","1","1","1","1","ok","ok"
"dualuse_lp_beige_long_coat_menswear+dualuse_scarlett_johansson_black_dress_backview_night","low","dualuse_lp_beige_long_coat_menswear","dualuse_scarlett_johansson_black_dress_backview_night","QX_qwen_p1","3","5","usable","1","1.0000","degenerate","1","1","1","1","1","perfect","ok"
"dualuse_lp_floral_kimono_set+p008","low","dualuse_lp_floral_kimono_set","p008","PHEAD","1","1","usable","1","1.0000","degenerate","1","1","1","1","1","ok","ok"
"dualuse_lp_floral_kimono_set+p008","low","dualuse_lp_floral_kimono_set","p008","BC_klein","2","3","usable","0","1.0000","degenerate","1","1","1","1","1","perfect","ok"
"dualuse_lp_floral_kimono_set+p008","low","dualuse_lp_floral_kimono_set","p008","QX_qwen_p1","3","5","usable","0","1.0000","degenerate","1","1","1","1","1","perfect","ok"
"dualuse_man_black_suit_studio_nonceleb+dualuse_scarlett_johansson_black_dress_backview_night","low","dualuse_man_black_suit_studio_nonceleb","dualuse_scarlett_johansson_black_dress_backview_night","PHEAD","1","1","usable","1","0.6700","noop","1","0.67","1","1","1","perfect","perfect"
"dualuse_man_black_suit_studio_nonceleb+dualuse_scarlett_johansson_black_dress_backview_night","low","dualuse_man_black_suit_studio_nonceleb","dualuse_scarlett_johansson_black_dress_backview_night","BC_klein","2","3","usable","0","0.6260","noop","1","0.626","1","1","1","perfect","perfect"
"dualuse_man_black_suit_studio_nonceleb+dualuse_scarlett_johansson_black_dress_backview_night","low","dualuse_man_black_suit_studio_nonceleb","dualuse_scarlett_johansson_black_dress_backview_night","QX_qwen_p1","3","5","usable","0","0.5130","noop","1","0.513","1","1","1","ok","perfect"
"dualuse_hugh_jackman_grey_suit_outdoor+p007","low","dualuse_hugh_jackman_grey_suit_outdoor","p007","PHEAD","1","1","usable","1","1.0000","degenerate","1","1","1","1","1","perfect","perfect"
"dualuse_hugh_jackman_grey_suit_outdoor+p007","low","dualuse_hugh_jackman_grey_suit_outdoor","p007","BC_klein","2","3","usable","0","1.0000","degenerate","1","1","1","1","1","perfect","perfect"
"dualuse_hugh_jackman_grey_suit_outdoor+p007","low","dualuse_hugh_jackman_grey_suit_outdoor","p007","QX_qwen_p1","3","5","unusable","0","1.0000","degenerate","1","1","1","1","1","ok","perfect"
"dualuse_navy_peacoat_onmodel+p012","low","dualuse_navy_peacoat_onmodel","p012","PHEAD","1","1","unusable","0","0.7300","noop","0.802","0.73","1","1","1","ok","ok"
"dualuse_navy_peacoat_onmodel+p012","low","dualuse_navy_peacoat_onmodel","p012","BC_klein","2","3","unusable","0","0.7280","noop","0.822","0.728","1","1","1","ok","ok"
"dualuse_navy_peacoat_onmodel+p012","low","dualuse_navy_peacoat_onmodel","p012","QX_qwen_p1","3","5","usable","1","0.5860","noop","0.757","0.586","1","1","1","perfect","ok"
"p018+p016","low","p018","p016","PHEAD","1","1","unusable","0","0.6730","degenerate","0.673","1","1","1","1","fail","fail"
"p018+p016","low","p018","p016","BC_klein","2","3","unusable","0","0.4360","degenerate","0.436","1","1","1","1","ok","fail"
"p018+p016","low","p018","p016","QX_qwen_p1","3","5","usable","1","0.5400","degenerate","0.54","1","1","1","1","perfect","fail"
"p020+dualuse_hugh_jackman_grey_suit_outdoor","low","p020","dualuse_hugh_jackman_grey_suit_outdoor","PHEAD","1","1","usable","1","0.5000","people","1","0.942","0.45","1","0.931","perfect","perfect"
"p020+dualuse_hugh_jackman_grey_suit_outdoor","low","p020","dualuse_hugh_jackman_grey_suit_outdoor","BC_klein","2","3","usable","0","0.5000","people","1","0.961","0.45","1","0.901","perfect","perfect"
"p020+dualuse_hugh_jackman_grey_suit_outdoor","low","p020","dualuse_hugh_jackman_grey_suit_outdoor","QX_qwen_p1","3","5","unusable","0","0.5000","people","1","1","0.45","1","0.9","perfect","perfect"
"p017+p002","low","p017","p002","PHEAD","1","1","usable","1","0.5340","degenerate","0.534","1","1","1","1","perfect","perfect"
"p017+p002","low","p017","p002","BC_klein","2","3","usable","0","0.6020","degenerate","0.602","1","1","1","1","perfect","perfect"
"p017+p002","low","p017","p002","QX_qwen_p1","3","5","unusable","0","0.5600","degenerate","0.56","1","1","1","1","fail","perfect"
"p019+p010","low","p019","p010","PHEAD","1","1","usable","1","1.0000","degenerate","1","1","1","1","1","perfect","perfect"
"p019+p010","low","p019","p010","BC_klein","2","3","usable","0","0.9750","degenerate","0.975","1","1","1","1","perfect","perfect"
