set_id,person,garment_source,condition,arm,verdict
"ts2_11","dualuse_emma_watson_black_blazer_armscrossed","dualuse_man_black_suit_studio_nonceleb","low","PHEAD","perfect"
"ts2_12","dualuse_man_black_suit_studio_nonceleb","dualuse_hugh_jackman_grey_suit_outdoor","low","PHEAD","perfect"
"p015+p007","p015","p007","low","PHEAD","perfect"
"dualuse_man_black_suit_studio_nonceleb+dualuse_woman_top_denim_skirt_nonceleb","dualuse_man_black_suit_studio_nonceleb","dualuse_woman_top_denim_skirt_nonceleb","low","PHEAD","fail"
"p011+p003","p011","p003","low","PHEAD","perfect"
"p015+p002","p015","p002","low","PHEAD","perfect"
"dualuse_lp_beige_long_coat_menswear+dualuse_scarlett_johansson_black_dress_backview_night","dualuse_lp_beige_long_coat_menswear","dualuse_scarlett_johansson_black_dress_backview_night","low","PHEAD","ok"
"dualuse_lp_floral_kimono_set+p008","dualuse_lp_floral_kimono_set","p008","low","PHEAD","ok"
"dualuse_man_black_suit_studio_nonceleb+dualuse_scarlett_johansson_black_dress_backview_night","dualuse_man_black_suit_studio_nonceleb","dualuse_scarlett_johansson_black_dress_backview_night","low","PHEAD","perfect"
"dualuse_hugh_jackman_grey_suit_outdoor+p007","dualuse_hugh_jackman_grey_suit_outdoor","p007","low","PHEAD","perfect"
"dualuse_navy_peacoat_onmodel+p012","dualuse_navy_peacoat_onmodel","p012","low","PHEAD","ok"
"p018+p016","p018","p016","low","PHEAD","fail"
"p020+dualuse_hugh_jackman_grey_suit_outdoor","p020","dualuse_hugh_jackman_grey_suit_outdoor","low","PHEAD","perfect"
"p017+p002","p017","p002","low","PHEAD","perfect"
"p019+p010","p019","p010","low","PHEAD","perfect"
"dualuse_queen_latifah_gown_stage+p006","dualuse_queen_latifah_gown_stage","p006","low","PHEAD","perfect"
"p009+p018","p009","p018","low","PHEAD","perfect"
"p007+p030","p007","p030","low","PHEAD","perfect"
"p026+p004","p026","p004","low","PHEAD","perfect"
"p009+p014","p009","p014","low","PHEAD","perfect"
"HD_p021","dualuse_emma_watson_black_blazer_armscrossed","p021","high","PHEAD","fail"
"HD_p023","dualuse_lp_floral_kimono_set","p023","high","PHEAD","fail"
"HD_dualuse_zendaya_white_blazer_skirt","dualuse_queen_latifah_gown_stage","dualuse_zendaya_white_blazer_skirt","high","PHEAD","perfect"
"HD_p019","p011","p019","high","PHEAD","perfect"
"HD_p028","p018","p028","high","PHEAD","perfect"
"HD_p009","p026","p009","high","PHEAD","perfect"
"HD_p021+dualuse_hugh_jackman_grey_suit_outdoor","dualuse_hugh_jackman_grey_suit_outdoor","p021","high","PHEAD","fail"
"HD_p021+p009","p009","p021","high","PHEAD","fail"
"HD_p023+dualuse_queen_latifah_gown_stage","dualuse_queen_latifah_gown_stage","p023","high","PHEAD","ok"
"HD_p023+p019","p019","p023","high","PHEAD","fail"
"HD_dualuse_zendaya_white_blazer_skirt+p017","p017","dualuse_zendaya_white_blazer_skirt","high","PHEAD","fail"
"HD_dualuse_zendaya_white_blazer_skirt+dualuse_lp_beige_long_coat_menswear","dualuse_lp_beige_long_coat_menswear","dualuse_zendaya_white_blazer_skirt","high","PHEAD","ok"
"HD_p019+dualuse_hugh_jackman_grey_suit_outdoor","dualuse_hugh_jackman_grey_suit_outdoor","p019","high","PHEAD","ok"
"HD_p019+p009","p009","p019","high","PHEAD","perfect"
"HD_p028+dualuse_navy_peacoat_onmodel","dualuse_navy_peacoat_onmodel","p028","high","PHEAD","perfect"
"HD_p028+p019","p019","p028","high","PHEAD","perfect"
"HD_p009+p018","p018","p009","high","PHEAD","perfect"
"HD_p009+dualuse_man_black_suit_studio_nonceleb","dualuse_man_black_suit_studio_nonceleb","p009","high","PHEAD","perfect"
