set_id,group,person,garment_source,base_nontransfer,base_wrongperson,base_wrongclothes,base_duplication,base_wrongbg,base_artefacts,solved_C2,solved_C3_1,solved_C3_2,solved_C4,notes
"ts2_01","Testset2","dualuse_emma_watson_black_blazer_armscrossed","clothesonly_ts1g026_metallica_text_tee_flat","0","0","0","0","0","0","yes","yes","yes","yes",""
"ts2_02","Testset2","dualuse_hugh_jackman_grey_suit_outdoor","clothesonly_ts1g008_plaid_flannel","0","0","0","0","0","0","yes","yes","yes","yes",""
"ts2_03","Testset2","dualuse_woman_top_denim_skirt_nonceleb","clothesonly_ts1g023_plaid_mini_skirt_flat","0","0","0","0","0","0","yes","yes","yes","yes",""
"ts2_04","Testset2","dualuse_man_black_suit_studio_nonceleb","clothesonly_ts1g001_graphic_logo_tee","0","0","0","0","0","0","yes","yes","yes","yes",""
"ts2_05","Testset2","dualuse_zendaya_white_blazer_skirt","clothesonly_ts1g028_fine_stripe_shirt_ghost","0","0","0","0","0","0","yes","yes","yes","yes",""
"ts2_06","Testset2","dualuse_scarlett_johansson_black_dress_backview_night","clothesonly_ts1g010_plain_tee_ghost","0","0","0","0","0","0","yes","yes","yes","yes",""
"ts2_07","Testset2","dualuse_gal_gadot_blue_dress_redcarpet","dualuse_lp_beige_long_coat_menswear","0","0","0","0","0","1","","","","",""
"ts2_08","Testset2","dualuse_queen_latifah_gown_stage","dualuse_navy_peacoat_onmodel","0","0","0","0","0","0","","","","",""
"ts2_09","Testset2","dualuse_hugh_jackman_grey_suit_outdoor","dualuse_lp_plaid_overcoat_brown_suit","0","0","0","0","0","1","","","yes","yes",""
"ts2_10","Testset2","dualuse_zendaya_white_blazer_skirt","dualuse_lp_floral_kimono_set","0","0","0","0","0","1","","","","",""
"ts2_11","Testset2","dualuse_emma_watson_black_blazer_armscrossed","dualuse_man_black_suit_studio_nonceleb","1","0","0","0","0","0","","yes","yes","yes",""
"ts2_12","Testset2","dualuse_man_black_suit_studio_nonceleb","dualuse_hugh_jackman_grey_suit_outdoor","0","1","1","1","1","0","yes","yes","yes","yes",""
"ts2_13","Testset2","dualuse_woman_top_denim_skirt_nonceleb","dualuse_gal_gadot_blue_dress_redcarpet","0","0","0","0","0","0","","","","",""
"p015+p007","person-to-person","p015","p007","0","1","1","0","0","1","","yes","","yes",""
"dualuse_man_black_suit_studio_nonceleb+dualuse_woman_top_denim_skirt_nonceleb","person-to-person","dualuse_man_black_suit_studio_nonceleb","dualuse_woman_top_denim_skirt_nonceleb","0","0","0","1","0","0","no","no","no","no","c3.1 has the write idenity how the the hair jagged ness has cause the clothign to be inocrect while c3.2 fialed at itndiety and changed the gender interrpeted the white space as clothe isntead of white space"
"p011+p003","person-to-person","p011","p003","0","0","0","1","0","0","","yes","","",""
"p015+p002","person-to-person","p015","p002","0","1","1","0","1","0","","","","yes",""
"dualuse_lp_beige_long_coat_menswear+dualuse_scarlett_johansson_black_dress_backview_night","person-to-person","dualuse_lp_beige_long_coat_menswear","dualuse_scarlett_johansson_black_dress_backview_night","0","1","1","0","1","0","","","","yes",""
"dualuse_lp_floral_kimono_set+p008","person-to-person","dualuse_lp_floral_kimono_set","p008","0","1","0","0","1","0","yes","yes","yes","yes",""
"dualuse_man_black_suit_studio_nonceleb+dualuse_scarlett_johansson_black_dress_backview_night","person-to-person","dualuse_man_black_suit_studio_nonceleb","dualuse_scarlett_johansson_black_dress_backview_night","0","0","0","1","0","0","yes","yes","","",""
"dualuse_hugh_jackman_grey_suit_outdoor+p007","person-to-person","dualuse_hugh_jackman_grey_suit_outdoor","p007","0","1","1","0","0","0","","yes","yes","",""
"dualuse_navy_peacoat_onmodel+p012","person-to-person","dualuse_navy_peacoat_onmodel","p012","0","1","1","0","1","1","","yes","","yes",""
"p018+p016","person-to-person","p018","p016","0","0","0","1","0","0","","","","yes","skin color mismatch in c2-3 "
"p020+dualuse_hugh_jackman_grey_suit_outdoor","person-to-person","p020","dualuse_hugh_jackman_grey_suit_outdoor","0","1","1","0","1","0","yes","yes","yes","yes","suspect that simialr gedners or simialr body shapes wihtin gamrents make it easier for ai transfer and reduces ai attention spread "
"p017+p002","person-to-person","p017","p002","0","1","1","0","1","0","yes","yes","yes","",""
"p019+p010","person-to-person","p019","p010","0","1","1","0","1","0","","","","yes",""
"dualuse_queen_latifah_gown_stage+p006","person-to-person","dualuse_queen_latifah_gown_stage","p006","0","1","1","0","1","0","yes","yes","yes","yes",""
"p009+p018","person-to-person","p009","p018","1","0","0","0","1","0","yes","yes","yes","yes",""
"p007+p030","person-to-person","p007","p030","0","0","1","0","0","1","yes","yes","","yes",""
"p026+p004","person-to-person","p026","p004","1","0","0","0","0","0","yes","yes","yes","yes",""
"p018+p014","person-to-person","p018","p014","0","0","0","0","0","0","","","","yes","white tshirt seems tobe ignroed, perhaps it loks ot be the same colro as the backgroudn, perhaps we ahe a chckbaord in the background to differntiate"
"dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_floral_kimono_set","person-to-person","dualuse_woman_top_denim_skirt_nonceleb","dualuse_lp_floral_kimono_set","0","0","0","0","0","0","","","","",""
"p009+p014","person-to-person","p009","p014","0","0","1","0","1","0","","yes","","yes",""
