"set_id","condition","person","garment","arm","order_position","generations_cumulative","tier","ships","reached","hair_over_garment","gate_score","chk_degenerate","chk_noop","chk_people","chk_identity","chk_background","amt_tier_old","binary_usable_old"
"ts2_11","low","dualuse_emma_watson_black_blazer_armscrossed","dualuse_man_black_suit_studio_nonceleb","PHEAD","1","1","perfect","1","1","0.0173","0.6010","1","0.601","1","1","0.718","perfect",""
"ts2_11","low","dualuse_emma_watson_black_blazer_armscrossed","dualuse_man_black_suit_studio_nonceleb","BC_klein","2","3","perfect","0","0","0.0173","0.6350","1","0.635","1","1","0.721","perfect",""
"ts2_11","low","dualuse_emma_watson_black_blazer_armscrossed","dualuse_man_black_suit_studio_nonceleb","QX_qwen_p1","3","5","perfect","0","0","0.0173","0.5850","1","0.585","1","1","0.749","perfect",""
"ts2_12","low","dualuse_man_black_suit_studio_nonceleb","dualuse_hugh_jackman_grey_suit_outdoor","PHEAD","1","1","perfect","1","1","0.0195","0.5080","1","0.508","1","1","1","perfect",""
"ts2_12","low","dualuse_man_black_suit_studio_nonceleb","dualuse_hugh_jackman_grey_suit_outdoor","BC_klein","2","3","perfect","0","0","0.0195","0.5290","1","0.529","1","1","1","perfect",""
"ts2_12","low","dualuse_man_black_suit_studio_nonceleb","dualuse_hugh_jackman_grey_suit_outdoor","QX_qwen_p1","3","5","perfect","0","0","0.0195","0.4710","1","0.471","1","1","1","perfect",""
"p015+p007","low","p015","p007","PHEAD","1","1","perfect","1","1","0.0455","0.0000","0.418","1","1","1","0","perfect",""
"p015+p007","low","p015","p007","BC_klein","2","3","fail","0","0","0.0455","0.0000","0.277","1","1","1","0","ok",""
"p015+p007","low","p015","p007","QX_qwen_p1","3","5","perfect","0","0","0.0455","0.0000","0.309","1","1","1","0","perfect",""
"dualuse_man_black_suit_studio_nonceleb+dualuse_woman_top_denim_skirt_nonceleb","low","dualuse_man_black_suit_studio_nonceleb","dualuse_woman_top_denim_skirt_nonceleb","PHEAD","1","1","fail","0","1","0.1696","0.9410","1","0.941","1","1","1","fail",""
"dualuse_man_black_suit_studio_nonceleb+dualuse_woman_top_denim_skirt_nonceleb","low","dualuse_man_black_suit_studio_nonceleb","dualuse_woman_top_denim_skirt_nonceleb","BC_klein","2","3","perfect","1","1","0.1696","0.9140","1","0.914","1","1","1","perfect",""
"dualuse_man_black_suit_studio_nonceleb+dualuse_woman_top_denim_skirt_nonceleb","low","dualuse_man_black_suit_studio_nonceleb","dualuse_woman_top_denim_skirt_nonceleb","QX_qwen_p1","3","5","ok","0","0","0.1696","0.6950","0.947","0.695","1","1","1","ok",""
"p011+p003","low","p011","p003","PHEAD","1","1","perfect","1","1","0.0376","1.0000","1","1","1","1","0.913","perfect",""
"p011+p003","low","p011","p003","BC_klein","2","3","perfect","0","0","0.0376","1.0000","1","1","1","1","0.938","perfect",""
"p011+p003","low","p011","p003","QX_qwen_p1","3","5","ok","0","0","0.0376","0.8280","0.828","1","1","1","0.969","ok",""
"p015+p002","low","p015","p002","PHEAD","1","1","perfect","1","1","0.0193","0.3450","0.345","1","1","1","0.411","perfect",""
"p015+p002","low","p015","p002","BC_klein","2","3","perfect","0","0","0.0193","0.3440","0.344","1","1","1","0.399","perfect",""
"p015+p002","low","p015","p002","QX_qwen_p1","3","5","perfect","0","0","0.0193","0.2440","0.244","1","1","1","0.413","perfect",""
"dualuse_lp_beige_long_coat_menswear+dualuse_scarlett_johansson_black_dress_backview_night","low","dualuse_lp_beige_long_coat_menswear","dualuse_scarlett_johansson_black_dress_backview_night","PHEAD","1","1","ok","0","1","0.0984","1.0000","1","1","1","1","1","ok",""
"dualuse_lp_beige_long_coat_menswear+dualuse_scarlett_johansson_black_dress_backview_night","low","dualuse_lp_beige_long_coat_menswear","dualuse_scarlett_johansson_black_dress_backview_night","BC_klein","2","3","ok","0","1","0.0984","1.0000","1","1","1","1","1","ok",""
"dualuse_lp_beige_long_coat_menswear+dualuse_scarlett_johansson_black_dress_backview_night","low","dualuse_lp_beige_long_coat_menswear","dualuse_scarlett_johansson_black_dress_backview_night","QX_qwen_p1","3","5","ok","0","1","0.0984","1.0000","1","1","1","1","1","perfect",""
"dualuse_lp_floral_kimono_set+p008","low","dualuse_lp_floral_kimono_set","p008","PHEAD","1","1","ok","0","1","0.0143","1.0000","1","1","1","1","1","ok",""
"dualuse_lp_floral_kimono_set+p008","low","dualuse_lp_floral_kimono_set","p008","BC_klein","2","3","ok","0","1","0.0143","1.0000","1","1","1","1","1","perfect",""
"dualuse_lp_floral_kimono_set+p008","low","dualuse_lp_floral_kimono_set","p008","QX_qwen_p1","3","5","ok","0","1","0.0143","1.0000","1","1","1","1","1","perfect",""
"dualuse_man_black_suit_studio_nonceleb+dualuse_scarlett_johansson_black_dress_backview_night","low","dualuse_man_black_suit_studio_nonceleb","dualuse_scarlett_johansson_black_dress_backview_night","PHEAD","1","1","perfect","1","1","0.0984","0.6700","1","0.67","1","1","1","perfect",""
"dualuse_man_black_suit_studio_nonceleb+dualuse_scarlett_johansson_black_dress_backview_night","low","dualuse_man_black_suit_studio_nonceleb","dualuse_scarlett_johansson_black_dress_backview_night","BC_klein","2","3","perfect","0","0","0.0984","0.6260","1","0.626","1","1","1","perfect",""
