set_id,first_arm,a,b,a_tier,b_tier,truth,escalates,pick_ab,pick_ba,consistent,raw
ts2_11,PHEAD,outputs/ts2_11__PHEAD.jpg,outputs/ts2_11__QX_qwen_p1.jpg,perfect,perfect,,False,A,B,False,"['ONE', 'ONE']"
ts2_12,PHEAD,outputs/ts2_12__PHEAD.jpg,outputs/ts2_12__QX_qwen_p1.jpg,perfect,perfect,,False,A,B,False,"['ONE', 'ONE']"
p015+p007,PHEAD,outputs/p015+p007__PHEAD.jpg,outputs/p015+p007__QX_qwen_p1.jpg,perfect,perfect,,False,A,B,False,"['ONE', 'ONE']"
dualuse_man_black_suit_studio_nonceleb+dualuse_woman_top_denim_skirt_nonceleb,BC_klein,outputs/dualuse_man_black_suit_studio_nonceleb+dualuse_woman_top_denim_skirt_nonceleb__BC_klein.jpg,outputs/dualuse_man_black_suit_studio_nonceleb+dualuse_woman_top_denim_skirt_nonceleb__QX_qwen_p1.jpg,perfect,ok,A,False,B,A,False,"['TWO', 'TWO']"
p011+p003,PHEAD,outputs/p011+p003__PHEAD.jpg,outputs/p011+p003__QX_qwen_p1.jpg,perfect,ok,A,False,B,A,False,"['TWO', 'TWO']"
p015+p002,PHEAD,outputs/p015+p002__PHEAD.jpg,outputs/p015+p002__QX_qwen_p1.jpg,perfect,perfect,,False,A,B,False,"['ONE', 'ONE']"
dualuse_lp_beige_long_coat_menswear+dualuse_scarlett_johansson_black_dress_backview_night,PHEAD,outputs/dualuse_lp_beige_long_coat_menswear+dualuse_scarlett_johansson_black_dress_backview_night__PHEAD.jpg,outputs/dualuse_lp_beige_long_coat_menswear+dualuse_scarlett_johansson_black_dress_backview_night__QX_qwen_p1.jpg,ok,ok,,False,A,B,False,"['ONE', 'ONE']"
dualuse_lp_floral_kimono_set+p008,PHEAD,outputs/dualuse_lp_floral_kimono_set+p008__PHEAD.jpg,outputs/dualuse_lp_floral_kimono_set+p008__QX_qwen_p1.jpg,ok,ok,,False,A,A,True,"['ONE', 'TWO']"
dualuse_man_black_suit_studio_nonceleb+dualuse_scarlett_johansson_black_dress_backview_night,PHEAD,outputs/dualuse_man_black_suit_studio_nonceleb+dualuse_scarlett_johansson_black_dress_backview_night__PHEAD.jpg,outputs/dualuse_man_black_suit_studio_nonceleb+dualuse_scarlett_johansson_black_dress_backview_night__QX_qwen_p1.jpg,perfect,ok,A,False,A,A,True,"['ONE', 'TWO']"
dualuse_hugh_jackman_grey_suit_outdoor+p007,PHEAD,outputs/dualuse_hugh_jackman_grey_suit_outdoor+p007__PHEAD.jpg,outputs/dualuse_hugh_jackman_grey_suit_outdoor+p007__QX_qwen_p1.jpg,perfect,ok,A,False,A,A,True,"['ONE', 'TWO']"
dualuse_navy_peacoat_onmodel+p012,PHEAD,outputs/dualuse_navy_peacoat_onmodel+p012__PHEAD.jpg,outputs/dualuse_navy_peacoat_onmodel+p012__QX_qwen_p1.jpg,fail,perfect,B,True,B,B,True,"['TWO', 'ONE']"
p018+p016,PHEAD,outputs/p018+p016__PHEAD.jpg,outputs/p018+p016__QX_qwen_p1.jpg,fail,perfect,B,True,B,A,False,"['TWO', 'TWO']"
p020+dualuse_hugh_jackman_grey_suit_outdoor,PHEAD,outputs/p020+dualuse_hugh_jackman_grey_suit_outdoor__PHEAD.jpg,outputs/p020+dualuse_hugh_jackman_grey_suit_outdoor__QX_qwen_p1.jpg,perfect,ok,A,False,A,B,False,"['ONE', 'ONE']"
