set_id,person,garment,seed,prior,bc2,er,person_wh_1mp,canvas_SCALE,canvas_NOSCALE,noscale_noop
p001+p002,p001,p002,46,clean,,,682x1024,832x1248,672x1024,
p001+p002,p001,p002,47,clean,,,682x1024,832x1248,672x1024,
p001+p002,p001,p002,48,clean,,,682x1024,832x1248,672x1024,
p002+p003,p002,p003,46,clean,,,682x1024,832x1248,672x1024,
p002+p003,p002,p003,47,clean,,,682x1024,832x1248,672x1024,
p002+p003,p002,p003,48,clean,,,682x1024,832x1248,672x1024,
p003+p004,p003,p004,46,clean,,,706x1024,832x1216,704x1024,
p003+p004,p003,p004,47,clean,,,706x1024,832x1216,704x1024,
p003+p004,p003,p004,48,clean,,,706x1024,832x1216,704x1024,
p004+p005,p004,p005,46,clean,,,1024x682,1248x832,1024x672,
p004+p005,p004,p005,47,clean,,,1024x682,1248x832,1024x672,
p004+p005,p004,p005,48,clean,,,1024x682,1248x832,1024x672,
p005+p006,p005,p006,46,clean,,,682x1024,832x1248,672x1024,
p005+p006,p005,p006,47,clean,,,682x1024,832x1248,672x1024,
p005+p006,p005,p006,48,clean,,,682x1024,832x1248,672x1024,
p006+p007,p006,p007,46,clean,,,682x1024,832x1248,672x1024,
p006+p007,p006,p007,47,clean,,,682x1024,832x1248,672x1024,
p006+p007,p006,p007,48,clean,,,682x1024,832x1248,672x1024,
p007+p008,p007,p008,46,clean,,,682x1024,832x1248,672x1024,
p007+p008,p007,p008,47,clean,,,682x1024,832x1248,672x1024,
p007+p008,p007,p008,48,clean,,,682x1024,832x1248,672x1024,
p008+p009,p008,p009,46,clean,,,768x1024,864x1152,768x1024,
p008+p009,p008,p009,47,clean,,,768x1024,864x1152,768x1024,
p008+p009,p008,p009,48,clean,,,768x1024,864x1152,768x1024,
p009+p010,p009,p010,46,clean,,,682x1024,832x1248,672x1024,
p009+p010,p009,p010,47,clean,,,682x1024,832x1248,672x1024,
p009+p010,p009,p010,48,clean,,,682x1024,832x1248,672x1024,
p010+p011,p010,p011,46,clean,,,683x1024,832x1248,672x1024,
p010+p011,p010,p011,47,clean,,,683x1024,832x1248,672x1024,
p010+p011,p010,p011,48,clean,,,683x1024,832x1248,672x1024,
p011+p012,p011,p012,46,clean,,,683x1024,832x1248,672x1024,
p011+p012,p011,p012,47,clean,,,683x1024,832x1248,672x1024,
p011+p012,p011,p012,48,clean,,,683x1024,832x1248,672x1024,
p012+p013,p012,p013,46,clean,,,682x1024,832x1248,672x1024,
p012+p013,p012,p013,47,clean,,,682x1024,832x1248,672x1024,
p012+p013,p012,p013,48,clean,,,682x1024,832x1248,672x1024,
p013+p014,p013,p014,46,clean,,,1024x683,1248x832,1024x672,
p013+p014,p013,p014,47,clean,,,1024x683,1248x832,1024x672,
p013+p014,p013,p014,48,clean,,,1024x683,1248x832,1024x672,
p014+p015,p014,p015,46,clean,,,682x1024,832x1248,672x1024,
p014+p015,p014,p015,47,clean,,,682x1024,832x1248,672x1024,
p014+p015,p014,p015,48,clean,,,682x1024,832x1248,672x1024,
p015+p016,p015,p016,46,clean,,,683x1024,832x1248,672x1024,
p015+p016,p015,p016,47,clean,,,683x1024,832x1248,672x1024,
p015+p016,p015,p016,48,clean,,,683x1024,832x1248,672x1024,
p016+p017,p016,p017,46,clean,,,682x1024,832x1248,672x1024,
p016+p017,p016,p017,47,clean,,,682x1024,832x1248,672x1024,
p016+p017,p016,p017,48,clean,,,682x1024,832x1248,672x1024,
p017+p018,p017,p018,46,clean,,,682x1024,832x1248,672x1024,
p017+p018,p017,p018,47,clean,,,682x1024,832x1248,672x1024,
p017+p018,p017,p018,48,clean,,,682x1024,832x1248,672x1024,
p018+p019,p018,p019,46,clean,,,682x1024,832x1248,672x1024,
p018+p019,p018,p019,47,clean,,,682x1024,832x1248,672x1024,
p018+p019,p018,p019,48,clean,,,682x1024,832x1248,672x1024,
p019+p020,p019,p020,46,clean,,,1024x683,1248x832,1024x672,
p019+p020,p019,p020,47,clean,,,1024x683,1248x832,1024x672,
p019+p020,p019,p020,48,clean,,,1024x683,1248x832,1024x672,
p020+p021,p020,p021,46,clean,,,819x1024,896x1120,800x1024,
p020+p021,p020,p021,47,clean,,,819x1024,896x1120,800x1024,
p020+p021,p020,p021,48,clean,,,819x1024,896x1120,800x1024,
p021+p022,p021,p022,46,clean,,,684x1024,832x1248,672x1024,
p021+p022,p021,p022,47,clean,,,684x1024,832x1248,672x1024,
p021+p022,p021,p022,48,clean,,,684x1024,832x1248,672x1024,
p022+p023,p022,p023,46,clean,,,682x1024,832x1248,672x1024,
p022+p023,p022,p023,47,clean,,,682x1024,832x1248,672x1024,
p022+p023,p022,p023,48,clean,,,682x1024,832x1248,672x1024,
p023+p024,p023,p024,46,clean,,,682x1024,832x1248,672x1024,
p023+p024,p023,p024,47,clean,,,682x1024,832x1248,672x1024,
p023+p024,p023,p024,48,clean,,,682x1024,832x1248,672x1024,
p024+p025,p024,p025,46,clean,,,682x1024,832x1248,672x1024,
p024+p025,p024,p025,47,clean,,,682x1024,832x1248,672x1024,
p024+p025,p024,p025,48,clean,,,682x1024,832x1248,672x1024,
