set_id,person,garment,seed,person_framing,garment_kind
p001+g001,p001,g001,46,full_body,product
p002+g001,p002,g001,46,full_body,product
p001+g002,p001,g002,46,full_body,product
p002+g002,p002,g002,46,full_body,product
p001+g008,p001,g008,46,full_body,product
p002+g008,p002,g008,46,full_body,product
p001+g010,p001,g010,46,full_body,product
p002+g010,p002,g010,46,full_body,product
p001+g016,p001,g016,46,full_body,product
p002+g016,p002,g016,46,full_body,product
p001+g017,p001,g017,46,full_body,product
p002+g017,p002,g017,46,full_body,product
p001+g021,p001,g021,46,full_body,product
p002+g021,p002,g021,46,full_body,product
p001+g023,p001,g023,46,full_body,product
p002+g023,p002,g023,46,full_body,product
p001+g026,p001,g026,46,full_body,product
p002+g026,p002,g026,46,full_body,product
p001+g028,p001,g028,46,full_body,product
p002+g028,p002,g028,46,full_body,product
