stem,kind,path,photo_style,category
g001,product,test_set1/garments/g001.jpg,flat_lay,tight_top
g002,product,test_set1/garments/g002.jpg,flat_lay,tight_top
g003,product,test_set1/garments/g003.jpg,flat_lay,tight_top
g006,product,test_set1/garments/g006.jpg,flat_lay,loose_top
g007,product,test_set1/garments/g007.jpg,flat_lay,loose_top
g008,product,test_set1/garments/g008.jpg,flat_lay,loose_top
g010,product,test_set1/garments/g010.jpg,ghost_mannequin,loose_top
g016,product,test_set1/garments/g016.jpg,flat_lay,outerwear
g017,product,test_set1/garments/g017.jpg,ghost_mannequin,outerwear
g019,product,test_set1/garments/g019.jpg,flat_lay,outerwear
g020,product,test_set1/garments/g020.jpg,flat_lay,outerwear
g021,product,test_set1/garments/g021.jpg,flat_lay,lower_body
g022,product,test_set1/garments/g022.jpg,flat_lay,lower_body
g023,product,test_set1/garments/g023.jpg,flat_lay,lower_body
g025,product,test_set1/garments/g025.jpg,flat_lay,lower_body
g026,product,test_set1/garments/g026.jpg,flat_lay,hard_case
g028,product,test_set1/garments/g028.jpg,ghost_mannequin,hard_case
dualuse_queen_latifah_gown_stage,worn,test_set2/people/dualuse_queen_latifah_gown_stage.jpg,on_model,fold
g004,worn,test_set1/garments/g004.jpg,on_model,tight_top
g005,worn,test_set1/garments/g005.jpg,on_model,tight_top
g009,worn,test_set1/garments/g009.jpg,on_model,loose_top
g011,worn,test_set1/garments/g011.jpg,on_model,dress
g012,worn,test_set1/garments/g012.jpg,on_model,dress
g013,worn,test_set1/garments/g013.jpg,on_model,dress
g014,worn,test_set1/garments/g014.jpg,on_model,dress
g015,worn,test_set1/garments/g015.jpg,on_model,dress
g018,worn,test_set1/garments/g018.jpg,on_model,outerwear
g024,worn,test_set1/garments/g024.jpg,on_model,lower_body
g027,worn,test_set1/garments/g027.jpg,on_model,hard_case
g029,worn,test_set1/garments/g029.jpg,on_model,hard_case
g030,worn,test_set1/garments/g030.jpg,on_model,hard_case
p003,worn,test_set1/people/p003.jpg,on_model,fold
p012,worn,test_set1/people/p012.jpg,on_model,fold
p016,worn,test_set1/people/p016.jpg,on_model,fold
p019,worn,test_set1/people/p019.jpg,on_model,fold
p021,worn,test_set1/people/p021.jpg,on_model,fold
p028,worn,test_set1/people/p028.jpg,on_model,fold
p030,worn,test_set1/people/p030.jpg,on_model,fold
