set_id,person,garment,seed,bc
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,dualuse_hugh_jackman_grey_suit_outdoor,dualuse_zendaya_white_blazer_skirt,46,fail
dualuse_navy_peacoat_onmodel+g030,dualuse_navy_peacoat_onmodel,g030,47,fail
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,dualuse_scarlett_johansson_black_dress_backview_night,dualuse_woman_top_denim_skirt_nonceleb,47,fail
dualuse_scarlett_johansson_black_dress_backview_night+g013,dualuse_scarlett_johansson_black_dress_backview_night,g013,48,fail
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,dualuse_woman_top_denim_skirt_nonceleb,dualuse_zendaya_white_blazer_skirt,46,fail
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,dualuse_woman_top_denim_skirt_nonceleb,dualuse_zendaya_white_blazer_skirt,47,fail
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,dualuse_woman_top_denim_skirt_nonceleb,dualuse_zendaya_white_blazer_skirt,48,fail
g004+g005,g004,g005,46,fail
g004+g005,g004,g005,47,fail
g004+g005,g004,g005,48,fail
g005+g009,g005,g009,47,fail
g005+g009,g005,g009,48,fail
g005+p002,g005,p002,47,fail
g005+p002,g005,p002,48,fail
g013+p006,g013,p006,46,fail
g013+p006,g013,p006,48,fail
g027+g029,g027,g029,48,fail
g030+p013,g030,p013,47,fail
p008+dualuse_emma_watson_black_blazer_armscrossed,p008,dualuse_emma_watson_black_blazer_armscrossed,47,fail
p008+p013,p008,p013,47,fail
p008+p021,p008,p021,48,fail
p011+p024,p011,p024,47,fail
p012+dualuse_queen_latifah_gown_stage,p012,dualuse_queen_latifah_gown_stage,46,fail
p012+dualuse_queen_latifah_gown_stage,p012,dualuse_queen_latifah_gown_stage,47,fail
p013+dualuse_scarlett_johansson_black_dress_backview_night,p013,dualuse_scarlett_johansson_black_dress_backview_night,46,fail
p013+dualuse_scarlett_johansson_black_dress_backview_night,p013,dualuse_scarlett_johansson_black_dress_backview_night,48,fail
p016+p029,p016,p029,46,fail
p022+dualuse_queen_latifah_gown_stage,p022,dualuse_queen_latifah_gown_stage,46,fail
p022+dualuse_queen_latifah_gown_stage,p022,dualuse_queen_latifah_gown_stage,47,fail
dualuse_emma_watson_black_blazer_armscrossed+dualuse_gal_gadot_blue_dress_redcarpet,dualuse_emma_watson_black_blazer_armscrossed,dualuse_gal_gadot_blue_dress_redcarpet,46,ok
dualuse_emma_watson_black_blazer_armscrossed+g027,dualuse_emma_watson_black_blazer_armscrossed,g027,48,ok
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_woman_top_denim_skirt_nonceleb,dualuse_gal_gadot_blue_dress_redcarpet,dualuse_woman_top_denim_skirt_nonceleb,48,ok
dualuse_gal_gadot_blue_dress_redcarpet+g005,dualuse_gal_gadot_blue_dress_redcarpet,g005,48,ok
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,dualuse_hugh_jackman_grey_suit_outdoor,dualuse_zendaya_white_blazer_skirt,47,ok
dualuse_hugh_jackman_grey_suit_outdoor+g009,dualuse_hugh_jackman_grey_suit_outdoor,g009,48,ok
dualuse_lp_beige_long_coat_menswear+dualuse_lp_floral_kimono_set,dualuse_lp_beige_long_coat_menswear,dualuse_lp_floral_kimono_set,46,ok
dualuse_lp_beige_long_coat_menswear+g018,dualuse_lp_beige_long_coat_menswear,g018,46,ok
dualuse_lp_beige_long_coat_menswear+g018,dualuse_lp_beige_long_coat_menswear,g018,48,ok
dualuse_lp_floral_kimono_set+dualuse_lp_navy_quarterzip_knit_LOWRES,dualuse_lp_floral_kimono_set,dualuse_lp_navy_quarterzip_knit_LOWRES,48,ok
dualuse_lp_navy_quarterzip_knit_LOWRES+g009,dualuse_lp_navy_quarterzip_knit_LOWRES,g009,48,ok
dualuse_lp_plaid_overcoat_brown_suit+dualuse_navy_peacoat_onmodel,dualuse_lp_plaid_overcoat_brown_suit,dualuse_navy_peacoat_onmodel,48,ok
dualuse_lp_plaid_overcoat_brown_suit+g029,dualuse_lp_plaid_overcoat_brown_suit,g029,47,ok
dualuse_lp_plaid_overcoat_brown_suit+g029,dualuse_lp_plaid_overcoat_brown_suit,g029,48,ok
dualuse_man_black_suit_studio_nonceleb+dualuse_lp_beige_long_coat_menswear,dualuse_man_black_suit_studio_nonceleb,dualuse_lp_beige_long_coat_menswear,47,ok
dualuse_man_black_suit_studio_nonceleb+dualuse_lp_beige_long_coat_menswear,dualuse_man_black_suit_studio_nonceleb,dualuse_lp_beige_long_coat_menswear,48,ok
dualuse_man_black_suit_studio_nonceleb+g011,dualuse_man_black_suit_studio_nonceleb,g011,48,ok
dualuse_navy_peacoat_onmodel+g004,dualuse_navy_peacoat_onmodel,g004,47,ok
dualuse_queen_latifah_gown_stage+dualuse_scarlett_johansson_black_dress_backview_night,dualuse_queen_latifah_gown_stage,dualuse_scarlett_johansson_black_dress_backview_night,47,ok
dualuse_queen_latifah_gown_stage+g012,dualuse_queen_latifah_gown_stage,g012,46,ok
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_lp_navy_quarterzip_knit_LOWRES,dualuse_scarlett_johansson_black_dress_backview_night,dualuse_lp_navy_quarterzip_knit_LOWRES,46,ok
