set_id,person,garment,seed,bc2,er
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,dualuse_emma_watson_black_blazer_armscrossed,dualuse_scarlett_johansson_black_dress_backview_night,46,fail,
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,dualuse_hugh_jackman_grey_suit_outdoor,dualuse_zendaya_white_blazer_skirt,46,fail,
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,dualuse_hugh_jackman_grey_suit_outdoor,dualuse_zendaya_white_blazer_skirt,47,fail,
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,dualuse_hugh_jackman_grey_suit_outdoor,dualuse_zendaya_white_blazer_skirt,48,fail,
dualuse_lp_floral_kimono_set+g005,dualuse_lp_floral_kimono_set,g005,46,fail,
dualuse_lp_floral_kimono_set+g005,dualuse_lp_floral_kimono_set,g005,47,fail,
dualuse_lp_floral_kimono_set+g005,dualuse_lp_floral_kimono_set,g005,48,fail,fail
dualuse_man_black_suit_studio_nonceleb+g011,dualuse_man_black_suit_studio_nonceleb,g011,47,fail,
dualuse_navy_peacoat_onmodel+g030,dualuse_navy_peacoat_onmodel,g030,47,fail,
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,dualuse_scarlett_johansson_black_dress_backview_night,dualuse_woman_top_denim_skirt_nonceleb,47,fail,fail
dualuse_scarlett_johansson_black_dress_backview_night+g013,dualuse_scarlett_johansson_black_dress_backview_night,g013,48,fail,
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_plaid_overcoat_brown_suit,dualuse_woman_top_denim_skirt_nonceleb,dualuse_lp_plaid_overcoat_brown_suit,47,fail,fail
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_plaid_overcoat_brown_suit,dualuse_woman_top_denim_skirt_nonceleb,dualuse_lp_plaid_overcoat_brown_suit,48,fail,
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,dualuse_woman_top_denim_skirt_nonceleb,dualuse_zendaya_white_blazer_skirt,46,fail,fail
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,dualuse_woman_top_denim_skirt_nonceleb,dualuse_zendaya_white_blazer_skirt,48,fail,
g004+g005,g004,g005,46,fail,fail
g004+g005,g004,g005,47,fail,fail
g004+g005,g004,g005,48,fail,fail
g005+g009,g005,g009,46,,fail
g005+g009,g005,g009,47,fail,fail
g005+g009,g005,g009,48,fail,
g005+g014,g005,g014,47,,fail
g005+p002,g005,p002,47,fail,
g005+p002,g005,p002,48,fail,fail
g013+p006,g013,p006,46,fail,
g013+p006,g013,p006,48,fail,
g014+g029,g014,g029,47,fail,
g014+g029,g014,g029,48,fail,
g015+g018,g015,g018,48,fail,
g024+p010,g024,p010,47,fail,fail
g027+p003,g027,p003,46,fail,
g027+p003,g027,p003,48,fail,
g027+p011,g027,p011,48,fail,fail
g029+p012,g029,p012,48,fail,
g030+p013,g030,p013,47,fail,fail
p006+p011,p006,p011,48,fail,
p006+p029,p006,p029,47,fail,
p008+dualuse_emma_watson_black_blazer_armscrossed,p008,dualuse_emma_watson_black_blazer_armscrossed,47,fail,fail
p008+dualuse_emma_watson_black_blazer_armscrossed,p008,dualuse_emma_watson_black_blazer_armscrossed,48,,fail
p008+p013,p008,p013,47,fail,fail
p012+dualuse_queen_latifah_gown_stage,p012,dualuse_queen_latifah_gown_stage,46,fail,fail
p012+dualuse_queen_latifah_gown_stage,p012,dualuse_queen_latifah_gown_stage,47,fail,
p012+p017,p012,p017,47,fail,
p012+p025,p012,p025,47,fail,
p013+dualuse_scarlett_johansson_black_dress_backview_night,p013,dualuse_scarlett_johansson_black_dress_backview_night,46,fail,
p013+dualuse_scarlett_johansson_black_dress_backview_night,p013,dualuse_scarlett_johansson_black_dress_backview_night,47,fail,
p013+dualuse_scarlett_johansson_black_dress_backview_night,p013,dualuse_scarlett_johansson_black_dress_backview_night,48,fail,
p016+p021,p016,p021,46,fail,
p019+dualuse_gal_gadot_blue_dress_redcarpet,p019,dualuse_gal_gadot_blue_dress_redcarpet,46,fail,
p019+dualuse_gal_gadot_blue_dress_redcarpet,p019,dualuse_gal_gadot_blue_dress_redcarpet,47,fail,
p019+dualuse_gal_gadot_blue_dress_redcarpet,p019,dualuse_gal_gadot_blue_dress_redcarpet,48,fail,
p022+dualuse_queen_latifah_gown_stage,p022,dualuse_queen_latifah_gown_stage,46,fail,
p022+dualuse_queen_latifah_gown_stage,p022,dualuse_queen_latifah_gown_stage,47,fail,
