set_id,person,garment,seed,er_status
dualuse_lp_floral_kimono_set+g005,dualuse_lp_floral_kimono_set,g005,48,er_fail
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,dualuse_scarlett_johansson_black_dress_backview_night,dualuse_woman_top_denim_skirt_nonceleb,47,er_fail
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_plaid_overcoat_brown_suit,dualuse_woman_top_denim_skirt_nonceleb,dualuse_lp_plaid_overcoat_brown_suit,47,er_fail
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,dualuse_woman_top_denim_skirt_nonceleb,dualuse_zendaya_white_blazer_skirt,46,er_fail
g004+g005,g004,g005,46,er_fail
g004+g005,g004,g005,47,er_fail
g004+g005,g004,g005,48,er_fail
g005+g009,g005,g009,46,er_fail
g005+g009,g005,g009,47,er_fail
g005+g014,g005,g014,47,er_fail
g005+p002,g005,p002,48,er_fail
g024+p010,g024,p010,47,er_fail
g027+p011,g027,p011,48,er_fail
g030+p013,g030,p013,47,er_fail
p008+dualuse_emma_watson_black_blazer_armscrossed,p008,dualuse_emma_watson_black_blazer_armscrossed,47,er_fail
p008+dualuse_emma_watson_black_blazer_armscrossed,p008,dualuse_emma_watson_black_blazer_armscrossed,48,er_fail
p008+p013,p008,p013,47,er_fail
p012+dualuse_queen_latifah_gown_stage,p012,dualuse_queen_latifah_gown_stage,46,er_fail
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,dualuse_emma_watson_black_blazer_armscrossed,dualuse_scarlett_johansson_black_dress_backview_night,46,er_repaired
dualuse_man_black_suit_studio_nonceleb+g011,dualuse_man_black_suit_studio_nonceleb,g011,47,er_repaired
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_plaid_overcoat_brown_suit,dualuse_woman_top_denim_skirt_nonceleb,dualuse_lp_plaid_overcoat_brown_suit,48,er_repaired
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,dualuse_woman_top_denim_skirt_nonceleb,dualuse_zendaya_white_blazer_skirt,48,er_repaired
g005+g009,g005,g009,48,er_repaired
g005+p002,g005,p002,47,er_repaired
g013+p006,g013,p006,48,er_repaired
g014+g029,g014,g029,48,er_repaired
g029+p012,g029,p012,48,er_repaired
p006+p011,p006,p011,48,er_repaired
p012+dualuse_queen_latifah_gown_stage,p012,dualuse_queen_latifah_gown_stage,47,er_repaired
p012+p017,p012,p017,47,er_repaired
p012+p025,p012,p025,47,er_repaired
p013+dualuse_scarlett_johansson_black_dress_backview_night,p013,dualuse_scarlett_johansson_black_dress_backview_night,46,er_repaired
p013+dualuse_scarlett_johansson_black_dress_backview_night,p013,dualuse_scarlett_johansson_black_dress_backview_night,47,er_repaired
p022+dualuse_queen_latifah_gown_stage,p022,dualuse_queen_latifah_gown_stage,46,er_repaired
dualuse_queen_latifah_gown_stage+dualuse_lp_floral_kimono_set,dualuse_queen_latifah_gown_stage,dualuse_lp_floral_kimono_set,46,both_clean
p019+dualuse_lp_plaid_overcoat_brown_suit,p019,dualuse_lp_plaid_overcoat_brown_suit,47,both_clean
dualuse_lp_floral_kimono_set+dualuse_lp_navy_quarterzip_knit_LOWRES,dualuse_lp_floral_kimono_set,dualuse_lp_navy_quarterzip_knit_LOWRES,48,both_clean
p003+p008,p003,p008,48,both_clean
p029+dualuse_man_black_suit_studio_nonceleb,p029,dualuse_man_black_suit_studio_nonceleb,48,both_clean
g014+p007,g014,p007,46,both_clean
dualuse_lp_beige_long_coat_menswear+g004,dualuse_lp_beige_long_coat_menswear,g004,46,both_clean
dualuse_lp_beige_long_coat_menswear+dualuse_lp_floral_kimono_set,dualuse_lp_beige_long_coat_menswear,dualuse_lp_floral_kimono_set,48,both_clean
dualuse_navy_peacoat_onmodel+g004,dualuse_navy_peacoat_onmodel,g004,46,both_clean
p011+p016,p011,p016,47,both_clean
dualuse_lp_plaid_overcoat_brown_suit+dualuse_navy_peacoat_onmodel,dualuse_lp_plaid_overcoat_brown_suit,dualuse_navy_peacoat_onmodel,48,both_clean
g012+g024,g012,g024,46,both_clean
p009+p014,p009,p014,46,both_clean
p030+dualuse_navy_peacoat_onmodel,p030,dualuse_navy_peacoat_onmodel,48,both_clean
p012+p017,p012,p017,48,both_clean
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,dualuse_woman_top_denim_skirt_nonceleb,dualuse_zendaya_white_blazer_skirt,47,both_clean
p018+p023,p018,p023,48,both_clean
p026+dualuse_lp_beige_long_coat_menswear,p026,dualuse_lp_beige_long_coat_menswear,46,both_clean
p015+p020,p015,p020,48,both_clean
g015+g018,g015,g018,47,both_clean
p025+p026,p025,p026,47,both_clean
p025+dualuse_zendaya_white_blazer_skirt,p025,dualuse_zendaya_white_blazer_skirt,47,both_clean
dualuse_navy_peacoat_onmodel+g030,dualuse_navy_peacoat_onmodel,g030,46,both_clean
p024+p025,p024,p025,47,both_clean
g004+p001,g004,p001,47,both_clean
p022+g005,p022,g005,47,both_clean
p003+p004,p003,p004,48,both_clean
p013+p018,p013,p018,47,both_clean
p028+g015,p028,g015,47,both_clean
p023+g009,p023,g009,46,both_clean
p007+p020,p007,p020,46,both_clean
g014+p007,g014,p007,47,both_clean
g004+g013,g004,g013,47,both_clean
p015+dualuse_zendaya_white_blazer_skirt,p015,dualuse_zendaya_white_blazer_skirt,48,both_clean
p013+p018,p013,p018,46,both_clean
p024+p025,p024,p025,48,both_clean
p019+p024,p019,p024,47,both_clean
g027+p011,g027,p011,47,both_clean
p017+p030,p017,p030,46,both_clean
