set_id,person,garment,seed
p001+p002,p001,p002,46
p001+p002,p001,p002,47
p001+p002,p001,p002,48
p002+p003,p002,p003,46
p002+p003,p002,p003,47
p002+p003,p002,p003,48
p003+p004,p003,p004,46
p003+p004,p003,p004,47
p003+p004,p003,p004,48
p004+p005,p004,p005,46
p004+p005,p004,p005,47
p004+p005,p004,p005,48
p005+p006,p005,p006,46
p005+p006,p005,p006,47
p005+p006,p005,p006,48
p006+p007,p006,p007,46
p006+p007,p006,p007,47
p006+p007,p006,p007,48
p007+p008,p007,p008,46
p007+p008,p007,p008,47
p007+p008,p007,p008,48
p008+p009,p008,p009,46
p008+p009,p008,p009,47
p008+p009,p008,p009,48
p009+p010,p009,p010,46
p009+p010,p009,p010,47
p009+p010,p009,p010,48
p010+p011,p010,p011,46
p010+p011,p010,p011,47
p010+p011,p010,p011,48
p011+p012,p011,p012,46
p011+p012,p011,p012,47
p011+p012,p011,p012,48
p012+p013,p012,p013,46
p012+p013,p012,p013,47
p012+p013,p012,p013,48
p013+p014,p013,p014,46
p013+p014,p013,p014,47
p013+p014,p013,p014,48
p014+p015,p014,p015,46
p014+p015,p014,p015,47
p014+p015,p014,p015,48
p015+p016,p015,p016,46
p015+p016,p015,p016,47
p015+p016,p015,p016,48
p016+p017,p016,p017,46
p016+p017,p016,p017,47
p016+p017,p016,p017,48
p017+p018,p017,p018,46
p017+p018,p017,p018,47
p017+p018,p017,p018,48
p018+p019,p018,p019,46
p018+p019,p018,p019,47
p018+p019,p018,p019,48
p019+p020,p019,p020,46
p019+p020,p019,p020,47
p019+p020,p019,p020,48
p020+p021,p020,p021,46
p020+p021,p020,p021,47
p020+p021,p020,p021,48
p021+p022,p021,p022,46
p021+p022,p021,p022,47
p021+p022,p021,p022,48
p022+p023,p022,p023,46
p022+p023,p022,p023,47
p022+p023,p022,p023,48
p023+p024,p023,p024,46
p023+p024,p023,p024,47
p023+p024,p023,p024,48
p024+p025,p024,p025,46
p024+p025,p024,p025,47
p024+p025,p024,p025,48
p025+p026,p025,p026,46
p025+p026,p025,p026,47
p025+p026,p025,p026,48
p026+p027,p026,p027,46
p026+p027,p026,p027,47
p026+p027,p026,p027,48
p027+p028,p027,p028,46
p027+p028,p027,p028,47
p027+p028,p027,p028,48
p028+p029,p028,p029,46
p028+p029,p028,p029,47
p028+p029,p028,p029,48
p029+p030,p029,p030,46
p029+p030,p029,p030,47
p029+p030,p029,p030,48
p030+dualuse_emma_watson_black_blazer_armscrossed,p030,dualuse_emma_watson_black_blazer_armscrossed,46
p030+dualuse_emma_watson_black_blazer_armscrossed,p030,dualuse_emma_watson_black_blazer_armscrossed,47
p030+dualuse_emma_watson_black_blazer_armscrossed,p030,dualuse_emma_watson_black_blazer_armscrossed,48
dualuse_emma_watson_black_blazer_armscrossed+dualuse_gal_gadot_blue_dress_redcarpet,dualuse_emma_watson_black_blazer_armscrossed,dualuse_gal_gadot_blue_dress_redcarpet,46
dualuse_emma_watson_black_blazer_armscrossed+dualuse_gal_gadot_blue_dress_redcarpet,dualuse_emma_watson_black_blazer_armscrossed,dualuse_gal_gadot_blue_dress_redcarpet,47
dualuse_emma_watson_black_blazer_armscrossed+dualuse_gal_gadot_blue_dress_redcarpet,dualuse_emma_watson_black_blazer_armscrossed,dualuse_gal_gadot_blue_dress_redcarpet,48
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_hugh_jackman_grey_suit_outdoor,dualuse_gal_gadot_blue_dress_redcarpet,dualuse_hugh_jackman_grey_suit_outdoor,46
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_hugh_jackman_grey_suit_outdoor,dualuse_gal_gadot_blue_dress_redcarpet,dualuse_hugh_jackman_grey_suit_outdoor,47
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_hugh_jackman_grey_suit_outdoor,dualuse_gal_gadot_blue_dress_redcarpet,dualuse_hugh_jackman_grey_suit_outdoor,48
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_man_black_suit_studio_nonceleb,dualuse_hugh_jackman_grey_suit_outdoor,dualuse_man_black_suit_studio_nonceleb,46
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_man_black_suit_studio_nonceleb,dualuse_hugh_jackman_grey_suit_outdoor,dualuse_man_black_suit_studio_nonceleb,47
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_man_black_suit_studio_nonceleb,dualuse_hugh_jackman_grey_suit_outdoor,dualuse_man_black_suit_studio_nonceleb,48
dualuse_man_black_suit_studio_nonceleb+dualuse_queen_latifah_gown_stage,dualuse_man_black_suit_studio_nonceleb,dualuse_queen_latifah_gown_stage,46
dualuse_man_black_suit_studio_nonceleb+dualuse_queen_latifah_gown_stage,dualuse_man_black_suit_studio_nonceleb,dualuse_queen_latifah_gown_stage,47
dualuse_man_black_suit_studio_nonceleb+dualuse_queen_latifah_gown_stage,dualuse_man_black_suit_studio_nonceleb,dualuse_queen_latifah_gown_stage,48
dualuse_queen_latifah_gown_stage+dualuse_scarlett_johansson_black_dress_backview_night,dualuse_queen_latifah_gown_stage,dualuse_scarlett_johansson_black_dress_backview_night,46
dualuse_queen_latifah_gown_stage+dualuse_scarlett_johansson_black_dress_backview_night,dualuse_queen_latifah_gown_stage,dualuse_scarlett_johansson_black_dress_backview_night,47
dualuse_queen_latifah_gown_stage+dualuse_scarlett_johansson_black_dress_backview_night,dualuse_queen_latifah_gown_stage,dualuse_scarlett_johansson_black_dress_backview_night,48
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,dualuse_scarlett_johansson_black_dress_backview_night,dualuse_woman_top_denim_skirt_nonceleb,46
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,dualuse_scarlett_johansson_black_dress_backview_night,dualuse_woman_top_denim_skirt_nonceleb,47
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,dualuse_scarlett_johansson_black_dress_backview_night,dualuse_woman_top_denim_skirt_nonceleb,48
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,dualuse_woman_top_denim_skirt_nonceleb,dualuse_zendaya_white_blazer_skirt,46
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,dualuse_woman_top_denim_skirt_nonceleb,dualuse_zendaya_white_blazer_skirt,47
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,dualuse_woman_top_denim_skirt_nonceleb,dualuse_zendaya_white_blazer_skirt,48
dualuse_zendaya_white_blazer_skirt+dualuse_lp_beige_long_coat_menswear,dualuse_zendaya_white_blazer_skirt,dualuse_lp_beige_long_coat_menswear,46
