set_id,person,garment,seed,group,bc2,er,person_wh_1mp,canvas_SCALE,canvas_NOSCALE,noscale_noop
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,dualuse_emma_watson_black_blazer_armscrossed,dualuse_scarlett_johansson_black_dress_backview_night,46,fail,fail,,1232x851,1216x832,1216x832,1
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,dualuse_hugh_jackman_grey_suit_outdoor,dualuse_zendaya_white_blazer_skirt,46,fail,fail,,835x1254,832x1248,832x1248,1
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,dualuse_hugh_jackman_grey_suit_outdoor,dualuse_zendaya_white_blazer_skirt,47,fail,fail,,835x1254,832x1248,832x1248,1
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,dualuse_hugh_jackman_grey_suit_outdoor,dualuse_zendaya_white_blazer_skirt,48,fail,fail,,835x1254,832x1248,832x1248,1
dualuse_lp_floral_kimono_set+g005,dualuse_lp_floral_kimono_set,g005,46,fail,fail,,916x1144,896x1120,896x1120,1
dualuse_lp_floral_kimono_set+g005,dualuse_lp_floral_kimono_set,g005,47,fail,fail,,916x1144,896x1120,896x1120,1
dualuse_lp_floral_kimono_set+g005,dualuse_lp_floral_kimono_set,g005,48,fail,fail,fail,916x1144,896x1120,896x1120,1
dualuse_man_black_suit_studio_nonceleb+g011,dualuse_man_black_suit_studio_nonceleb,g011,47,fail,fail,,835x1254,832x1248,832x1248,1
dualuse_navy_peacoat_onmodel+g030,dualuse_navy_peacoat_onmodel,g030,47,fail,fail,,1024x1024,1024x1024,1024x1024,1
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,dualuse_scarlett_johansson_black_dress_backview_night,dualuse_woman_top_denim_skirt_nonceleb,47,fail,fail,fail,835x1254,832x1248,832x1248,1
dualuse_scarlett_johansson_black_dress_backview_night+g013,dualuse_scarlett_johansson_black_dress_backview_night,g013,48,fail,fail,,835x1254,832x1248,832x1248,1
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_plaid_overcoat_brown_suit,dualuse_woman_top_denim_skirt_nonceleb,dualuse_lp_plaid_overcoat_brown_suit,47,fail,fail,fail,835x1254,832x1248,832x1248,1
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_plaid_overcoat_brown_suit,dualuse_woman_top_denim_skirt_nonceleb,dualuse_lp_plaid_overcoat_brown_suit,48,fail,fail,,835x1254,832x1248,832x1248,1
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,dualuse_woman_top_denim_skirt_nonceleb,dualuse_zendaya_white_blazer_skirt,46,fail,fail,fail,835x1254,832x1248,832x1248,1
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,dualuse_woman_top_denim_skirt_nonceleb,dualuse_zendaya_white_blazer_skirt,48,fail,fail,,835x1254,832x1248,832x1248,1
g004+g005,g004,g005,46,fail,fail,fail,787x1024,896x1152,768x1024,
g004+g005,g004,g005,47,fail,fail,fail,787x1024,896x1152,768x1024,
g004+g005,g004,g005,48,fail,fail,fail,787x1024,896x1152,768x1024,
g005+g009,g005,g009,46,fail,,fail,819x1024,896x1120,800x1024,
g005+g009,g005,g009,47,fail,fail,fail,819x1024,896x1120,800x1024,
g005+g009,g005,g009,48,fail,fail,,819x1024,896x1120,800x1024,
g005+g014,g005,g014,47,fail,,fail,819x1024,896x1120,800x1024,
g005+p002,g005,p002,47,fail,fail,,819x1024,896x1120,800x1024,
g005+p002,g005,p002,48,fail,fail,fail,819x1024,896x1120,800x1024,
g013+p006,g013,p006,46,fail,fail,,837x1024,896x1120,832x1024,
g013+p006,g013,p006,48,fail,fail,,837x1024,896x1120,832x1024,
g014+g029,g014,g029,47,fail,fail,,837x1024,896x1120,832x1024,
g014+g029,g014,g029,48,fail,fail,,837x1024,896x1120,832x1024,
g015+g018,g015,g018,48,fail,fail,,837x1024,896x1120,832x1024,
g024+p010,g024,p010,47,fail,fail,fail,1024x1024,1024x1024,1024x1024,1
g027+p003,g027,p003,46,fail,fail,,589x1024,768x1344,576x1024,
g027+p003,g027,p003,48,fail,fail,,589x1024,768x1344,576x1024,
g027+p011,g027,p011,48,fail,fail,fail,589x1024,768x1344,576x1024,
g029+p012,g029,p012,48,fail,fail,,745x1024,864x1184,736x1024,
g030+p013,g030,p013,47,fail,fail,fail,1024x1024,1024x1024,1024x1024,1
p006+p011,p006,p011,48,fail,fail,,682x1024,832x1248,672x1024,
p006+p029,p006,p029,47,fail,fail,,682x1024,832x1248,672x1024,
p008+dualuse_emma_watson_black_blazer_armscrossed,p008,dualuse_emma_watson_black_blazer_armscrossed,47,fail,fail,fail,768x1024,864x1152,768x1024,
p008+dualuse_emma_watson_black_blazer_armscrossed,p008,dualuse_emma_watson_black_blazer_armscrossed,48,fail,,fail,768x1024,864x1152,768x1024,
p008+p013,p008,p013,47,fail,fail,fail,768x1024,864x1152,768x1024,
p012+dualuse_queen_latifah_gown_stage,p012,dualuse_queen_latifah_gown_stage,46,fail,fail,fail,682x1024,832x1248,672x1024,
p012+dualuse_queen_latifah_gown_stage,p012,dualuse_queen_latifah_gown_stage,47,fail,fail,,682x1024,832x1248,672x1024,
p012+p017,p012,p017,47,fail,fail,,682x1024,832x1248,672x1024,
p012+p025,p012,p025,47,fail,fail,,682x1024,832x1248,672x1024,
p013+dualuse_scarlett_johansson_black_dress_backview_night,p013,dualuse_scarlett_johansson_black_dress_backview_night,46,fail,fail,,1024x683,1248x832,1024x672,
p013+dualuse_scarlett_johansson_black_dress_backview_night,p013,dualuse_scarlett_johansson_black_dress_backview_night,47,fail,fail,,1024x683,1248x832,1024x672,
p013+dualuse_scarlett_johansson_black_dress_backview_night,p013,dualuse_scarlett_johansson_black_dress_backview_night,48,fail,fail,,1024x683,1248x832,1024x672,
p016+p021,p016,p021,46,fail,fail,,682x1024,832x1248,672x1024,
p019+dualuse_gal_gadot_blue_dress_redcarpet,p019,dualuse_gal_gadot_blue_dress_redcarpet,46,fail,fail,,1024x683,1248x832,1024x672,
p019+dualuse_gal_gadot_blue_dress_redcarpet,p019,dualuse_gal_gadot_blue_dress_redcarpet,47,fail,fail,,1024x683,1248x832,1024x672,
p019+dualuse_gal_gadot_blue_dress_redcarpet,p019,dualuse_gal_gadot_blue_dress_redcarpet,48,fail,fail,,1024x683,1248x832,1024x672,
p022+dualuse_queen_latifah_gown_stage,p022,dualuse_queen_latifah_gown_stage,46,fail,fail,,682x1024,832x1248,672x1024,
p022+dualuse_queen_latifah_gown_stage,p022,dualuse_queen_latifah_gown_stage,47,fail,fail,,682x1024,832x1248,672x1024,
dualuse_queen_latifah_gown_stage+dualuse_lp_floral_kimono_set,dualuse_queen_latifah_gown_stage,dualuse_lp_floral_kimono_set,46,clean,,,835x1254,832x1248,832x1248,1
p019+dualuse_lp_plaid_overcoat_brown_suit,p019,dualuse_lp_plaid_overcoat_brown_suit,47,clean,,,1024x683,1248x832,1024x672,
dualuse_lp_floral_kimono_set+dualuse_lp_navy_quarterzip_knit_LOWRES,dualuse_lp_floral_kimono_set,dualuse_lp_navy_quarterzip_knit_LOWRES,48,clean,,,916x1144,896x1120,896x1120,1
p003+p008,p003,p008,48,clean,,,706x1024,832x1216,704x1024,
p029+dualuse_man_black_suit_studio_nonceleb,p029,dualuse_man_black_suit_studio_nonceleb,48,clean,,,1024x683,1248x832,1024x672,
g014+p007,g014,p007,46,clean,,,837x1024,896x1120,832x1024,
dualuse_lp_beige_long_coat_menswear+g004,dualuse_lp_beige_long_coat_menswear,g004,46,clean,,,835x1254,832x1248,832x1248,1
dualuse_lp_beige_long_coat_menswear+dualuse_lp_floral_kimono_set,dualuse_lp_beige_long_coat_menswear,dualuse_lp_floral_kimono_set,48,clean,,,835x1254,832x1248,832x1248,1
dualuse_navy_peacoat_onmodel+g004,dualuse_navy_peacoat_onmodel,g004,46,clean,,,1024x1024,1024x1024,1024x1024,1
p011+p016,p011,p016,47,clean,,,683x1024,832x1248,672x1024,
dualuse_lp_plaid_overcoat_brown_suit+dualuse_navy_peacoat_onmodel,dualuse_lp_plaid_overcoat_brown_suit,dualuse_navy_peacoat_onmodel,48,clean,,,916x1144,896x1120,896x1120,1
g012+g024,g012,g024,46,clean,,,837x1024,896x1120,832x1024,
p009+p014,p009,p014,46,clean,,,682x1024,832x1248,672x1024,
p030+dualuse_navy_peacoat_onmodel,p030,dualuse_navy_peacoat_onmodel,48,clean,,,682x1024,832x1248,672x1024,
p012+p017,p012,p017,48,clean,,,682x1024,832x1248,672x1024,
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,dualuse_woman_top_denim_skirt_nonceleb,dualuse_zendaya_white_blazer_skirt,47,clean,,,835x1254,832x1248,832x1248,1
p018+p023,p018,p023,48,clean,,,682x1024,832x1248,672x1024,
p026+dualuse_lp_beige_long_coat_menswear,p026,dualuse_lp_beige_long_coat_menswear,46,clean,,,682x1024,832x1248,672x1024,
p015+p020,p015,p020,48,clean,,,683x1024,832x1248,672x1024,
g015+g018,g015,g018,47,clean,,,837x1024,896x1120,832x1024,
p025+p026,p025,p026,47,clean,,,731x1024,864x1184,704x1024,
p025+dualuse_zendaya_white_blazer_skirt,p025,dualuse_zendaya_white_blazer_skirt,47,clean,,,731x1024,864x1184,704x1024,
dualuse_navy_peacoat_onmodel+g030,dualuse_navy_peacoat_onmodel,g030,46,clean,,,1024x1024,1024x1024,1024x1024,1
p024+p025,p024,p025,47,clean,,,682x1024,832x1248,672x1024,
g004+p001,g004,p001,47,clean,,,787x1024,896x1152,768x1024,
p022+g005,p022,g005,47,clean,,,682x1024,832x1248,672x1024,
p003+p004,p003,p004,48,clean,,,706x1024,832x1216,704x1024,
p013+p018,p013,p018,47,clean,,,1024x683,1248x832,1024x672,
p028+g015,p028,g015,47,clean,,,1024x683,1248x832,1024x672,
p023+g009,p023,g009,46,clean,,,682x1024,832x1248,672x1024,
p007+p020,p007,p020,46,clean,,,682x1024,832x1248,672x1024,
g014+p007,g014,p007,47,clean,,,837x1024,896x1120,832x1024,
g004+g013,g004,g013,47,clean,,,787x1024,896x1152,768x1024,
p015+dualuse_zendaya_white_blazer_skirt,p015,dualuse_zendaya_white_blazer_skirt,48,clean,,,683x1024,832x1248,672x1024,
p013+p018,p013,p018,46,clean,,,1024x683,1248x832,1024x672,
p024+p025,p024,p025,48,clean,,,682x1024,832x1248,672x1024,
p019+p024,p019,p024,47,clean,,,1024x683,1248x832,1024x672,
g027+p011,g027,p011,47,clean,,,589x1024,768x1344,576x1024,
p017+p030,p017,p030,46,clean,,,682x1024,832x1248,672x1024,
p010+dualuse_hugh_jackman_grey_suit_outdoor,p010,dualuse_hugh_jackman_grey_suit_outdoor,46,clean,,,683x1024,832x1248,672x1024,
