set_id,position,arm
p001+p002,A,BC
p001+p002,B,BCA4
p001+p002,C,V
p001+p002,D,VEi
p002+p003,A,BCA4
p002+p003,B,BC
p002+p003,C,V
p002+p003,D,VEi
p003+p004,A,BCA4
p003+p004,B,VEi
p003+p004,C,BC
p003+p004,D,V
p004+p005,A,BC
p004+p005,B,V
p004+p005,C,BCA4
p004+p005,D,VEi
p005+p006,A,BCA4
p005+p006,B,V
p005+p006,C,BC
p005+p006,D,VEi
p006+p007,A,V
p006+p007,B,BCA4
p006+p007,C,VEi
p006+p007,D,BC
p007+p008,A,VEi
p007+p008,B,V
p007+p008,C,BC
p007+p008,D,BCA4
p008+p009,A,VEi
p008+p009,B,BCA4
p008+p009,C,BC
p008+p009,D,V
p009+p010,A,V
p009+p010,B,BCA4
p009+p010,C,BC
p009+p010,D,VEi
p010+p011,A,VEi
p010+p011,B,BCA4
p010+p011,C,BC
p010+p011,D,V
p011+p012,A,V
p011+p012,B,VEi
p011+p012,C,BC
p011+p012,D,BCA4
p012+p013,A,VEi
p012+p013,B,V
p012+p013,C,BC
p012+p013,D,BCA4
p013+p014,A,BCA4
p013+p014,B,V
p013+p014,C,BC
p013+p014,D,VEi
p014+p015,A,BC
p014+p015,B,VEi
p014+p015,C,BCA4
p014+p015,D,V
p015+p016,A,V
p015+p016,B,VEi
p015+p016,C,BC
p015+p016,D,BCA4
p016+p017,A,VEi
p016+p017,B,V
p016+p017,C,BCA4
p016+p017,D,BC
p017+p018,A,V
p017+p018,B,BCA4
p017+p018,C,VEi
p017+p018,D,BC
p018+p019,A,BC
p018+p019,B,BCA4
p018+p019,C,V
p018+p019,D,VEi
p019+p020,A,V
p019+p020,B,BCA4
p019+p020,C,BC
p019+p020,D,VEi
p020+p021,A,V
p020+p021,B,VEi
p020+p021,C,BCA4
p020+p021,D,BC
p021+p022,A,V
p021+p022,B,BCA4
p021+p022,C,VEi
p021+p022,D,BC
p022+p023,A,BC
p022+p023,B,V
p022+p023,C,BCA4
p022+p023,D,VEi
p023+p024,A,BCA4
p023+p024,B,BC
p023+p024,C,VEi
p023+p024,D,V
p024+p025,A,BCA4
p024+p025,B,BC
p024+p025,C,V
p024+p025,D,VEi
p025+p026,A,V
p025+p026,B,BCA4
p025+p026,C,BC
p025+p026,D,VEi
p026+p027,A,BC
p026+p027,B,BCA4
p026+p027,C,V
p026+p027,D,VEi
p027+p028,A,VEi
p027+p028,B,V
p027+p028,C,BC
p027+p028,D,BCA4
p028+p029,A,V
p028+p029,B,BC
p028+p029,C,BCA4
p028+p029,D,VEi
p029+p030,A,BC
p029+p030,B,BCA4
p029+p030,C,V
p029+p030,D,VEi
p030+dualuse_emma_watson_black_blazer_armscrossed,A,V
p030+dualuse_emma_watson_black_blazer_armscrossed,B,BCA4
p030+dualuse_emma_watson_black_blazer_armscrossed,C,VEi
p030+dualuse_emma_watson_black_blazer_armscrossed,D,BC
dualuse_emma_watson_black_blazer_armscrossed+dualuse_gal_gadot_blue_dress_redcarpet,A,V
dualuse_emma_watson_black_blazer_armscrossed+dualuse_gal_gadot_blue_dress_redcarpet,B,BC
dualuse_emma_watson_black_blazer_armscrossed+dualuse_gal_gadot_blue_dress_redcarpet,C,VEi
dualuse_emma_watson_black_blazer_armscrossed+dualuse_gal_gadot_blue_dress_redcarpet,D,BCA4
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_hugh_jackman_grey_suit_outdoor,A,BC
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_hugh_jackman_grey_suit_outdoor,B,VEi
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_hugh_jackman_grey_suit_outdoor,C,V
