set_id,class,seed_stable,FAL_fid,A100_fid,diff_fid,FAL_real,A100_real,diff_real,FAL_mean6,A100_mean6,diff_mean6,FAL_garment,A100_garment,diff_garment,FAL_identity,A100_identity,diff_identity,FAL_scene,A100_scene,diff_scene,FAL_clean,A100_clean,diff_clean,FAL_hands,A100_hands,diff_hands,FAL_realism,A100_realism,diff_realism,winner,cross_FAL,cross_A100,cross_tie,pos_FAL,pos_A100,pos_tie,FAL_min_fid,A100_max_fid,A100_min_fid,FAL_max_fid
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,F2,yes,4.111,3.889,0.222,4.0,3.333,0.667,4.056,3.611,0.444,3.0,2.667,0.333,4.333,4.333,0.0,5.0,4.667,0.333,4.0,3.0,1.0,4.0,3.333,0.667,4.0,3.667,0.333,FAL,7,2,0,3,0,0,4.0,4.333,3.333,4.333
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,F2,yes,4.0,3.667,0.333,3.778,3.667,0.111,3.889,3.667,0.222,2.667,2.0,0.667,4.333,4.0,0.333,5.0,5.0,0.0,3.667,3.333,0.333,3.667,4.0,-0.333,4.0,3.667,0.333,FAL,9,0,0,3,0,0,4.0,3.667,3.667,4.0
dualuse_lp_floral_kimono_set+g005,F1,yes,3.333,3.222,0.111,3.333,2.778,0.556,3.333,3.0,0.333,2.0,2.0,0.0,3.667,3.333,0.333,4.333,4.333,0.0,3.0,2.0,1.0,4.0,4.0,0.0,3.0,2.333,0.667,FAL,6,3,0,2,1,0,3.333,3.667,3.0,3.333
dualuse_lp_floral_kimono_set+g024,F1,yes,3.556,3.667,-0.111,3.444,3.667,-0.222,3.5,3.667,-0.167,2.667,2.667,0.0,4.0,4.0,0.0,4.0,4.333,-0.333,3.333,3.333,0.0,3.667,3.667,0.0,3.333,4.0,-0.667,A100,3,6,0,1,2,0,3.333,3.667,3.667,3.667
dualuse_lp_plaid_overcoat_brown_suit+g029,F3,no,3.111,3.444,-0.333,3.778,3.778,-0.0,3.444,3.611,-0.167,2.0,2.667,-0.667,4.0,4.0,0.0,3.333,3.667,-0.333,3.667,3.667,0.0,3.667,3.667,0.0,4.0,4.0,0.0,A100,1,7,1,0,3,0,3.0,3.667,3.0,3.333
dualuse_navy_peacoat_onmodel+g030,F3,no,3.667,3.889,-0.222,3.444,3.444,0.0,3.556,3.667,-0.111,2.333,2.667,-0.333,4.0,4.0,0.0,4.667,5.0,-0.333,3.333,3.333,0.0,3.667,3.667,0.0,3.333,3.333,0.0,A100,3,5,1,1,2,0,3.333,4.0,3.667,4.0
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,F3,no,4.333,4.0,0.333,4.222,3.778,0.444,4.278,3.889,0.389,3.0,3.0,0.0,5.0,4.333,0.667,5.0,4.667,0.333,4.0,3.333,0.667,4.0,4.0,0.0,4.667,4.0,0.667,FAL,9,0,0,3,0,0,4.333,4.333,3.667,4.333
dualuse_zendaya_white_blazer_skirt+dualuse_navy_peacoat_onmodel,F3,no,4.333,4.0,0.333,4.222,4.0,0.222,4.278,4.0,0.278,3.333,4.0,-0.667,5.0,4.0,1.0,4.667,4.0,0.667,4.0,4.0,0.0,4.0,4.0,0.0,4.667,4.0,0.667,FAL,6,0,3,2,0,1,4.0,4.0,4.0,4.667
g004+g005,F1,no,3.444,3.444,0.0,2.889,2.556,0.333,3.167,3.0,0.167,2.333,2.0,0.333,4.0,4.0,0.0,4.0,4.333,-0.333,2.0,2.0,0.0,4.0,3.667,0.333,2.667,2.0,0.667,FAL,6,2,1,3,0,0,3.333,3.667,3.333,3.667
g005+g014,F2,no,4.0,4.111,-0.111,3.556,3.667,-0.111,3.778,3.889,-0.111,2.667,2.667,0.0,4.667,4.667,0.0,4.667,5.0,-0.333,3.333,3.333,0.0,4.0,4.0,0.0,3.333,3.667,-0.333,A100,4,5,0,1,2,0,3.667,4.667,3.667,4.333
g014+g029,F1,no,4.111,4.0,0.111,4.0,3.889,0.111,4.056,3.944,0.111,2.667,2.333,0.333,4.667,4.667,0.0,5.0,5.0,0.0,4.0,3.667,0.333,4.0,4.0,0.0,4.0,4.0,0.0,FAL,4,2,3,1,1,1,3.667,4.333,3.667,4.333
g018+g024,F3,no,4.556,4.556,0.0,3.889,4.0,-0.111,4.222,4.278,-0.056,3.667,4.0,-0.333,5.0,5.0,0.0,5.0,4.667,0.333,3.667,4.0,-0.333,4.0,4.0,0.0,4.0,4.0,0.0,A100,2,3,4,1,1,1,4.333,4.667,4.333,4.667
g024+p002,F2,no,3.444,3.333,0.111,3.333,3.889,-0.556,3.389,3.611,-0.222,2.0,2.0,0.0,4.333,4.333,0.0,4.0,3.667,0.333,3.333,4.0,-0.667,2.667,3.667,-1.0,4.0,4.0,0.0,FAL,4,5,0,1,2,0,3.0,3.667,3.0,4.0
g027+p003,F4,no,3.778,2.667,1.111,4.111,2.667,1.444,3.944,2.667,1.278,2.667,4.0,-1.333,4.0,2.0,2.0,4.667,2.0,2.667,3.667,3.0,0.667,5.0,2.333,2.667,3.667,2.667,1.0,FAL,9,0,0,3,0,0,3.667,2.667,2.667,4.0
g029+p004,F2,no,3.556,4.0,-0.444,3.667,3.667,0.0,3.611,3.833,-0.222,2.0,2.333,-0.333,4.0,4.667,-0.667,4.667,5.0,-0.333,3.667,3.333,0.333,3.667,4.0,-0.333,3.667,3.667,0.0,A100,0,8,1,0,3,0,3.333,4.333,3.667,3.667
p001+p014,F1,no,4.444,4.222,0.222,4.222,3.889,0.333,4.333,4.056,0.278,3.667,3.0,0.667,4.667,4.667,0.0,5.0,5.0,0.0,4.0,3.667,0.333,4.0,4.0,0.0,4.667,4.0,0.667,FAL,7,2,0,2,1,0,4.0,4.333,4.0,4.667
p003+p026,F3,no,3.667,3.667,0.0,3.222,3.778,-0.556,3.444,3.722,-0.278,2.667,3.0,-0.333,4.0,4.0,0.0,4.333,4.0,0.333,3.0,4.0,-1.0,3.0,3.333,-0.333,3.667,4.0,-0.333,A100,3,4,2,1,1,1,3.333,3.667,3.667,4.0
p011+p016,F3,no,4.111,4.0,0.111,4.0,4.0,0.0,4.056,4.0,0.056,3.667,4.0,-0.333,4.0,4.0,0.0,4.667,4.0,0.667,4.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,FAL,4,2,3,1,1,1,4.0,4.333,3.667,4.333
p011+p024,F1,no,3.333,2.889,0.444,2.556,3.222,-0.667,2.944,3.056,-0.111,2.0,2.0,0.0,4.0,4.0,0.0,4.0,2.667,1.333,2.333,3.0,-0.667,2.667,3.667,-1.0,2.667,3.0,-0.333,FAL,7,2,0,3,0,0,3.0,3.0,2.667,3.667
p013+dualuse_scarlett_johansson_black_dress_backview_night,F2,no,4.111,3.556,0.556,3.667,3.333,0.333,3.889,3.444,0.444,3.0,2.0,1.0,4.333,3.667,0.667,5.0,5.0,0.0,3.667,3.0,0.667,3.333,3.0,0.333,4.0,4.0,0.0,FAL,9,0,0,3,0,0,4.0,3.667,3.333,4.333
p015+dualuse_zendaya_white_blazer_skirt,F2,no,3.667,3.778,-0.111,3.667,3.778,-0.111,3.667,3.778,-0.111,2.0,2.333,-0.333,4.0,4.0,0.0,5.0,5.0,0.0,3.667,4.0,-0.333,3.333,3.333,0.0,4.0,4.0,0.0,A100,4,5,0,2,1,0,3.667,4.0,3.667,3.667
p015+p016,F3,no,3.889,3.889,0.0,3.778,3.667,0.111,3.833,3.778,0.056,2.667,2.667,0.0,4.0,4.333,-0.333,5.0,4.667,0.333,3.667,3.667,0.0,3.667,3.333,0.333,4.0,4.0,0.0,FAL,3,6,0,1,2,0,3.667,4.333,3.333,4.0
p018+dualuse_lp_navy_quarterzip_knit_LOWRES,F1,no,4.556,4.222,0.333,4.0,3.889,0.111,4.278,4.056,0.222,4.0,3.333,0.667,4.667,4.667,0.0,5.0,4.667,0.333,4.0,4.0,0.0,4.0,3.667,0.333,4.0,4.0,0.0,FAL,7,0,2,2,0,1,4.333,4.333,4.0,4.667
p019+dualuse_gal_gadot_blue_dress_redcarpet,F4,no,4.0,3.889,0.111,3.222,3.444,-0.222,3.611,3.667,-0.056,2.333,2.667,-0.333,4.667,4.0,0.667,5.0,5.0,0.0,3.0,3.667,-0.667,3.0,2.667,0.333,3.667,4.0,-0.333,FAL,6,3,0,2,1,0,3.667,4.0,3.667,4.333
p020+dualuse_navy_peacoat_onmodel,F1,no,4.111,4.111,0.0,4.111,4.0,0.111,4.111,4.056,0.056,2.667,2.667,0.0,4.667,4.667,0.0,5.0,5.0,0.0,4.0,4.0,0.0,4.333,4.0,0.333,4.0,4.0,0.0,FAL,4,2,3,1,0,2,4.0,4.333,4.0,4.333
p020+p021,F1,no,4.111,4.0,0.111,3.889,4.0,-0.111,4.0,4.0,0.0,3.333,3.0,0.333,4.0,4.0,0.0,5.0,5.0,0.0,4.0,4.0,0.0,3.667,4.0,-0.333,4.0,4.0,0.0,FAL,3,0,6,1,0,2,4.0,4.0,4.0,4.333
p025+dualuse_zendaya_white_blazer_skirt,F2,no,3.333,3.333,0.0,3.444,3.556,-0.111,3.389,3.444,-0.056,2.0,2.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,3.333,3.333,0.0,3.0,3.333,-0.333,4.0,4.0,0.0,A100,4,5,0,2,1,0,3.0,3.667,3.0,3.667
p026+g013,F3,no,4.444,4.333,0.111,4.0,3.889,0.111,4.222,4.111,0.111,4.0,4.0,0.0,4.333,4.0,0.333,5.0,5.0,0.0,4.0,4.0,0.0,4.0,3.667,0.333,4.0,4.0,0.0,FAL,5,0,4,2,0,1,4.333,4.333,4.333,4.667
p028+g015,F3,no,3.556,3.889,-0.333,3.0,3.222,-0.222,3.278,3.556,-0.278,1.667,2.0,-0.333,4.333,5.0,-0.667,4.667,4.667,0.0,2.667,3.333,-0.667,3.333,2.667,0.667,3.0,3.667,-0.667,A100,2,7,0,1,2,0,3.0,4.0,3.667,4.0
p030+dualuse_queen_latifah_gown_stage,F3,no,3.333,3.333,0.0,3.333,3.444,-0.111,3.333,3.389,-0.056,3.0,3.333,-0.333,4.0,3.333,0.667,3.0,3.333,-0.333,3.0,3.333,-0.333,3.0,3.333,-0.333,4.0,3.667,0.333,A100,5,4,0,2,1,0,3.0,4.0,2.667,3.667
p030+g024,F3,no,3.889,4.111,-0.222,3.556,3.778,-0.222,3.722,3.944,-0.222,2.0,2.667,-0.667,4.667,4.667,0.0,5.0,5.0,0.0,3.0,3.667,-0.667,4.0,4.0,0.0,3.667,3.667,0.0,A100,2,6,1,1,2,0,3.667,4.333,3.667,4.0
