set_id,fid_vei,fid_v,cell_fails_vei,cell_fails_v,n_seeds_v
dualuse_emma_watson_black_blazer_armscrossed+dualuse_gal_gadot_blue_dress_redcarpet,4.333,3.889,0,1,3
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,4.0,3.833,2,1,2
dualuse_emma_watson_black_blazer_armscrossed+g004,4.667,4.333,0,0,3
dualuse_emma_watson_black_blazer_armscrossed+g027,4.222,4.333,0,0,3
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_hugh_jackman_grey_suit_outdoor,3.667,3.889,0,0,3
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_woman_top_denim_skirt_nonceleb,3.778,3.889,0,0,3
dualuse_gal_gadot_blue_dress_redcarpet+g005,4.0,3.889,0,0,3
dualuse_gal_gadot_blue_dress_redcarpet+g029,3.889,3.667,1,0,3
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_man_black_suit_studio_nonceleb,4.444,4.556,0,0,3
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,3.778,3.667,3,3,3
dualuse_hugh_jackman_grey_suit_outdoor+g009,4.444,4.0,0,0,3
dualuse_lp_beige_long_coat_menswear+dualuse_lp_floral_kimono_set,3.222,3.556,0,1,3
dualuse_lp_beige_long_coat_menswear+g004,3.222,3.667,0,1,3
dualuse_lp_beige_long_coat_menswear+g018,3.0,3.667,3,3,3
dualuse_lp_floral_kimono_set+dualuse_lp_navy_quarterzip_knit_LOWRES,3.444,3.333,3,1,1
dualuse_lp_floral_kimono_set+g005,3.556,3.333,3,3,3
dualuse_lp_floral_kimono_set+g024,3.444,3.556,3,1,3
dualuse_lp_navy_quarterzip_knit_LOWRES+dualuse_lp_plaid_overcoat_brown_suit,4.0,4.222,0,0,3
dualuse_lp_navy_quarterzip_knit_LOWRES+g009,3.667,3.889,0,0,3
dualuse_lp_navy_quarterzip_knit_LOWRES+g027,4.111,4.333,0,0,3
dualuse_lp_plaid_overcoat_brown_suit+dualuse_navy_peacoat_onmodel,3.889,3.778,0,0,3
dualuse_lp_plaid_overcoat_brown_suit+g011,3.0,3.667,1,0,2
dualuse_lp_plaid_overcoat_brown_suit+g029,3.444,3.667,1,1,1
dualuse_man_black_suit_studio_nonceleb+dualuse_lp_beige_long_coat_menswear,4.111,4.222,0,0,3
dualuse_man_black_suit_studio_nonceleb+dualuse_queen_latifah_gown_stage,3.778,3.778,0,0,3
dualuse_man_black_suit_studio_nonceleb+g011,3.778,4.0,2,0,1
dualuse_navy_peacoat_onmodel+g004,4.222,4.167,0,0,2
dualuse_navy_peacoat_onmodel+g012,4.222,4.0,0,0,1
dualuse_navy_peacoat_onmodel+g030,4.111,3.889,0,0,3
dualuse_queen_latifah_gown_stage+dualuse_lp_floral_kimono_set,4.333,4.333,0,0,3
dualuse_queen_latifah_gown_stage+dualuse_scarlett_johansson_black_dress_backview_night,3.667,3.667,3,2,2
dualuse_queen_latifah_gown_stage+g012,4.111,4.333,0,0,2
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_lp_navy_quarterzip_knit_LOWRES,3.556,3.667,1,1,2
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,4.0,4.111,1,0,3
dualuse_scarlett_johansson_black_dress_backview_night+g013,4.444,4.444,0,0,3
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_plaid_overcoat_brown_suit,3.444,3.889,0,1,3
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,3.444,4.0,3,0,3
dualuse_woman_top_denim_skirt_nonceleb+g014,4.0,4.222,0,0,3
dualuse_zendaya_white_blazer_skirt+dualuse_lp_beige_long_coat_menswear,3.778,3.833,0,1,2
dualuse_zendaya_white_blazer_skirt+dualuse_navy_peacoat_onmodel,4.111,3.444,0,2,3
dualuse_zendaya_white_blazer_skirt+g015,4.444,4.0,0,0,2
g004+g005,3.667,3.667,3,2,2
g004+g013,4.222,4.667,0,0,2
g004+p001,4.0,4.5,3,0,2
g005+g009,3.333,4.0,3,1,2
g005+g014,4.556,4.167,0,0,2
g005+p002,3.778,3.667,3,2,2
g009+g011,3.111,3.667,3,1,2
g009+g015,3.444,3.5,3,2,2
g009+p003,3.111,3.333,1,0,1
g011+g012,4.556,4.667,0,0,2
g011+g018,3.889,3.833,3,2,2
g011+p004,4.444,4.333,1,0,2
g012+g013,4.222,4.667,0,0,2
g012+g024,3.778,4.0,0,0,1
g012+p005,3.667,3.833,2,1,2
g013+g014,4.222,4.667,2,0,2
g013+g027,3.778,4.0,2,0,2
g013+p006,3.0,4.0,3,0,1
g014+g015,4.333,4.333,0,0,1
g014+g029,3.556,3.667,3,1,2
g014+p007,3.667,4.0,3,1,1
g015+g018,3.444,3.5,3,2,2
g015+g030,3.222,4.0,3,1,2
g015+p008,3.889,4.0,0,0,2
g018+g024,4.444,4.667,0,0,2
g018+p001,4.444,4.667,0,0,2
g018+p009,4.111,4.167,2,1,2
g024+g027,4.0,3.667,0,0,2
g024+p002,3.889,3.5,3,2,2
g024+p010,3.667,3.167,3,2,2
g027+g029,3.778,3.0,3,0,1
g027+p003,4.111,3.833,0,0,2
g027+p011,3.556,3.0,3,1,1
g029+g030,3.667,3.833,0,0,2
g029+p004,3.222,4.333,1,0,1
g029+p012,3.0,4.167,3,0,2
g030+p001,4.333,4.333,0,0,2
g030+p005,3.778,3.667,0,0,2
g030+p013,4.111,4.5,0,0,2
p001+p002,4.0,3.667,0,2,2
p001+p006,3.667,3.833,0,0,2
p001+p014,4.333,4.167,0,1,2
p001+p024,3.667,3.833,3,2,2
p002+p003,3.778,4.167,1,0,2
p002+p007,4.111,4.667,0,0,2
p002+p015,3.667,4.333,0,0,2
p002+p025,3.444,,0,,0
p003+p004,3.778,4.167,2,1,2
p003+p008,4.111,4.0,0,0,2
p003+p016,3.778,3.833,0,0,2
p003+p026,3.667,3.667,1,0,2
p004+p005,3.556,4.0,0,0,2
p004+p009,3.556,4.0,1,0,1
p004+p017,4.111,4.5,0,0,2
p004+p027,4.222,4.0,0,0,2
p005+p006,3.333,3.5,1,0,2
p005+p010,3.444,3.5,1,0,2
p005+p018,3.778,3.833,0,0,2
p005+p028,3.889,3.667,0,0,2
p006+p007,4.222,4.333,0,0,2
p006+p011,3.556,3.5,3,2,2
p006+p019,3.667,3.333,1,2,2
p006+p029,4.333,4.5,0,0,2
p007+p008,4.222,4.5,0,0,2
p007+p012,4.111,4.167,0,0,2
p007+p020,3.778,3.667,2,1,1
p007+p030,4.222,4.5,0,0,2
p008+dualuse_emma_watson_black_blazer_armscrossed,3.667,4.333,2,0,2
p008+p009,3.778,4.0,0,1,2
p008+p013,3.667,3.5,3,1,2
p008+p021,3.556,3.667,2,0,2
p009+dualuse_gal_gadot_blue_dress_redcarpet,3.667,3.833,0,0,2
p009+p010,3.667,3.667,3,0,2
p009+p014,3.889,4.167,0,0,2
p009+p022,3.556,4.0,3,0,2
p010+dualuse_hugh_jackman_grey_suit_outdoor,4.222,4.167,0,0,2
p010+p011,3.556,3.667,3,2,2
p010+p015,3.778,4.0,0,0,2
p010+p023,3.778,4.333,0,0,1
p011+dualuse_man_black_suit_studio_nonceleb,3.778,3.833,0,0,2
p011+p012,3.778,3.667,0,0,1
p011+p016,4.0,4.0,1,0,2
p011+p024,3.778,3.667,2,1,1
p012+dualuse_queen_latifah_gown_stage,3.444,4.0,0,0,2
p012+p013,3.778,4.167,0,0,2
p012+p017,4.222,4.333,0,0,2
p012+p025,4.222,4.333,0,0,2
p013+dualuse_scarlett_johansson_black_dress_backview_night,3.889,3.667,1,1,1
p013+p014,4.111,4.333,0,0,2
p013+p018,4.0,4.5,0,0,2
p013+p026,4.0,4.333,0,0,2
p014+dualuse_woman_top_denim_skirt_nonceleb,4.0,4.0,0,1,2
p014+p015,4.222,4.5,0,0,2
p014+p019,4.444,4.667,0,0,2
p014+p027,4.667,4.667,0,0,2
p015+dualuse_zendaya_white_blazer_skirt,3.778,3.833,3,2,2
p015+p016,3.778,3.667,2,1,2
p015+p020,4.111,4.0,0,1,2
p015+p028,3.778,4.0,2,0,1
p016+dualuse_lp_beige_long_coat_menswear,3.889,3.5,0,2,2
p016+p017,4.111,4.0,1,0,2
p016+p021,4.111,3.5,0,1,2
p016+p029,3.889,3.833,0,0,2
p017+dualuse_lp_floral_kimono_set,3.667,3.333,1,1,2
p017+p018,3.222,3.667,0,0,1
p017+p022,3.667,4.333,0,0,2
p017+p030,3.778,4.333,0,0,2
p018+dualuse_emma_watson_black_blazer_armscrossed,4.111,4.333,0,0,2
p018+dualuse_lp_navy_quarterzip_knit_LOWRES,4.111,4.5,0,0,2
p018+p019,4.444,4.333,0,0,2
p018+p023,3.667,4.0,0,0,1
p019+dualuse_gal_gadot_blue_dress_redcarpet,3.667,3.667,3,1,2
p019+dualuse_lp_plaid_overcoat_brown_suit,4.0,4.333,2,0,2
p019+p020,3.556,3.667,3,1,1
p019+p024,4.0,4.0,2,1,2
p020+dualuse_hugh_jackman_grey_suit_outdoor,4.111,4.0,0,0,2
p020+dualuse_navy_peacoat_onmodel,3.889,4.333,1,0,2
p020+p021,4.111,3.833,0,1,2
p020+p025,4.0,3.667,2,1,1
p021+dualuse_man_black_suit_studio_nonceleb,3.889,4.167,0,0,2
p021+g004,4.0,4.167,0,0,2
p021+p022,3.889,4.167,0,0,2
p021+p026,4.333,4.5,0,0,2
p022+dualuse_queen_latifah_gown_stage,3.667,3.333,2,2,2
p022+g005,3.556,3.833,1,0,2
p022+p023,3.778,3.833,0,0,2
p022+p027,4.0,4.0,0,0,2
p023+dualuse_scarlett_johansson_black_dress_backview_night,4.111,4.0,0,0,2
p023+g009,4.0,4.333,2,0,1
p023+p024,3.889,4.167,1,0,2
p023+p028,4.222,4.333,0,0,2
p024+dualuse_woman_top_denim_skirt_nonceleb,3.444,3.333,2,2,2
p024+g011,3.333,3.5,3,2,2
p024+p025,3.667,3.667,0,1,2
p024+p029,4.0,4.167,0,0,2
p025+dualuse_zendaya_white_blazer_skirt,3.556,3.333,2,2,2
p025+g012,3.889,4.0,0,0,1
p025+p026,3.778,3.667,1,0,2
p025+p030,3.667,3.667,2,2,2
p026+dualuse_emma_watson_black_blazer_armscrossed,4.222,4.0,0,1,2
p026+dualuse_lp_beige_long_coat_menswear,4.333,4.0,0,0,1
p026+g013,4.111,4.5,1,0,2
p026+p027,4.111,4.333,0,0,2
p027+dualuse_gal_gadot_blue_dress_redcarpet,3.889,4.167,0,0,2
p027+dualuse_lp_floral_kimono_set,4.333,4.0,0,0,1
p027+g014,4.0,4.167,0,0,2
p027+p028,3.556,3.667,0,1,1
p028+dualuse_hugh_jackman_grey_suit_outdoor,4.0,4.167,2,0,2
p028+dualuse_lp_navy_quarterzip_knit_LOWRES,4.111,4.0,1,0,2
