set_id,class,seed_stable,VEi_fid,VEi_real,VEi_mean6,VEi_garment,VEi_identity,VEi_scene,VEi_clean,VEi_hands,VEi_realism,VE_fid,VE_real,VE_mean6,VE_garment,VE_identity,VE_scene,VE_clean,VE_hands,VE_realism,VS_fid,VS_real,VS_mean6,VS_garment,VS_identity,VS_scene,VS_clean,VS_hands,VS_realism,diff_fid_VEivVE,diff_real_VEivVE,diff_mean6_VEivVE,diff_garment_VEivVE,diff_identity_VEivVE,diff_scene_VEivVE,diff_clean_VEivVE,diff_hands_VEivVE,diff_realism_VEivVE,winner_VEivVE,cross_VEi_VEivVE,cross_VE_VEivVE,cross_tie_VEivVE,same_VEi_VEivVE,same_VE_VEivVE,same_tie_VEivVE,diff_fid_VEivVS,diff_real_VEivVS,diff_mean6_VEivVS,diff_garment_VEivVS,diff_identity_VEivVS,diff_scene_VEivVS,diff_clean_VEivVS,diff_hands_VEivVS,diff_realism_VEivVS,winner_VEivVS,cross_VEi_VEivVS,cross_VS_VEivVS,cross_tie_VEivVS,same_VEi_VEivVS,same_VS_VEivVS,same_tie_VEivVS,diff_fid_VEvVS,diff_real_VEvVS,diff_mean6_VEvVS,diff_garment_VEvVS,diff_identity_VEvVS,diff_scene_VEvVS,diff_clean_VEvVS,diff_hands_VEvVS,diff_realism_VEvVS,winner_VEvVS,cross_VE_VEvVS,cross_VS_VEvVS,cross_tie_VEvVS,same_VE_VEvVS,same_VS_VEvVS,same_tie_VEvVS
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,F2,yes,3.889,3.778,3.833,2.333,4.333,5.0,3.667,3.667,4.0,3.667,3.667,3.667,2.333,4.0,4.667,3.667,3.333,4.0,3.778,3.889,3.833,1.667,4.667,5.0,4.0,3.667,4.0,0.222,0.111,0.167,0.0,0.333,0.333,0.0,0.333,0.0,VEi,7,2,0,2,1,0,0.111,-0.111,0.0,0.667,-0.333,0.0,-0.333,0.0,0.0,VEi,5,2,2,1,1,1,-0.111,-0.222,-0.167,0.667,-0.667,-0.333,-0.333,-0.333,0.0,VS,2,6,1,0,2,1
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,F2,yes,3.778,4.0,3.889,2.0,4.667,4.667,4.0,4.0,4.0,3.556,3.889,3.722,1.333,4.333,5.0,3.667,4.0,4.0,3.556,4.0,3.778,1.333,4.333,5.0,4.0,4.0,4.0,0.222,0.111,0.167,0.667,0.333,-0.333,0.333,0.0,0.0,VEi,6,2,1,2,0,1,0.222,0.0,0.111,0.667,0.333,-0.333,0.0,0.0,0.0,VEi,6,2,1,2,0,1,0.0,-0.111,-0.056,0.0,0.0,0.0,-0.333,0.0,0.0,VS,2,4,3,0,1,2
dualuse_lp_floral_kimono_set+g005,F1,yes,3.444,3.222,3.333,2.0,4.0,4.333,3.0,3.667,3.0,3.444,3.333,3.389,2.0,4.0,4.333,3.0,3.667,3.333,3.333,3.444,3.389,1.333,4.0,4.667,3.0,3.667,3.667,0.0,-0.111,-0.056,0.0,0.0,0.0,0.0,0.0,-0.333,VE,4,3,2,1,1,1,0.111,-0.222,-0.056,0.667,0.0,-0.333,0.0,0.0,-0.667,VEi,4,4,1,2,1,0,0.111,-0.111,0.0,0.667,0.0,-0.333,0.0,0.0,-0.333,VE,5,4,0,2,1,0
dualuse_lp_floral_kimono_set+g024,F1,yes,3.333,2.667,3.0,2.0,4.0,4.0,2.667,2.333,3.0,3.556,3.222,3.389,2.0,4.0,4.667,2.667,3.667,3.333,3.556,3.111,3.333,2.667,4.0,4.0,2.667,3.333,3.333,-0.222,-0.556,-0.389,0.0,0.0,-0.667,0.0,-1.333,-0.333,VE,0,9,0,0,3,0,-0.222,-0.444,-0.333,-0.667,0.0,0.0,0.0,-1.0,-0.333,VS,1,7,1,0,3,0,0.0,0.111,0.056,-0.667,0.0,0.667,0.0,0.333,0.0,VE,5,4,0,1,2,0
dualuse_lp_plaid_overcoat_brown_suit+g029,F3,no,3.556,3.889,3.722,3.0,4.0,3.667,4.0,3.667,4.0,3.333,4.0,3.667,2.667,4.0,3.333,4.0,4.0,4.0,3.556,4.0,3.778,2.667,4.0,4.0,4.0,4.0,4.0,0.222,-0.111,0.056,0.333,0.0,0.333,0.0,-0.333,0.0,VEi,5,2,2,1,0,2,0.0,-0.111,-0.056,0.333,0.0,-0.333,0.0,-0.333,0.0,VS,2,4,3,1,1,1,-0.222,0.0,-0.111,0.0,0.0,-0.667,0.0,0.0,0.0,VS,1,5,3,0,2,1
dualuse_navy_peacoat_onmodel+g030,F3,no,4.0,3.222,3.611,3.0,4.333,4.667,3.333,3.333,3.0,3.889,3.333,3.611,3.0,4.0,4.667,3.0,4.0,3.0,3.778,3.222,3.5,2.333,4.0,5.0,3.0,3.667,3.0,0.111,-0.111,0.0,0.0,0.333,0.0,0.333,-0.667,0.0,VEi,4,2,3,1,1,1,0.222,0.0,0.111,0.667,0.333,-0.333,0.333,-0.333,0.0,VEi,7,2,0,2,1,0,0.111,0.111,0.111,0.667,0.0,-0.333,0.0,0.333,0.0,VE,6,3,0,2,1,0
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,F3,no,4.111,3.889,4.0,3.0,4.333,5.0,3.667,4.0,4.0,3.889,4.111,4.0,2.333,4.333,5.0,4.0,4.0,4.333,3.667,4.0,3.833,2.0,4.0,5.0,4.0,4.0,4.0,0.222,-0.222,0.0,0.667,0.0,0.0,-0.333,0.0,-0.333,VEi,6,2,1,2,1,0,0.444,-0.111,0.167,1.0,0.333,0.0,-0.333,0.0,0.0,VEi,6,0,3,2,0,1,0.222,0.111,0.167,0.333,0.333,0.0,0.0,0.0,0.333,VE,6,0,3,2,0,1
dualuse_zendaya_white_blazer_skirt+dualuse_navy_peacoat_onmodel,F3,no,3.778,4.111,3.944,3.0,4.333,4.0,4.0,4.0,4.333,3.889,4.0,3.944,3.667,4.0,4.0,4.0,4.0,4.0,3.778,4.0,3.889,3.333,4.0,4.0,4.0,4.0,4.0,-0.111,0.111,0.0,-0.667,0.333,0.0,0.0,0.0,0.333,VE,3,4,2,1,1,1,0.0,0.111,0.056,-0.333,0.333,0.0,0.0,0.0,0.333,VEi,3,2,4,1,1,1,0.111,0.0,0.056,0.333,0.0,0.0,0.0,0.0,0.0,VE,4,1,4,1,0,2
g004+g005,F1,no,3.778,3.222,3.5,2.333,4.0,5.0,2.667,4.0,3.0,3.556,3.222,3.389,2.0,4.0,4.667,2.667,4.0,3.0,3.333,3.111,3.222,2.0,4.0,4.0,2.667,3.667,3.0,0.222,0.0,0.111,0.333,0.0,0.333,0.0,0.0,0.0,VEi,6,1,2,1,0,2,0.444,0.111,0.278,0.333,0.0,1.0,0.0,0.333,0.0,VEi,9,0,0,3,0,0,0.222,0.111,0.167,0.0,0.0,0.667,0.0,0.333,0.0,VE,6,1,2,2,0,1
g005+g014,F2,no,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.111,3.667,3.889,3.333,4.0,5.0,3.333,4.0,3.667,3.889,3.444,3.667,2.667,4.333,4.667,3.0,4.0,3.333,-0.111,0.333,0.111,-0.333,0.0,0.0,0.667,0.0,0.333,VE,6,3,0,2,1,0,0.111,0.556,0.333,0.333,-0.333,0.333,1.0,0.0,0.667,VEi,9,0,0,3,0,0,0.222,0.222,0.222,0.667,-0.333,0.333,0.333,0.0,0.333,VE,6,1,2,1,0,2
g014+g029,F1,no,3.778,3.778,3.778,2.333,4.333,4.667,3.333,4.0,4.0,3.889,4.0,3.944,2.333,4.667,4.667,4.0,4.0,4.0,3.889,3.889,3.889,2.333,4.333,5.0,3.667,4.0,4.0,-0.111,-0.222,-0.167,0.0,-0.333,0.0,-0.667,0.0,0.0,VE,3,6,0,1,2,0,-0.111,-0.111,-0.111,0.0,0.0,-0.333,-0.333,0.0,0.0,VS,3,5,1,1,1,1,0.0,0.111,0.056,0.0,0.333,-0.333,0.333,0.0,0.0,VE,3,2,4,1,1,1
g018+g024,F3,no,3.889,4.0,3.944,3.333,4.0,4.333,4.0,4.0,4.0,4.0,3.889,3.944,4.0,4.333,3.667,4.0,3.667,4.0,3.778,3.778,3.778,3.667,4.0,3.667,3.667,3.667,4.0,-0.111,0.111,0.0,-0.667,-0.333,0.667,0.0,0.333,0.0,VE,4,3,2,1,1,1,0.111,0.222,0.167,-0.333,0.0,0.667,0.333,0.333,0.0,VEi,5,2,2,2,1,0,0.222,0.111,0.167,0.333,0.333,0.0,0.333,0.0,0.0,VE,5,3,1,2,1,0
