set_id,person,person_path,person_hair,person_tone,person_view,garment,garment_path,garment_kind,stress,why
dualuse_emma_watson_black_blazer_armscrossed+dualuse_lp_floral_kimono_set,dualuse_emma_watson_black_blazer_armscrossed,test_set2/people/dualuse_emma_watson_black_blazer_armscrossed.jpg,long,light,frontal,dualuse_lp_floral_kimono_set,test_set2/clothes/dualuse_lp_floral_kimono_set.webp,worn,BC,dense floral on a loose editorial drape; the V2 kimono reference
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_lp_floral_kimono_set,dualuse_hugh_jackman_grey_suit_outdoor,test_set2/people/dualuse_hugh_jackman_grey_suit_outdoor.jpg,short,light,frontal,dualuse_lp_floral_kimono_set,test_set2/clothes/dualuse_lp_floral_kimono_set.webp,worn,BC,dense floral on a loose editorial drape; the V2 kimono reference
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_floral_kimono_set,dualuse_woman_top_denim_skirt_nonceleb,test_set2/people/dualuse_woman_top_denim_skirt_nonceleb.jpg,long,light,frontal,dualuse_lp_floral_kimono_set,test_set2/clothes/dualuse_lp_floral_kimono_set.webp,worn,BC,dense floral on a loose editorial drape; the V2 kimono reference
dualuse_queen_latifah_gown_stage+dualuse_navy_peacoat_onmodel,dualuse_queen_latifah_gown_stage,test_set2/people/dualuse_queen_latifah_gown_stage.jpg,long,deep,frontal,dualuse_navy_peacoat_onmodel,test_set2/clothes/dualuse_navy_peacoat_onmodel.webp,worn,BC,high stand collar - the head cut lands on the garment itself
dualuse_man_black_suit_studio_nonceleb+dualuse_navy_peacoat_onmodel,dualuse_man_black_suit_studio_nonceleb,test_set2/people/dualuse_man_black_suit_studio_nonceleb.jpg,short,medium,frontal,dualuse_navy_peacoat_onmodel,test_set2/clothes/dualuse_navy_peacoat_onmodel.webp,worn,BC,high stand collar - the head cut lands on the garment itself
dualuse_zendaya_white_blazer_skirt+dualuse_navy_peacoat_onmodel,dualuse_zendaya_white_blazer_skirt,test_set2/people/dualuse_zendaya_white_blazer_skirt.jpeg,long,medium,frontal,dualuse_navy_peacoat_onmodel,test_set2/clothes/dualuse_navy_peacoat_onmodel.webp,worn,BC,high stand collar - the head cut lands on the garment itself
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_lp_plaid_overcoat_brown_suit,dualuse_gal_gadot_blue_dress_redcarpet,test_set2/people/dualuse_gal_gadot_blue_dress_redcarpet.jpg,long,light,frontal,dualuse_lp_plaid_overcoat_brown_suit,test_set2/clothes/dualuse_lp_plaid_overcoat_brown_suit.jpg,worn,both,plaid and a collar together: BC cut-line and QX smoothing in one reference
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_lp_plaid_overcoat_brown_suit,dualuse_scarlett_johansson_black_dress_backview_night,test_set2/people/dualuse_scarlett_johansson_black_dress_backview_night.avif,long,light,back,dualuse_lp_plaid_overcoat_brown_suit,test_set2/clothes/dualuse_lp_plaid_overcoat_brown_suit.jpg,worn,both,plaid and a collar together: BC cut-line and QX smoothing in one reference
dualuse_emma_watson_black_blazer_armscrossed+dualuse_lp_plaid_overcoat_brown_suit,dualuse_emma_watson_black_blazer_armscrossed,test_set2/people/dualuse_emma_watson_black_blazer_armscrossed.jpg,long,light,frontal,dualuse_lp_plaid_overcoat_brown_suit,test_set2/clothes/dualuse_lp_plaid_overcoat_brown_suit.jpg,worn,both,plaid and a collar together: BC cut-line and QX smoothing in one reference
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_lp_beige_long_coat_menswear,dualuse_hugh_jackman_grey_suit_outdoor,test_set2/people/dualuse_hugh_jackman_grey_suit_outdoor.jpg,short,light,frontal,dualuse_lp_beige_long_coat_menswear,test_set2/clothes/dualuse_lp_beige_long_coat_menswear.webp,worn,BC,beige against skin - the low-amplitude boundary case
