pair,set_id,person,person_path,person_src,person_pose,person_tone,person_gender,person_framing,garment,garment_path,garment_src,garment_category,garment_hard_case,garment_hair_frac,bald_pass_useful
1,p001+p029,p001,test_set3/people/p001.jpg,test_set1,neutral_standing,light,woman,full_body,p029,test_set3/people/p029.jpg,test_set1,person,,0.01413,yes
2,p002+p030,p002,test_set3/people/p002.jpg,test_set1,neutral_standing,medium,man,full_body,p030,test_set3/people/p030.jpg,test_set1,person,,0.02987,yes
3,p003+dualuse_emma_watson_black_blazer_armscrossed,p003,test_set3/people/p003.jpg,test_set1,neutral_standing,dark,woman,full_body,dualuse_emma_watson_black_blazer_armscrossed,test_set3/people/dualuse_emma_watson_black_blazer_armscrossed.jpg,test_set2/people,,,0.01638,yes
4,p004+dualuse_gal_gadot_blue_dress_redcarpet,p004,test_set3/people/p004.jpg,test_set1,neutral_standing,light,man,waist_up,dualuse_gal_gadot_blue_dress_redcarpet,test_set3/people/dualuse_gal_gadot_blue_dress_redcarpet.jpg,test_set2/people,,,0.01984,yes
5,p005+dualuse_hugh_jackman_grey_suit_outdoor,p005,test_set3/people/p005.jpg,test_set1,neutral_standing,medium,woman,full_body,dualuse_hugh_jackman_grey_suit_outdoor,test_set3/people/dualuse_hugh_jackman_grey_suit_outdoor.jpg,test_set2/people,,,0.00416,yes
6,p006+dualuse_man_black_suit_studio_nonceleb,p006,test_set3/people/p006.jpg,test_set1,neutral_standing,dark,man,full_body,dualuse_man_black_suit_studio_nonceleb,test_set3/people/dualuse_man_black_suit_studio_nonceleb.jpg,test_set2/people,,,0.00227,yes
7,p007+dualuse_queen_latifah_gown_stage,p007,test_set3/people/p007.jpg,test_set1,neutral_standing,light,man,waist_up,dualuse_queen_latifah_gown_stage,test_set3/people/dualuse_queen_latifah_gown_stage.jpg,test_set2/people,,,0.01993,yes
8,p008+dualuse_scarlett_johansson_black_dress_backview_night,p008,test_set3/people/p008.jpg,test_set1,neutral_standing,medium,woman,full_body,dualuse_scarlett_johansson_black_dress_backview_night,test_set3/people/dualuse_scarlett_johansson_black_dress_backview_night.avif,test_set2/people,,,0.01516,yes
9,p009+dualuse_woman_top_denim_skirt_nonceleb,p009,test_set3/people/p009.jpg,test_set1,arms_crossed,dark,woman,full_body,dualuse_woman_top_denim_skirt_nonceleb,test_set3/people/dualuse_woman_top_denim_skirt_nonceleb.jpg,test_set2/people,,,0.02157,yes
10,p010+dualuse_zendaya_white_blazer_skirt,p010,test_set3/people/p010.jpg,test_set1,arms_crossed,light,man,full_body,dualuse_zendaya_white_blazer_skirt,test_set3/people/dualuse_zendaya_white_blazer_skirt.jpeg,test_set2/people,,,0.02123,yes
11,p011+dualuse_lp_beige_long_coat_menswear,p011,test_set3/people/p011.jpg,test_set1,arms_crossed,medium,man,waist_up,dualuse_lp_beige_long_coat_menswear,test_set3/people/dualuse_lp_beige_long_coat_menswear.webp,test_set2/clothes (on-model),,,0.00189,yes
12,p012+dualuse_lp_floral_kimono_set,p012,test_set3/people/p012.jpg,test_set1,arms_crossed,dark,woman,full_body,dualuse_lp_floral_kimono_set,test_set3/people/dualuse_lp_floral_kimono_set.webp,test_set2/clothes (on-model),,,0.00084,yes
13,p013+dualuse_lp_navy_quarterzip_knit_LOWRES,p013,test_set3/people/p013.jpg,test_set1,arms_crossed,light,woman,waist_up,dualuse_lp_navy_quarterzip_knit_LOWRES,test_set3/people/dualuse_lp_navy_quarterzip_knit_LOWRES.avif,test_set2/clothes (on-model),,,0.00565,yes
14,p014+dualuse_lp_plaid_overcoat_brown_suit,p014,test_set3/people/p014.jpg,test_set1,arms_crossed,medium,man,waist_up,dualuse_lp_plaid_overcoat_brown_suit,test_set3/people/dualuse_lp_plaid_overcoat_brown_suit.jpg,test_set2/clothes (on-model),,,0.00009,no
15,p015+dualuse_navy_peacoat_onmodel,p015,test_set3/people/p015.jpg,test_set1,arms_crossed,dark,man,waist_up,dualuse_navy_peacoat_onmodel,test_set3/people/dualuse_navy_peacoat_onmodel.webp,test_set2/clothes (on-model),,,0.00229,yes
16,p016+g004,p016,test_set3/people/p016.jpg,test_set1,side_profile,light,woman,full_body,g004,test_set3/people/g004.jpg,test_set1/garments (on-model),tight_top,,0.00343,yes
17,p017+g005,p017,test_set3/people/p017.jpg,test_set1,three_quarter,medium,man,full_body,g005,test_set3/people/g005.jpg,test_set1/garments (on-model),tight_top,graphic_logo,0.00245,yes
18,p018+g009,p018,test_set3/people/p018.jpg,test_set1,side_profile,dark,man,three_quarter_length,g009,test_set3/people/g009.jpg,test_set1/garments (on-model),loose_top,,0.01730,yes
19,p019+g011,p019,test_set3/people/p019.jpg,test_set1,side_profile,light,woman,waist_up,g011,test_set3/people/g011.jpg,test_set1/garments (on-model),dress,,0.00791,yes
20,p020+g012,p020,test_set3/people/p020.jpg,test_set1,side_profile,medium,man,waist_up,g012,test_set3/people/g012.jpg,test_set1/garments (on-model),dress,fine_pattern,0.00871,yes
21,p021+g013,p021,test_set3/people/p021.jpg,test_set1,sitting,dark,woman,full_body,g013,test_set3/people/g013.jpg,test_set1/garments (on-model),dress,fine_pattern,0.00541,yes
22,p022+g014,p022,test_set3/people/p022.jpg,test_set1,sitting,light,man,full_body,g014,test_set3/people/g014.jpg,test_set1/garments (on-model),dress,,0.00485,yes
23,p023+g015,p023,test_set3/people/p023.jpg,test_set1,sitting,medium,woman,waist_up,g015,test_set3/people/g015.jpg,test_set1/garments (on-model),dress,,0.00000,no
24,p024+g018,p024,test_set3/people/p024.jpg,test_set1,sitting,dark,man,full_body,g018,test_set3/people/g018.jpg,test_set1/garments (on-model),outerwear,open_front,0.03655,yes
25,p025+g024,p025,test_set3/people/p025.jpg,test_set1,walking,light,woman,full_body,g024,test_set3/people/g024.jpg,test_set1/garments (on-model),lower_body,,0.00695,yes
26,p026+g027,p026,test_set3/people/p026.jpg,test_set1,walking,medium,woman,full_body,g027,test_set3/people/g027.jpg,test_set1/garments (on-model),hard_case,graphic_text,0.02194,yes
27,p027+g029,p027,test_set3/people/p027.jpg,test_set1,walking,dark,man,full_body,g029,test_set3/people/g029.jpg,test_set1/garments (on-model),hard_case,fine_pattern,0.06154,yes
28,p028+g030,p028,test_set3/people/p028.jpg,test_set1,arms_raised,light,woman,waist_up,g030,test_set3/people/g030.jpg,test_set1/garments (on-model),hard_case,texture_sheer,0.05940,yes
