set_id,person,person_file,garment,garment_file,v46,v47,v48
dualuse_emma_watson_black_blazer_armscrossed+g004,dualuse_emma_watson_black_blazer_armscrossed,dualuse_emma_watson_black_blazer_armscrossed.jpg,g004,g004.jpg,tie,tie,tie
dualuse_emma_watson_black_blazer_armscrossed+g027,dualuse_emma_watson_black_blazer_armscrossed,dualuse_emma_watson_black_blazer_armscrossed.jpg,g027,g027.jpg,tie,tie,tie
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_woman_top_denim_skirt_nonceleb,dualuse_gal_gadot_blue_dress_redcarpet,dualuse_gal_gadot_blue_dress_redcarpet.jpg,dualuse_woman_top_denim_skirt_nonceleb,dualuse_woman_top_denim_skirt_nonceleb.jpg,tie,tie,tie
dualuse_lp_floral_kimono_set+dualuse_lp_navy_quarterzip_knit_LOWRES,dualuse_lp_floral_kimono_set,dualuse_lp_floral_kimono_set.webp,dualuse_lp_navy_quarterzip_knit_LOWRES,dualuse_lp_navy_quarterzip_knit_LOWRES.avif,tie,tie,tie
dualuse_man_black_suit_studio_nonceleb+dualuse_lp_beige_long_coat_menswear,dualuse_man_black_suit_studio_nonceleb,dualuse_man_black_suit_studio_nonceleb.jpg,dualuse_lp_beige_long_coat_menswear,dualuse_lp_beige_long_coat_menswear.webp,tie,tie,tie
dualuse_man_black_suit_studio_nonceleb+dualuse_queen_latifah_gown_stage,dualuse_man_black_suit_studio_nonceleb,dualuse_man_black_suit_studio_nonceleb.jpg,dualuse_queen_latifah_gown_stage,dualuse_queen_latifah_gown_stage.jpg,tie,tie,tie
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_plaid_overcoat_brown_suit,dualuse_woman_top_denim_skirt_nonceleb,dualuse_woman_top_denim_skirt_nonceleb.jpg,dualuse_lp_plaid_overcoat_brown_suit,dualuse_lp_plaid_overcoat_brown_suit.jpg,tie,tie,tie
dualuse_woman_top_denim_skirt_nonceleb+g014,dualuse_woman_top_denim_skirt_nonceleb,dualuse_woman_top_denim_skirt_nonceleb.jpg,g014,g014.jpg,tie,tie,tie
g005+g009,g005,g005.jpg,g009,g009.jpg,tie,tie,V
g012+g013,g012,g012.jpg,g013,g013.jpg,tie,tie,tie
g013+g014,g013,g013.jpg,g014,g014.jpg,V,V,V
g014+p007,g014,g014.jpg,p007,p007.jpg,tie,tie,tie
g024+p010,g024,g024.jpg,p010,p010.jpg,tie,V,V
p001+p024,p001,p001.jpg,p024,p024.jpg,tie,tie,tie
p005+p006,p005,p005.jpg,p006,p006.jpg,tie,tie,tie
p005+p010,p005,p005.jpg,p010,p010.jpg,tie,tie,tie
p009+p010,p009,p009.jpg,p010,p010.jpg,tie,tie,tie
p012+dualuse_queen_latifah_gown_stage,p012,p012.jpg,dualuse_queen_latifah_gown_stage,dualuse_queen_latifah_gown_stage.jpg,tie,tie,tie
p012+p013,p012,p012.jpg,p013,p013.jpg,V,V,tie
p016+p017,p016,p016.jpg,p017,p017.jpg,tie,tie,V
p016+p029,p016,p016.jpg,p029,p029.jpg,tie,V,V
p017+p018,p017,p017.jpg,p018,p018.jpg,tie,tie,tie
p017+p030,p017,p017.jpg,p030,p030.jpg,V,V,V
p021+p026,p021,p021.jpg,p026,p026.jpg,tie,tie,tie
p023+dualuse_scarlett_johansson_black_dress_backview_night,p023,p023.jpg,dualuse_scarlett_johansson_black_dress_backview_night,dualuse_scarlett_johansson_black_dress_backview_night.avif,tie,tie,tie
p023+g009,p023,p023.jpg,g009,g009.jpg,tie,tie,tie
p025+g012,p025,p025.jpg,g012,g012.jpg,tie,tie,tie
p025+p030,p025,p025.jpg,p030,p030.jpg,tie,tie,tie
p027+g014,p027,p027.jpg,g014,g014.jpg,tie,tie,tie
p030+dualuse_navy_peacoat_onmodel,p030,p030.jpg,dualuse_navy_peacoat_onmodel,dualuse_navy_peacoat_onmodel.webp,tie,tie,tie
