set_id,person,person_file,garment,garment_file,class,seed_stable,v46,v47,v48,person_pose,person_framing
dualuse_lp_floral_kimono_set+g005,dualuse_lp_floral_kimono_set,dualuse_lp_floral_kimono_set.webp,g005,g005.jpg,F1,yes,fail,fail,fail,,
dualuse_lp_floral_kimono_set+g024,dualuse_lp_floral_kimono_set,dualuse_lp_floral_kimono_set.webp,g024,g024.jpg,F1,yes,fail,fail,fail,,
g004+g005,g004,g004.jpg,g005,g005.jpg,F1,no,fail,fail,V,,
g014+g029,g014,g014.jpg,g029,g029.jpg,F1,no,BC,tie,BC,,
p001+p014,p001,p001.jpg,p014,p014.jpg,F1,no,BC,tie,V,neutral_standing,full_body
p011+p024,p011,p011.jpg,p024,p024.jpg,F1,no,V,fail,V,arms_crossed,waist_up
p018+dualuse_lp_navy_quarterzip_knit_LOWRES,p018,p018.jpg,dualuse_lp_navy_quarterzip_knit_LOWRES,dualuse_lp_navy_quarterzip_knit_LOWRES.avif,F1,no,tie,tie,fail,side_profile,three_quarter_length
p020+dualuse_navy_peacoat_onmodel,p020,p020.jpg,dualuse_navy_peacoat_onmodel,dualuse_navy_peacoat_onmodel.webp,F1,no,tie,tie,fail,side_profile,waist_up
p020+p021,p020,p020.jpg,p021,p021.jpg,F1,no,tie,tie,fail,side_profile,waist_up
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,dualuse_emma_watson_black_blazer_armscrossed,dualuse_emma_watson_black_blazer_armscrossed.jpg,dualuse_scarlett_johansson_black_dress_backview_night,dualuse_scarlett_johansson_black_dress_backview_night.avif,F2,yes,BC,BC,BC,,
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,dualuse_hugh_jackman_grey_suit_outdoor,dualuse_hugh_jackman_grey_suit_outdoor.jpg,dualuse_zendaya_white_blazer_skirt,dualuse_zendaya_white_blazer_skirt.jpeg,F2,yes,fail,fail,fail,,
g005+g014,g005,g005.jpg,g014,g014.jpg,F2,no,tie,fail,V,,
g024+p002,g024,g024.jpg,p002,p002.jpg,F2,no,tie,tie,fail,,
g029+p004,g029,g029.jpg,p004,p004.jpg,F2,no,fail,V,fail,,
p013+dualuse_scarlett_johansson_black_dress_backview_night,p013,p013.jpg,dualuse_scarlett_johansson_black_dress_backview_night,dualuse_scarlett_johansson_black_dress_backview_night.avif,F2,no,BC,V,tie,arms_crossed,waist_up
p015+dualuse_zendaya_white_blazer_skirt,p015,p015.jpg,dualuse_zendaya_white_blazer_skirt,dualuse_zendaya_white_blazer_skirt.jpeg,F2,no,tie,tie,fail,arms_crossed,waist_up
p025+dualuse_zendaya_white_blazer_skirt,p025,p025.jpg,dualuse_zendaya_white_blazer_skirt,dualuse_zendaya_white_blazer_skirt.jpeg,F2,no,tie,tie,fail,walking,full_body
dualuse_lp_plaid_overcoat_brown_suit+g029,dualuse_lp_plaid_overcoat_brown_suit,dualuse_lp_plaid_overcoat_brown_suit.jpg,g029,g029.jpg,F3,no,tie,BC,BC,,
dualuse_navy_peacoat_onmodel+g030,dualuse_navy_peacoat_onmodel,dualuse_navy_peacoat_onmodel.webp,g030,g030.jpg,F3,no,BC,tie,tie,,
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,dualuse_scarlett_johansson_black_dress_backview_night,dualuse_scarlett_johansson_black_dress_backview_night.avif,dualuse_woman_top_denim_skirt_nonceleb,dualuse_woman_top_denim_skirt_nonceleb.jpg,F3,no,BC,BC,tie,,
dualuse_zendaya_white_blazer_skirt+dualuse_navy_peacoat_onmodel,dualuse_zendaya_white_blazer_skirt,dualuse_zendaya_white_blazer_skirt.jpeg,dualuse_navy_peacoat_onmodel,dualuse_navy_peacoat_onmodel.webp,F3,no,tie,tie,BC,,
g018+g024,g018,g018.jpg,g024,g024.jpg,F3,no,tie,BC,tie,,
p003+p026,p003,p003.jpg,p026,p026.jpg,F3,no,tie,BC,tie,neutral_standing,full_body
p011+p016,p011,p011.jpg,p016,p016.jpg,F3,no,tie,BC,BC,arms_crossed,waist_up
p015+p016,p015,p015.jpg,p016,p016.jpg,F3,no,BC,V,BC,arms_crossed,waist_up
p026+g013,p026,p026.jpg,g013,g013.jpg,F3,no,tie,BC,tie,walking,full_body
p028+g015,p028,p028.jpg,g015,g015.jpg,F3,no,tie,fail,tie,arms_raised,waist_up
p030+dualuse_queen_latifah_gown_stage,p030,p030.jpg,dualuse_queen_latifah_gown_stage,dualuse_queen_latifah_gown_stage.jpg,F3,no,V,BC,BC,arms_raised,waist_up
p030+g024,p030,p030.jpg,g024,g024.jpg,F3,no,BC,tie,tie,arms_raised,waist_up
g027+p003,g027,g027.jpg,p003,p003.jpg,F4,no,V,BC,tie,,
p019+dualuse_gal_gadot_blue_dress_redcarpet,p019,p019.jpg,dualuse_gal_gadot_blue_dress_redcarpet,dualuse_gal_gadot_blue_dress_redcarpet.jpg,F4,no,tie,BC,fail,side_profile,waist_up
