set_id,person,person_file,garment,garment_file,person_framing,garment_hard_case,v46,v47,v48,seed_stable
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,dualuse_emma_watson_black_blazer_armscrossed,dualuse_emma_watson_black_blazer_armscrossed.jpg,dualuse_scarlett_johansson_black_dress_backview_night,dualuse_scarlett_johansson_black_dress_backview_night.avif,,,FAIL,CLEAN,CLEAN,no
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_woman_top_denim_skirt_nonceleb,dualuse_gal_gadot_blue_dress_redcarpet,dualuse_gal_gadot_blue_dress_redcarpet.jpg,dualuse_woman_top_denim_skirt_nonceleb,dualuse_woman_top_denim_skirt_nonceleb.jpg,,,CLEAN,FAIL,CLEAN,no
dualuse_lp_floral_kimono_set+g005,dualuse_lp_floral_kimono_set,dualuse_lp_floral_kimono_set.webp,g005,g005.jpg,,graphic_logo,MID,FAIL,FAIL,no
dualuse_lp_floral_kimono_set+g024,dualuse_lp_floral_kimono_set,dualuse_lp_floral_kimono_set.webp,g024,g024.jpg,,,FAIL,CLEAN,FAIL,no
dualuse_man_black_suit_studio_nonceleb+g011,dualuse_man_black_suit_studio_nonceleb,dualuse_man_black_suit_studio_nonceleb.jpg,g011,g011.jpg,,,CLEAN,FAIL,MID,no
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,dualuse_scarlett_johansson_black_dress_backview_night,dualuse_scarlett_johansson_black_dress_backview_night.avif,dualuse_woman_top_denim_skirt_nonceleb,dualuse_woman_top_denim_skirt_nonceleb.jpg,,,CLEAN,FAIL,FAIL,no
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_plaid_overcoat_brown_suit,dualuse_woman_top_denim_skirt_nonceleb,dualuse_woman_top_denim_skirt_nonceleb.jpg,dualuse_lp_plaid_overcoat_brown_suit,dualuse_lp_plaid_overcoat_brown_suit.jpg,,,FAIL,FAIL,CLEAN,no
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,dualuse_woman_top_denim_skirt_nonceleb,dualuse_woman_top_denim_skirt_nonceleb.jpg,dualuse_zendaya_white_blazer_skirt,dualuse_zendaya_white_blazer_skirt.jpeg,,,FAIL,MID,MID,no
g004+g005,g004,g004.jpg,g005,g005.jpg,,graphic_logo,FAIL,FAIL,FAIL,yes
g005+g009,g005,g005.jpg,g009,g009.jpg,,,FAIL,FAIL,FAIL,yes
g005+p002,g005,g005.jpg,p002,p002.jpg,,,FAIL,FAIL,FAIL,yes
g009+g011,g009,g009.jpg,g011,g011.jpg,,,FAIL,FAIL,CLEAN,no
g014+g029,g014,g014.jpg,g029,g029.jpg,,fine_pattern,CLEAN,MID,FAIL,no
g015+g018,g015,g015.jpg,g018,g018.jpg,,open_front,FAIL,MID,MID,no
g015+g030,g015,g015.jpg,g030,g030.jpg,,texture_sheer,FAIL,MID,MID,no
g027+g029,g027,g027.jpg,g029,g029.jpg,,fine_pattern,FAIL,FAIL,FAIL,yes
g027+p003,g027,g027.jpg,p003,p003.jpg,,,CLEAN,CLEAN,FAIL,no
g027+p011,g027,g027.jpg,p011,p011.jpg,,hand_over_torso,FAIL,FAIL,FAIL,yes
g029+g030,g029,g029.jpg,g030,g030.jpg,,texture_sheer,CLEAN,CLEAN,FAIL,no
g029+p004,g029,g029.jpg,p004,p004.jpg,,,CLEAN,CLEAN,FAIL,no
g029+p012,g029,g029.jpg,p012,p012.jpg,,hand_over_torso,FAIL,FAIL,FAIL,yes
p001+p024,p001,p001.jpg,p024,p024.jpg,full_body,,FAIL,FAIL,FAIL,yes
p002+p003,p002,p002.jpg,p003,p003.jpg,full_body,,CLEAN,FAIL,CLEAN,no
p002+p025,p002,p002.jpg,p025,p025.jpg,full_body,,CLEAN,FAIL,CLEAN,no
p003+p026,p003,p003.jpg,p026,p026.jpg,full_body,,FAIL,MID,FAIL,no
p010+p023,p010,p010.jpg,p023,p023.jpg,full_body,,CLEAN,FAIL,CLEAN,no
p012+p017,p012,p012.jpg,p017,p017.jpg,full_body,,CLEAN,FAIL,CLEAN,no
p013+dualuse_scarlett_johansson_black_dress_backview_night,p013,p013.jpg,dualuse_scarlett_johansson_black_dress_backview_night,dualuse_scarlett_johansson_black_dress_backview_night.avif,waist_up,,FAIL,MID,FAIL,no
p019+p020,p019,p019.jpg,p020,p020.jpg,waist_up,,FAIL,FAIL,FAIL,yes
p028+p029,p028,p028.jpg,p029,p029.jpg,waist_up,,FAIL,CLEAN,CLEAN,no
p030+g024,p030,p030.jpg,g024,g024.jpg,waist_up,,CLEAN,FAIL,FAIL,no
