set_id,person,person_file,garment,garment_file,person_framing,source,class,lock46,lock47,lock48,lock_seed_stable,v33_46,v33_47,v33_48,v33_class_seed_stable
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,dualuse_emma_watson_black_blazer_armscrossed,dualuse_emma_watson_black_blazer_armscrossed.jpg,dualuse_scarlett_johansson_black_dress_backview_night,dualuse_scarlett_johansson_black_dress_backview_night.avif,,both,F2,FAIL,CLEAN,CLEAN,no,BC,BC,BC,yes
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_woman_top_denim_skirt_nonceleb,dualuse_gal_gadot_blue_dress_redcarpet,dualuse_gal_gadot_blue_dress_redcarpet.jpg,dualuse_woman_top_denim_skirt_nonceleb,dualuse_woman_top_denim_skirt_nonceleb.jpg,,v34_lock,,CLEAN,FAIL,CLEAN,no,,,,
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,dualuse_hugh_jackman_grey_suit_outdoor,dualuse_hugh_jackman_grey_suit_outdoor.jpg,dualuse_zendaya_white_blazer_skirt,dualuse_zendaya_white_blazer_skirt.jpeg,,v33,F2,MID,MID,MID,,fail,fail,fail,yes
dualuse_lp_floral_kimono_set+g005,dualuse_lp_floral_kimono_set,dualuse_lp_floral_kimono_set.webp,g005,g005.jpg,,both,F1,MID,FAIL,FAIL,no,fail,fail,fail,yes
dualuse_lp_floral_kimono_set+g024,dualuse_lp_floral_kimono_set,dualuse_lp_floral_kimono_set.webp,g024,g024.jpg,,both,F1,FAIL,CLEAN,FAIL,no,fail,fail,fail,yes
dualuse_lp_plaid_overcoat_brown_suit+g029,dualuse_lp_plaid_overcoat_brown_suit,dualuse_lp_plaid_overcoat_brown_suit.jpg,g029,g029.jpg,,v33,F3,MID,CLEAN,CLEAN,,tie,BC,BC,no
dualuse_man_black_suit_studio_nonceleb+g011,dualuse_man_black_suit_studio_nonceleb,dualuse_man_black_suit_studio_nonceleb.jpg,g011,g011.jpg,,v34_lock,,CLEAN,FAIL,MID,no,,,,
dualuse_navy_peacoat_onmodel+g030,dualuse_navy_peacoat_onmodel,dualuse_navy_peacoat_onmodel.webp,g030,g030.jpg,,v33,F3,CLEAN,MID,CLEAN,,BC,tie,tie,no
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,dualuse_scarlett_johansson_black_dress_backview_night,dualuse_scarlett_johansson_black_dress_backview_night.avif,dualuse_woman_top_denim_skirt_nonceleb,dualuse_woman_top_denim_skirt_nonceleb.jpg,,both,F3,CLEAN,FAIL,FAIL,no,BC,BC,tie,no
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_plaid_overcoat_brown_suit,dualuse_woman_top_denim_skirt_nonceleb,dualuse_woman_top_denim_skirt_nonceleb.jpg,dualuse_lp_plaid_overcoat_brown_suit,dualuse_lp_plaid_overcoat_brown_suit.jpg,,v34_lock,,FAIL,FAIL,CLEAN,no,,,,
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,dualuse_woman_top_denim_skirt_nonceleb,dualuse_woman_top_denim_skirt_nonceleb.jpg,dualuse_zendaya_white_blazer_skirt,dualuse_zendaya_white_blazer_skirt.jpeg,,v34_lock,,FAIL,MID,MID,no,,,,
dualuse_zendaya_white_blazer_skirt+dualuse_navy_peacoat_onmodel,dualuse_zendaya_white_blazer_skirt,dualuse_zendaya_white_blazer_skirt.jpeg,dualuse_navy_peacoat_onmodel,dualuse_navy_peacoat_onmodel.webp,,v33,F3,CLEAN,CLEAN,CLEAN,,tie,tie,BC,no
g004+g005,g004,g004.jpg,g005,g005.jpg,,both,F1,FAIL,FAIL,FAIL,yes,fail,fail,V,no
g005+g009,g005,g005.jpg,g009,g009.jpg,,v34_lock,,FAIL,FAIL,FAIL,yes,,,,
g005+g014,g005,g005.jpg,g014,g014.jpg,,v33,F2,CLEAN,CLEAN,CLEAN,,tie,fail,V,no
g005+p002,g005,g005.jpg,p002,p002.jpg,,v34_lock,,FAIL,FAIL,FAIL,yes,,,,
g009+g011,g009,g009.jpg,g011,g011.jpg,,v34_lock,,FAIL,FAIL,CLEAN,no,,,,
g014+g029,g014,g014.jpg,g029,g029.jpg,,both,F1,CLEAN,MID,FAIL,no,BC,tie,BC,no
g015+g018,g015,g015.jpg,g018,g018.jpg,,v34_lock,,FAIL,MID,MID,no,,,,
g015+g030,g015,g015.jpg,g030,g030.jpg,,v34_lock,,FAIL,MID,MID,no,,,,
g018+g024,g018,g018.jpg,g024,g024.jpg,,v33,F3,CLEAN,CLEAN,CLEAN,,tie,BC,tie,no
g024+p002,g024,g024.jpg,p002,p002.jpg,,v33,F2,MID,MID,MID,,tie,tie,fail,no
g027+g029,g027,g027.jpg,g029,g029.jpg,,v34_lock,,FAIL,FAIL,FAIL,yes,,,,
g027+p003,g027,g027.jpg,p003,p003.jpg,,both,F4,CLEAN,CLEAN,FAIL,no,V,BC,tie,no
g027+p011,g027,g027.jpg,p011,p011.jpg,,v34_lock,,FAIL,FAIL,FAIL,yes,,,,
g029+g030,g029,g029.jpg,g030,g030.jpg,,v34_lock,,CLEAN,CLEAN,FAIL,no,,,,
g029+p004,g029,g029.jpg,p004,p004.jpg,,both,F2,CLEAN,CLEAN,FAIL,no,fail,V,fail,no
g029+p012,g029,g029.jpg,p012,p012.jpg,,v34_lock,,FAIL,FAIL,FAIL,yes,,,,
p001+p014,p001,p001.jpg,p014,p014.jpg,full_body,v33,F1,CLEAN,CLEAN,CLEAN,,BC,tie,V,no
p001+p024,p001,p001.jpg,p024,p024.jpg,full_body,v34_lock,,FAIL,FAIL,FAIL,yes,,,,
p002+p003,p002,p002.jpg,p003,p003.jpg,full_body,v34_lock,,CLEAN,FAIL,CLEAN,no,,,,
p002+p025,p002,p002.jpg,p025,p025.jpg,full_body,v34_lock,,CLEAN,FAIL,CLEAN,no,,,,
p003+p026,p003,p003.jpg,p026,p026.jpg,full_body,both,F3,FAIL,MID,FAIL,no,tie,BC,tie,no
p010+p023,p010,p010.jpg,p023,p023.jpg,full_body,v34_lock,,CLEAN,FAIL,CLEAN,no,,,,
p011+p016,p011,p011.jpg,p016,p016.jpg,waist_up,v33,F3,CLEAN,CLEAN,CLEAN,,tie,BC,BC,no
p011+p024,p011,p011.jpg,p024,p024.jpg,waist_up,v33,F1,CLEAN,CLEAN,CLEAN,,V,fail,V,no
p012+p017,p012,p012.jpg,p017,p017.jpg,full_body,v34_lock,,CLEAN,FAIL,CLEAN,no,,,,
p013+dualuse_scarlett_johansson_black_dress_backview_night,p013,p013.jpg,dualuse_scarlett_johansson_black_dress_backview_night,dualuse_scarlett_johansson_black_dress_backview_night.avif,waist_up,both,F2,FAIL,MID,FAIL,no,BC,V,tie,no
p015+dualuse_zendaya_white_blazer_skirt,p015,p015.jpg,dualuse_zendaya_white_blazer_skirt,dualuse_zendaya_white_blazer_skirt.jpeg,waist_up,v33,F2,MID,MID,MID,,tie,tie,fail,no
p015+p016,p015,p015.jpg,p016,p016.jpg,waist_up,v33,F3,CLEAN,CLEAN,CLEAN,,BC,V,BC,no
p018+dualuse_lp_navy_quarterzip_knit_LOWRES,p018,p018.jpg,dualuse_lp_navy_quarterzip_knit_LOWRES,dualuse_lp_navy_quarterzip_knit_LOWRES.avif,three_quarter_length,v33,F1,CLEAN,CLEAN,CLEAN,,tie,tie,fail,no
p019+dualuse_gal_gadot_blue_dress_redcarpet,p019,p019.jpg,dualuse_gal_gadot_blue_dress_redcarpet,dualuse_gal_gadot_blue_dress_redcarpet.jpg,waist_up,v33,F4,MID,MID,MID,,tie,BC,fail,no
p019+p020,p019,p019.jpg,p020,p020.jpg,waist_up,v34_lock,,FAIL,FAIL,FAIL,yes,,,,
p020+dualuse_navy_peacoat_onmodel,p020,p020.jpg,dualuse_navy_peacoat_onmodel,dualuse_navy_peacoat_onmodel.webp,waist_up,v33,F1,CLEAN,CLEAN,CLEAN,,tie,tie,fail,no
p020+p021,p020,p020.jpg,p021,p021.jpg,waist_up,v33,F1,CLEAN,CLEAN,CLEAN,,tie,tie,fail,no
p025+dualuse_zendaya_white_blazer_skirt,p025,p025.jpg,dualuse_zendaya_white_blazer_skirt,dualuse_zendaya_white_blazer_skirt.jpeg,full_body,v33,F2,MID,CLEAN,MID,,tie,tie,fail,no
p026+g013,p026,p026.jpg,g013,g013.jpg,full_body,v33,F3,CLEAN,MID,CLEAN,,tie,BC,tie,no
p028+g015,p028,p028.jpg,g015,g015.jpg,waist_up,v33,F3,CLEAN,MID,MID,,tie,fail,tie,no
p028+p029,p028,p028.jpg,p029,p029.jpg,waist_up,v34_lock,,FAIL,CLEAN,CLEAN,no,,,,
p030+dualuse_queen_latifah_gown_stage,p030,p030.jpg,dualuse_queen_latifah_gown_stage,dualuse_queen_latifah_gown_stage.jpg,waist_up,v33,F3,CLEAN,CLEAN,CLEAN,,V,BC,BC,no
p030+g024,p030,p030.jpg,g024,g024.jpg,waist_up,both,F3,CLEAN,FAIL,FAIL,no,BC,tie,tie,no
