set_id,person,garment,seed
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,dualuse_scarlett_johansson_black_dress_backview_night,dualuse_woman_top_denim_skirt_nonceleb,47
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,dualuse_woman_top_denim_skirt_nonceleb,dualuse_zendaya_white_blazer_skirt,46
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,dualuse_woman_top_denim_skirt_nonceleb,dualuse_zendaya_white_blazer_skirt,47
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,dualuse_woman_top_denim_skirt_nonceleb,dualuse_zendaya_white_blazer_skirt,48
g004+g005,g004,g005,46
g004+g005,g004,g005,47
g004+g005,g004,g005,48
g005+g009,g005,g009,47
g005+g009,g005,g009,48
g027+g029,g027,g029,48
p008+p013,p008,p013,47
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,dualuse_hugh_jackman_grey_suit_outdoor,dualuse_zendaya_white_blazer_skirt,46
p008+p021,p008,p021,48
p011+p024,p011,p024,47
p016+p029,p016,p029,46
p022+dualuse_queen_latifah_gown_stage,p022,dualuse_queen_latifah_gown_stage,46
p022+dualuse_queen_latifah_gown_stage,p022,dualuse_queen_latifah_gown_stage,47
dualuse_scarlett_johansson_black_dress_backview_night+g013,dualuse_scarlett_johansson_black_dress_backview_night,g013,48
dualuse_navy_peacoat_onmodel+g030,dualuse_navy_peacoat_onmodel,g030,47
g005+p002,g005,p002,47
g005+p002,g005,p002,48
g013+p006,g013,p006,46
g013+p006,g013,p006,48
g030+p013,g030,p013,47
p008+dualuse_emma_watson_black_blazer_armscrossed,p008,dualuse_emma_watson_black_blazer_armscrossed,47
p012+dualuse_queen_latifah_gown_stage,p012,dualuse_queen_latifah_gown_stage,46
p012+dualuse_queen_latifah_gown_stage,p012,dualuse_queen_latifah_gown_stage,47
p013+dualuse_scarlett_johansson_black_dress_backview_night,p013,dualuse_scarlett_johansson_black_dress_backview_night,46
p013+dualuse_scarlett_johansson_black_dress_backview_night,p013,dualuse_scarlett_johansson_black_dress_backview_night,48
