set_id,seed,block,er_verdict
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,46,bcfail,clean
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,46,bcfail,same
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,47,bcfail,same
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,48,bcfail,same
dualuse_lp_floral_kimono_set+g005,46,bcfail,same
dualuse_lp_floral_kimono_set+g005,47,bcfail,same
dualuse_lp_floral_kimono_set+g005,48,bcfail,same
dualuse_man_black_suit_studio_nonceleb+g011,47,bcfail,clean
dualuse_navy_peacoat_onmodel+g030,47,bcfail,same
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,47,bcfail,same
dualuse_scarlett_johansson_black_dress_backview_night+g013,48,bcfail,same
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_plaid_overcoat_brown_suit,47,bcfail,same
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_plaid_overcoat_brown_suit,48,bcfail,clean
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,46,bcfail,same
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,48,bcfail,clean
g004+g005,46,bcfail,same
g004+g005,47,bcfail,same
g004+g005,48,bcfail,same
g005+g009,47,bcfail,same
g005+g009,48,bcfail,clean
g005+p002,47,bcfail,clean
g005+p002,48,bcfail,same
g013+p006,46,bcfail,same
g013+p006,48,bcfail,clean
g014+g029,47,bcfail,same
g014+g029,48,bcfail,clean
g015+g018,48,bcfail,same
g024+p010,47,bcfail,same
g027+p003,46,bcfail,same
g027+p003,48,bcfail,same
g027+p011,48,bcfail,same
g029+p012,48,bcfail,clean
g030+p013,47,bcfail,same
p006+p011,48,bcfail,clean
p006+p029,47,bcfail,same
p008+dualuse_emma_watson_black_blazer_armscrossed,47,bcfail,same
p008+p013,47,bcfail,same
p012+dualuse_queen_latifah_gown_stage,46,bcfail,same
p012+dualuse_queen_latifah_gown_stage,47,bcfail,clean
p012+p017,47,bcfail,clean
p012+p025,47,bcfail,clean
p013+dualuse_scarlett_johansson_black_dress_backview_night,46,bcfail,clean
p013+dualuse_scarlett_johansson_black_dress_backview_night,47,bcfail,clean
p013+dualuse_scarlett_johansson_black_dress_backview_night,48,bcfail,same
p016+p021,46,bcfail,same
p019+dualuse_gal_gadot_blue_dress_redcarpet,46,bcfail,same
p019+dualuse_gal_gadot_blue_dress_redcarpet,47,bcfail,same
p019+dualuse_gal_gadot_blue_dress_redcarpet,48,bcfail,same
p022+dualuse_queen_latifah_gown_stage,46,bcfail,clean
p022+dualuse_queen_latifah_gown_stage,47,bcfail,same
g005+g009,46,eronly,same
g005+g014,47,eronly,same
p008+dualuse_emma_watson_black_blazer_armscrossed,48,eronly,same
