set_id,seed,shown_A,shown_B,answer,better_arm
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,46,ER,BC,neither,neither
dualuse_lp_floral_kimono_set+g005,48,BC,ER,neither,neither
dualuse_navy_peacoat_onmodel+g030,47,ER,BC,neither,neither
dualuse_scarlett_johansson_black_dress_backview_night+g013,48,ER,BC,neither,neither
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_plaid_overcoat_brown_suit,47,BC,ER,neither,neither
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,47,ER,BC,both,both
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,48,ER,BC,A,ER
g005+g009,46,ER,BC,B,BC
g005+g009,48,BC,ER,B,ER
g005+g014,47,BC,ER,A,BC
g005+p002,47,BC,ER,B,ER
g013+p006,46,ER,BC,neither,neither
g013+p006,48,ER,BC,neither,neither
g024+p010,47,BC,ER,neither,neither
g027+g029,48,ER,BC,neither,neither
g027+p011,48,ER,BC,neither,neither
p008+dualuse_emma_watson_black_blazer_armscrossed,48,ER,BC,B,BC
p008+p021,48,ER,BC,both,both
p011+p024,47,BC,ER,both,both
p012+dualuse_queen_latifah_gown_stage,47,ER,BC,A,ER
p013+dualuse_scarlett_johansson_black_dress_backview_night,46,BC,ER,B,ER
p013+dualuse_scarlett_johansson_black_dress_backview_night,48,BC,ER,neither,neither
p016+p029,46,BC,ER,both,both
p022+dualuse_queen_latifah_gown_stage,46,BC,ER,both,both
p022+dualuse_queen_latifah_gown_stage,47,ER,BC,both,both
