set_id,seed,bc_failed,er_failed,garment,hold
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,46,fail,,worse,
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,46,fail,,,held
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,47,fail,,,held
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,48,fail,,,held
dualuse_lp_floral_kimono_set+g005,46,fail,,,held
dualuse_lp_floral_kimono_set+g005,47,fail,,,held
dualuse_lp_floral_kimono_set+g005,48,fail,fail,,held
dualuse_man_black_suit_studio_nonceleb+g011,47,fail,,,held
dualuse_navy_peacoat_onmodel+g030,47,fail,,fixed,
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,47,fail,fail,,held
dualuse_scarlett_johansson_black_dress_backview_night+g013,48,fail,,,held
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_plaid_overcoat_brown_suit,47,fail,fail,,held
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_plaid_overcoat_brown_suit,48,fail,,same,
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,46,fail,fail,same,held
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,48,fail,,worse,
g004+g005,46,fail,fail,,held
g004+g005,47,fail,fail,,held
g004+g005,48,fail,fail,,held
g005+g009,46,,fail,fixed,
g005+g009,47,fail,fail,fixed,
g005+g009,48,fail,,same,
g005+g014,47,,fail,same,
g005+p002,47,fail,,same,
g005+p002,48,fail,fail,,held
g013+p006,46,fail,,,held
g013+p006,48,fail,,,held
g014+g029,47,fail,,,held
g014+g029,48,fail,,,held
g015+g018,48,fail,,,held
g024+p010,47,fail,fail,,held
g027+p003,46,fail,,,held
g027+p003,48,fail,,,held
g027+p011,48,fail,fail,,held
g029+p012,48,fail,,,held
g030+p013,47,fail,fail,,held
p006+p011,48,fail,,fixed,
p006+p029,47,fail,,fixed,
p008+dualuse_emma_watson_black_blazer_armscrossed,47,fail,fail,,held
p008+dualuse_emma_watson_black_blazer_armscrossed,48,,fail,,held
p008+p013,47,fail,fail,,held
p012+dualuse_queen_latifah_gown_stage,46,fail,fail,,held
p012+dualuse_queen_latifah_gown_stage,47,fail,,same,
p012+p017,47,fail,,same,
p012+p025,47,fail,,same,
p013+dualuse_scarlett_johansson_black_dress_backview_night,46,fail,,same,
p013+dualuse_scarlett_johansson_black_dress_backview_night,47,fail,,same,
p013+dualuse_scarlett_johansson_black_dress_backview_night,48,fail,,fixed,
p016+p021,46,fail,,,held
p019+dualuse_gal_gadot_blue_dress_redcarpet,46,fail,,,held
p019+dualuse_gal_gadot_blue_dress_redcarpet,47,fail,,fixed,
p019+dualuse_gal_gadot_blue_dress_redcarpet,48,fail,,,held
p022+dualuse_queen_latifah_gown_stage,46,fail,,,held
p022+dualuse_queen_latifah_gown_stage,47,fail,,,held
