pair,set_id,person,person_file,person_pose,person_tone,person_gender,person_framing,garment,garment_file,garment_category,garment_hard_case,garment_src
1,p001+p002,p001,p001.jpg,neutral_standing,light,woman,full_body,p002,p002.jpg,person,,test_set1
2,p002+p003,p002,p002.jpg,neutral_standing,medium,man,full_body,p003,p003.jpg,person,,test_set1
3,p003+p004,p003,p003.jpg,neutral_standing,dark,woman,full_body,p004,p004.jpg,person,,test_set1
4,p004+p005,p004,p004.jpg,neutral_standing,light,man,waist_up,p005,p005.jpg,person,,test_set1
5,p005+p006,p005,p005.jpg,neutral_standing,medium,woman,full_body,p006,p006.jpg,person,,test_set1
6,p006+p007,p006,p006.jpg,neutral_standing,dark,man,full_body,p007,p007.jpg,person,,test_set1
7,p007+p008,p007,p007.jpg,neutral_standing,light,man,waist_up,p008,p008.jpg,person,,test_set1
8,p008+p009,p008,p008.jpg,neutral_standing,medium,woman,full_body,p009,p009.jpg,person,hand_over_torso,test_set1
9,p009+p010,p009,p009.jpg,arms_crossed,dark,woman,full_body,p010,p010.jpg,person,hand_over_torso,test_set1
10,p010+p011,p010,p010.jpg,arms_crossed,light,man,full_body,p011,p011.jpg,person,hand_over_torso,test_set1
11,p011+p012,p011,p011.jpg,arms_crossed,medium,man,waist_up,p012,p012.jpg,person,hand_over_torso,test_set1
12,p012+p013,p012,p012.jpg,arms_crossed,dark,woman,full_body,p013,p013.jpg,person,hand_over_torso,test_set1
13,p013+p014,p013,p013.jpg,arms_crossed,light,woman,waist_up,p014,p014.jpg,person,hand_over_torso,test_set1
14,p014+p015,p014,p014.jpg,arms_crossed,medium,man,waist_up,p015,p015.jpg,person,hand_over_torso,test_set1
15,p015+p016,p015,p015.jpg,arms_crossed,dark,man,waist_up,p016,p016.jpg,person,,test_set1
16,p016+p017,p016,p016.jpg,side_profile,light,woman,full_body,p017,p017.jpg,person,,test_set1
17,p017+p018,p017,p017.jpg,three_quarter,medium,man,full_body,p018,p018.jpg,person,,test_set1
18,p018+p019,p018,p018.jpg,side_profile,dark,man,three_quarter_length,p019,p019.jpg,person,,test_set1
19,p019+p020,p019,p019.jpg,side_profile,light,woman,waist_up,p020,p020.jpg,person,,test_set1
20,p020+p021,p020,p020.jpg,side_profile,medium,man,waist_up,p021,p021.jpg,person,,test_set1
21,p021+p022,p021,p021.jpg,sitting,dark,woman,full_body,p022,p022.jpg,person,,test_set1
22,p022+p023,p022,p022.jpg,sitting,light,man,full_body,p023,p023.jpg,person,,test_set1
23,p023+p024,p023,p023.jpg,sitting,medium,woman,waist_up,p024,p024.jpg,person,,test_set1
24,p024+p025,p024,p024.jpg,sitting,dark,man,full_body,p025,p025.jpg,person,,test_set1
25,p025+p026,p025,p025.jpg,walking,light,woman,full_body,p026,p026.jpg,person,,test_set1
26,p026+p027,p026,p026.jpg,walking,medium,woman,full_body,p027,p027.jpg,person,,test_set1
27,p027+p028,p027,p027.jpg,walking,dark,man,full_body,p028,p028.jpg,person,,test_set1
28,p028+p029,p028,p028.jpg,arms_raised,light,woman,waist_up,p029,p029.jpg,person,,test_set1
29,p029+p030,p029,p029.jpg,holding_object,medium,man,waist_up,p030,p030.jpg,person,,test_set1
30,p030+dualuse_emma_watson_black_blazer_armscrossed,p030,p030.jpg,arms_raised,dark,woman,waist_up,dualuse_emma_watson_black_blazer_armscrossed,dualuse_emma_watson_black_blazer_armscrossed.jpg,,,test_set2/people
31,dualuse_emma_watson_black_blazer_armscrossed+dualuse_gal_gadot_blue_dress_redcarpet,dualuse_emma_watson_black_blazer_armscrossed,dualuse_emma_watson_black_blazer_armscrossed.jpg,,,,,dualuse_gal_gadot_blue_dress_redcarpet,dualuse_gal_gadot_blue_dress_redcarpet.jpg,,,test_set2/people
32,dualuse_gal_gadot_blue_dress_redcarpet+dualuse_hugh_jackman_grey_suit_outdoor,dualuse_gal_gadot_blue_dress_redcarpet,dualuse_gal_gadot_blue_dress_redcarpet.jpg,,,,,dualuse_hugh_jackman_grey_suit_outdoor,dualuse_hugh_jackman_grey_suit_outdoor.jpg,,,test_set2/people
