"set_id","arm","tier","band","note"
"p001+p029","BC","perfect","",""
"p001+p029","QX","ok","quest",""
"p001+p029","MQ","perfect","",""
"p002+p030","BC","perfect","",""
"p002+p030","QX","perfect","",""
"p002+p030","MQ","perfect","",""
"p003+dualuse_emma_watson_black_blazer_armscrossed","BC","ok","quest",""
"p003+dualuse_emma_watson_black_blazer_armscrossed","QX","perfect","",""
"p003+dualuse_emma_watson_black_blazer_armscrossed","MQ","perfect","",""
"p004+dualuse_gal_gadot_blue_dress_redcarpet","BC","perfect","",""
"p004+dualuse_gal_gadot_blue_dress_redcarpet","QX","perfect","",""
"p004+dualuse_gal_gadot_blue_dress_redcarpet","MQ","perfect","",""
"p005+dualuse_hugh_jackman_grey_suit_outdoor","BC","perfect","",""
"p005+dualuse_hugh_jackman_grey_suit_outdoor","QX","ok","",""
"p005+dualuse_hugh_jackman_grey_suit_outdoor","MQ","perfect","",""
"p006+dualuse_man_black_suit_studio_nonceleb","BC","perfect","",""
"p006+dualuse_man_black_suit_studio_nonceleb","QX","perfect","",""
"p006+dualuse_man_black_suit_studio_nonceleb","MQ","perfect","",""
"p007+dualuse_queen_latifah_gown_stage","BC","perfect","",""
"p007+dualuse_queen_latifah_gown_stage","QX","perfect","",""
"p007+dualuse_queen_latifah_gown_stage","MQ","perfect","",""
"p008+dualuse_scarlett_johansson_black_dress_backview_night","BC","perfect","",""
"p008+dualuse_scarlett_johansson_black_dress_backview_night","QX","ok","",""
"p008+dualuse_scarlett_johansson_black_dress_backview_night","MQ","","",""
"p009+dualuse_woman_top_denim_skirt_nonceleb","BC","ok","quest",""
"p009+dualuse_woman_top_denim_skirt_nonceleb","QX","perfect","",""
"p009+dualuse_woman_top_denim_skirt_nonceleb","MQ","","",""
"p010+dualuse_zendaya_white_blazer_skirt","BC","ok","quest",""
"p010+dualuse_zendaya_white_blazer_skirt","QX","fail","failed",""
"p010+dualuse_zendaya_white_blazer_skirt","MQ","perfect","",""
"p011+dualuse_lp_beige_long_coat_menswear","BC","perfect","",""
"p011+dualuse_lp_beige_long_coat_menswear","QX","ok","quest",""
"p011+dualuse_lp_beige_long_coat_menswear","MQ","perfect","",""
"p012+dualuse_lp_floral_kimono_set","BC","perfect","",""
"p012+dualuse_lp_floral_kimono_set","QX","perfect","",""
"p012+dualuse_lp_floral_kimono_set","MQ","perfect","",""
"p013+dualuse_lp_navy_quarterzip_knit_LOWRES","BC","perfect","",""
"p013+dualuse_lp_navy_quarterzip_knit_LOWRES","QX","perfect","",""
"p013+dualuse_lp_navy_quarterzip_knit_LOWRES","MQ","perfect","",""
"p014+dualuse_lp_plaid_overcoat_brown_suit","BC","perfect","",""
"p014+dualuse_lp_plaid_overcoat_brown_suit","QX","perfect","",""
"p014+dualuse_lp_plaid_overcoat_brown_suit","MQ","perfect","",""
"p015+dualuse_navy_peacoat_onmodel","BC","ok","quest",""
"p015+dualuse_navy_peacoat_onmodel","QX","perfect","",""
"p015+dualuse_navy_peacoat_onmodel","MQ","perfect","",""
"p016+g004","BC","perfect","",""
"p016+g004","QX","perfect","",""
"p016+g004","MQ","perfect","",""
"p017+g005","BC","perfect","",""
"p017+g005","QX","perfect","",""
"p017+g005","MQ","perfect","",""
"p018+g009","BC","perfect","",""
"p018+g009","QX","ok","quest",""
"p018+g009","MQ","perfect","",""
"p019+g011","BC","ok","quest",""
"p019+g011","QX","fail","failed",""
"p019+g011","MQ","fail","",""
"p020+g012","BC","perfect","",""
"p020+g012","QX","fail","quest",""
"p020+g012","MQ","perfect","",""
"p021+g013","BC","ok","quest",""
"p021+g013","QX","perfect","",""
"p021+g013","MQ","fail","","extra leg "
"p022+g014","BC","perfect","",""
"p022+g014","QX","ok","","giving us a shirt when not requested"
"p022+g014","MQ","perfect","",""
"p023+g015","BC","perfect","",""
"p023+g015","QX","perfect","",""
"p023+g015","MQ","perfect","",""
"p024+g018","BC","perfect","",""
"p024+g018","QX","perfect","",""
"p024+g018","MQ","perfect","",""
"p025+g024","BC","ok","quest",""
"p025+g024","QX","perfect","",""
"p025+g024","MQ","","",""
"p026+g027","BC","perfect","",""
"p026+g027","QX","perfect","",""
"p026+g027","MQ","","",""
"p027+g029","BC","perfect","",""
"p027+g029","QX","ok","quest",""
"p027+g029","MQ","perfect","",""
"p028+g030","BC","perfect","",""
"p028+g030","QX","ok","",""
"p028+g030","MQ","perfect","",""
