set_id,seed,arm,prior,fail
p020+dualuse_hugh_jackman_grey_suit_outdoor,47,SCALE,clean,0
g009+p003,48,SCALE,clean,0
p030+dualuse_emma_watson_black_blazer_armscrossed,48,NOSCALE,clean,0
p030+dualuse_emma_watson_black_blazer_armscrossed,47,SCALE,clean,0
p020+p021,46,SCALE,clean,0
p028+p029,48,NOSCALE,clean,0
g011+g012,47,SCALE,clean,0
p001+p006,48,SCALE,clean,0
p023+p024,48,NOSCALE,clean,0
p014+p027,48,SCALE,clean,0
p030+dualuse_queen_latifah_gown_stage,48,NOSCALE,clean,0
g013+g027,46,NOSCALE,clean,0
p015+p016,46,SCALE,clean,0
p015+dualuse_zendaya_white_blazer_skirt,48,SCALE,clean,0
p011+p016,48,SCALE,clean,0
p006+p019,48,SCALE,clean,0
p030+dualuse_navy_peacoat_onmodel,48,SCALE,clean,0
p017+dualuse_lp_floral_kimono_set,47,NOSCALE,clean,0
p020+p021,48,NOSCALE,clean,0
p007+p012,47,SCALE,clean,0
p029+g018,48,NOSCALE,clean,0
p013+p014,46,NOSCALE,clean,0
g015+g030,46,NOSCALE,clean,0
g018+p009,47,NOSCALE,clean,0
p004+p005,47,NOSCALE,clean,0
p008+p021,48,NOSCALE,clean,0
g015+g018,48,NOSCALE,fail,0
p002+p025,48,NOSCALE,clean,0
p004+p017,48,SCALE,clean,0
p018+p023,46,SCALE,clean,0
p007+p020,48,SCALE,clean,0
p009+p014,48,SCALE,clean,0
g029+p004,48,NOSCALE,clean,0
p029+g018,47,NOSCALE,clean,0
g015+g030,48,SCALE,clean,0
g012+g024,46,SCALE,clean,0
g012+p005,47,NOSCALE,clean,0
g013+g027,48,NOSCALE,clean,0
p005+p018,46,NOSCALE,clean,0
g012+g013,47,NOSCALE,clean,0
p002+p003,48,SCALE,clean,0
p005+p010,47,SCALE,clean,0
g005+g014,46,SCALE,clean,0
p016+p017,47,SCALE,clean,0
g005+p002,47,NOSCALE,fail,0
p018+p023,48,NOSCALE,clean,0
p028+dualuse_lp_navy_quarterzip_knit_LOWRES,47,NOSCALE,clean,0
p012+p017,48,NOSCALE,clean,0
p006+p007,48,SCALE,clean,0
p014+dualuse_woman_top_denim_skirt_nonceleb,48,SCALE,clean,0
g005+p002,48,SCALE,fail,1
g013+g027,46,SCALE,clean,0
g018+p009,48,NOSCALE,clean,0
p009+p010,47,NOSCALE,clean,0
p025+g012,48,NOSCALE,clean,0
p014+dualuse_woman_top_denim_skirt_nonceleb,46,NOSCALE,clean,0
g009+p003,46,NOSCALE,clean,0
p009+dualuse_gal_gadot_blue_dress_redcarpet,47,NOSCALE,clean,0
p023+g009,47,NOSCALE,clean,0
p011+p016,46,SCALE,clean,0
p001+p014,47,SCALE,clean,0
p002+p003,46,SCALE,clean,0
p016+p029,48,NOSCALE,clean,0
p019+p024,47,SCALE,clean,0
p001+p002,48,SCALE,clean,0
p023+p028,46,NOSCALE,clean,0
g009+g011,48,NOSCALE,clean,0
p017+p030,48,SCALE,clean,0
p016+p021,48,SCALE,clean,0
p022+p027,46,SCALE,clean,0
p015+dualuse_zendaya_white_blazer_skirt,46,SCALE,clean,0
g018+g024,48,NOSCALE,clean,0
p006+p011,46,SCALE,clean,0
p006+p011,47,NOSCALE,clean,0
p001+p024,48,NOSCALE,clean,0
p013+p018,46,SCALE,clean,0
p021+dualuse_man_black_suit_studio_nonceleb,48,SCALE,clean,0
g009+g015,46,SCALE,clean,0
p003+p008,47,SCALE,clean,0
g005+g014,48,NOSCALE,clean,0
p007+p008,46,SCALE,clean,0
p003+p004,48,NOSCALE,clean,0
p029+p030,48,NOSCALE,clean,0
g009+g011,48,SCALE,clean,0
p024+g011,46,NOSCALE,clean,0
g029+p004,47,SCALE,clean,0
p018+p019,47,NOSCALE,clean,0
p012+dualuse_queen_latifah_gown_stage,48,SCALE,clean,0
p025+g012,46,SCALE,clean,0
g005+p002,48,NOSCALE,fail,0
p002+p025,46,SCALE,clean,0
p018+p019,48,SCALE,clean,0
p005+p028,48,NOSCALE,clean,0
p001+p002,48,NOSCALE,clean,0
p003+p016,48,NOSCALE,clean,0
p004+p027,46,NOSCALE,clean,0
dualuse_lp_navy_quarterzip_knit_LOWRES+g009,47,SCALE,clean,0
p011+p024,46,SCALE,clean,0
g018+g024,47,SCALE,clean,0
p005+p018,47,NOSCALE,clean,0
p022+p027,46,NOSCALE,clean,0
p023+p024,48,SCALE,clean,0
p007+p012,48,NOSCALE,clean,0
p016+p029,47,SCALE,clean,0
g015+p008,48,SCALE,clean,0
p011+dualuse_man_black_suit_studio_nonceleb,46,SCALE,clean,0
p004+p017,46,NOSCALE,clean,0
p025+p026,47,NOSCALE,clean,0
p005+p006,48,NOSCALE,clean,0
p005+p028,46,SCALE,clean,0
p015+p016,47,SCALE,clean,0
g015+p008,48,NOSCALE,clean,0
p023+dualuse_scarlett_johansson_black_dress_backview_night,47,SCALE,clean,0
g018+p001,47,NOSCALE,clean,0
p008+p021,48,SCALE,clean,0
g011+g012,46,SCALE,clean,0
p004+p017,47,SCALE,clean,0
g009+g011,46,NOSCALE,clean,0
p021+p022,48,NOSCALE,clean,0
g011+g018,47,SCALE,clean,0
g014+g029,47,SCALE,fail,1
p005+p006,46,SCALE,clean,0
p012+p025,48,SCALE,clean,0
p015+p028,48,NOSCALE,clean,0
p009+p010,48,SCALE,clean,0
p017+p030,47,SCALE,clean,0
p007+p020,47,NOSCALE,clean,0
p020+dualuse_hugh_jackman_grey_suit_outdoor,48,NOSCALE,clean,0
p019+dualuse_lp_plaid_overcoat_brown_suit,47,NOSCALE,clean,0
p019+dualuse_lp_plaid_overcoat_brown_suit,46,NOSCALE,clean,0
g018+g024,46,SCALE,clean,0
p026+dualuse_lp_beige_long_coat_menswear,46,NOSCALE,clean,0
p017+p018,46,SCALE,clean,0
p025+g012,48,SCALE,clean,0
p010+dualuse_hugh_jackman_grey_suit_outdoor,47,NOSCALE,clean,0
p018+dualuse_emma_watson_black_blazer_armscrossed,48,SCALE,clean,0
g027+g029,47,SCALE,clean,0
p030+g024,46,SCALE,clean,0
dualuse_lp_navy_quarterzip_knit_LOWRES+dualuse_lp_plaid_overcoat_brown_suit,47,SCALE,clean,1
p001+p006,47,SCALE,clean,0
p017+p030,46,NOSCALE,clean,0
p017+p018,48,SCALE,clean,0
p002+p003,48,NOSCALE,clean,0
p013+p014,47,SCALE,clean,0
p025+p026,46,NOSCALE,clean,0
p015+p028,46,SCALE,clean,0
p001+p014,47,NOSCALE,clean,0
p011+p012,46,NOSCALE,clean,0
g009+g015,46,NOSCALE,clean,0
p020+p025,47,SCALE,clean,0
p012+dualuse_queen_latifah_gown_stage,47,NOSCALE,fail,0
p010+p023,46,NOSCALE,clean,0
g004+g013,48,SCALE,clean,0
g013+p006,48,SCALE,fail,1
p009+p014,48,NOSCALE,clean,0
p018+dualuse_lp_navy_quarterzip_knit_LOWRES,47,NOSCALE,clean,0
g005+g009,48,SCALE,fail,0
g018+p001,48,NOSCALE,clean,0
p022+g005,47,SCALE,clean,0
p021+dualuse_man_black_suit_studio_nonceleb,48,NOSCALE,clean,0
p024+p025,47,SCALE,clean,0
p023+p024,47,SCALE,clean,0
p005+p010,48,SCALE,clean,0
p015+p028,46,NOSCALE,clean,0
p020+dualuse_hugh_jackman_grey_suit_outdoor,46,SCALE,clean,0
p020+p025,46,SCALE,clean,0
p029+p030,47,NOSCALE,clean,0
g012+g024,47,NOSCALE,clean,0
p004+p009,46,NOSCALE,clean,1
p014+p019,46,NOSCALE,clean,0
g005+g009,46,SCALE,fail,1
p025+p026,48,NOSCALE,clean,0
p009+dualuse_gal_gadot_blue_dress_redcarpet,46,SCALE,clean,0
p017+p018,46,NOSCALE,clean,0
p016+dualuse_lp_beige_long_coat_menswear,47,SCALE,clean,0
g013+p006,46,NOSCALE,fail,0
g012+p005,46,SCALE,clean,0
g014+p007,46,NOSCALE,clean,0
p019+p024,46,NOSCALE,clean,0
p006+p029,47,NOSCALE,fail,0
p026+g013,46,SCALE,clean,0
p019+dualuse_gal_gadot_blue_dress_redcarpet,46,NOSCALE,fail,0
g012+g013,46,NOSCALE,clean,0
dualuse_lp_navy_quarterzip_knit_LOWRES+g027,46,NOSCALE,clean,0
p013+p026,47,NOSCALE,clean,0
p012+p017,46,SCALE,clean,0
p028+g015,47,NOSCALE,clean,1
p018+p023,47,NOSCALE,clean,0
p028+g015,46,SCALE,clean,0
p029+dualuse_man_black_suit_studio_nonceleb,48,SCALE,clean,0
g011+g018,46,SCALE,clean,0
p018+dualuse_lp_navy_quarterzip_knit_LOWRES,46,SCALE,clean,0
p011+p012,47,NOSCALE,clean,0
p002+p025,48,SCALE,clean,0
p014+p015,47,NOSCALE,clean,0
p008+p009,46,NOSCALE,clean,0
p005+p018,48,NOSCALE,clean,0
p022+p023,46,NOSCALE,clean,0
p029+g018,48,SCALE,clean,0
p004+p017,48,NOSCALE,clean,0
g005+g014,46,NOSCALE,clean,0
p017+p018,47,SCALE,clean,0
p025+p030,48,SCALE,clean,0
g014+p007,48,SCALE,clean,0
p002+p003,46,NOSCALE,clean,0
g012+g013,48,NOSCALE,clean,0
p007+p030,47,NOSCALE,clean,0
p022+g005,46,NOSCALE,clean,0
p024+p029,47,NOSCALE,clean,0
p023+p028,46,SCALE,clean,0
p007+p020,48,NOSCALE,clean,0
p016+dualuse_lp_beige_long_coat_menswear,48,SCALE,clean,0
g018+p001,46,NOSCALE,clean,0
p009+p014,47,SCALE,clean,0
p005+p018,48,SCALE,clean,0
p016+dualuse_lp_beige_long_coat_menswear,47,NOSCALE,clean,0
p025+p026,46,SCALE,clean,0
p017+p022,48,NOSCALE,clean,0
p014+p015,47,SCALE,clean,0
p004+p027,48,SCALE,clean,0
p022+p023,48,SCALE,clean,0
p005+p010,46,NOSCALE,clean,0
p015+p020,47,NOSCALE,clean,0
p011+p024,46,NOSCALE,clean,1
p006+p019,47,NOSCALE,clean,0
p015+p016,48,SCALE,clean,0
p002+p003,47,SCALE,clean,0
g009+g015,47,NOSCALE,clean,0
p012+p025,48,NOSCALE,clean,0
p002+p015,46,SCALE,clean,0
p009+p010,46,SCALE,clean,0
g014+g029,46,NOSCALE,clean,0
g018+g024,48,SCALE,clean,0
p023+dualuse_scarlett_johansson_black_dress_backview_night,47,NOSCALE,clean,0
p010+p015,47,NOSCALE,clean,0
p023+p028,48,NOSCALE,clean,0
g015+p008,46,NOSCALE,clean,0
p004+p027,48,NOSCALE,clean,0
p029+g018,47,SCALE,clean,0
g011+g012,46,NOSCALE,clean,0
p029+p030,46,SCALE,clean,0
p005+p006,46,NOSCALE,clean,0
p009+p010,48,NOSCALE,clean,0
p001+p002,46,SCALE,clean,0
p029+p030,48,SCALE,clean,0
p009+p010,47,SCALE,clean,0
g014+g015,46,SCALE,clean,0
g029+p004,47,NOSCALE,clean,0
p004+p017,47,NOSCALE,clean,0
p024+p025,48,SCALE,clean,0
p009+dualuse_gal_gadot_blue_dress_redcarpet,48,SCALE,clean,0
p004+p009,46,SCALE,clean,0
p006+p019,46,NOSCALE,clean,0
p030+dualuse_queen_latifah_gown_stage,46,SCALE,clean,0
g013+g027,47,NOSCALE,clean,0
p010+p023,47,NOSCALE,clean,0
g027+p003,48,NOSCALE,fail,0
p009+p022,48,SCALE,clean,0
g014+g029,47,NOSCALE,fail,0
g004+g013,47,NOSCALE,clean,0
p028+dualuse_lp_navy_quarterzip_knit_LOWRES,46,SCALE,clean,0
g004+p001,47,SCALE,clean,0
p008+dualuse_emma_watson_black_blazer_armscrossed,47,SCALE,fail,1
p011+dualuse_man_black_suit_studio_nonceleb,48,SCALE,clean,0
p009+p022,48,NOSCALE,clean,0
p022+p023,47,NOSCALE,clean,0
p021+p026,46,NOSCALE,clean,0
p007+p030,46,NOSCALE,clean,0
p004+p017,46,SCALE,clean,0
p016+p021,48,NOSCALE,clean,0
g009+g011,47,NOSCALE,clean,1
p021+g004,47,NOSCALE,clean,0
g029+p004,46,NOSCALE,clean,0
p006+p011,48,SCALE,fail,0
p018+dualuse_lp_navy_quarterzip_knit_LOWRES,46,NOSCALE,clean,0
p030+dualuse_emma_watson_black_blazer_armscrossed,46,NOSCALE,clean,0
p018+p019,47,SCALE,clean,0
p023+p024,46,SCALE,clean,0
p002+p007,48,NOSCALE,clean,0
p008+p021,46,SCALE,clean,0
p029+dualuse_lp_plaid_overcoat_brown_suit,47,SCALE,clean,0
p004+p009,48,SCALE,clean,0
g014+g015,46,NOSCALE,clean,0
p014+p015,46,NOSCALE,clean,0
p003+p016,47,SCALE,clean,0
p014+p019,46,SCALE,clean,0
p014+p027,48,NOSCALE,clean,0
p022+dualuse_queen_latifah_gown_stage,47,NOSCALE,fail,0
g011+p004,47,NOSCALE,clean,0
p026+dualuse_lp_beige_long_coat_menswear,47,NOSCALE,clean,0
p015+p028,47,SCALE,clean,0
p018+p023,48,SCALE,clean,0
g012+p005,48,SCALE,clean,0
p012+p017,47,NOSCALE,fail,0
p009+dualuse_gal_gadot_blue_dress_redcarpet,47,SCALE,clean,0
g011+g018,48,NOSCALE,clean,0
g004+g005,47,NOSCALE,fail,0
p006+p019,48,NOSCALE,clean,0
p021+g004,47,SCALE,clean,0
p014+dualuse_woman_top_denim_skirt_nonceleb,47,NOSCALE,clean,0
p002+p015,46,NOSCALE,clean,0
g029+p012,47,NOSCALE,clean,0
p001+p014,48,SCALE,clean,0
p005+p006,47,NOSCALE,clean,0
p005+p028,46,NOSCALE,clean,0
p002+p003,47,NOSCALE,clean,0
p008+p021,47,SCALE,clean,0
p008+p009,47,NOSCALE,clean,0
p020+p025,48,SCALE,clean,0
p020+p021,47,SCALE,clean,0
g012+g013,47,SCALE,clean,0
g013+g027,47,SCALE,clean,0
p013+p026,47,SCALE,clean,0
p013+p018,47,SCALE,clean,0
p008+p009,46,SCALE,clean,0
p025+p030,46,NOSCALE,clean,0
p003+p008,48,NOSCALE,clean,0
p009+dualuse_gal_gadot_blue_dress_redcarpet,46,NOSCALE,clean,0
