set_id,seed,fid_V,fid_BC,real_V,real_BC,mean_V,mean_BC,vlm_winner,garment_V,identity_V,scene_V,clean_V,hands_V,realism_V,garment_BC,identity_BC,scene_BC,clean_BC,hands_BC,realism_BC
dualuse_emma_watson_black_blazer_armscrossed+dualuse_gal_gadot_blue_dress_redcarpet,46,4.0,4.33,4.0,4.0,4.0,4.17,BC,3,4,5,4,4,4,3,5,5,4,4,4
dualuse_emma_watson_black_blazer_armscrossed+dualuse_gal_gadot_blue_dress_redcarpet,47,3.33,4.0,3.33,3.67,3.33,3.83,BC,2,4,4,3,3,4,3,4,5,4,3,4
dualuse_emma_watson_black_blazer_armscrossed+dualuse_gal_gadot_blue_dress_redcarpet,48,4.33,4.33,4.0,4.0,4.17,4.17,tie,3,5,5,4,4,4,3,5,5,4,4,4
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,46,4.0,3.33,3.67,4.0,3.83,3.67,V,3,4,5,3,4,4,2,4,4,4,4,4
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,48,3.67,4.0,3.67,4.0,3.67,4.0,BC,2,4,5,3,4,4,3,4,5,4,4,4
dualuse_emma_watson_black_blazer_armscrossed+g004,46,4.33,4.67,4.0,4.0,4.17,4.33,BC,3,5,5,4,4,4,4,5,5,4,4,4
dualuse_emma_watson_black_blazer_armscrossed+g004,47,4.33,4.33,4.0,4.0,4.17,4.17,tie,3,5,5,4,4,4,3,5,5,4,4,4
dualuse_emma_watson_black_blazer_armscrossed+g004,48,4.33,4.33,4.0,4.0,4.17,4.17,tie,4,5,4,4,4,4,3,5,5,4,4,4
dualuse_emma_watson_black_blazer_armscrossed+g027,46,4.33,4.33,4.0,4.0,4.17,4.17,tie,4,4,5,4,4,4,4,4,5,4,4,4
dualuse_emma_watson_black_blazer_armscrossed+g027,47,4.33,4.67,3.67,3.67,4.0,4.17,BC,3,5,5,3,4,4,4,5,5,3,4,4
dualuse_emma_watson_black_blazer_armscrossed+g027,48,4.33,3.67,4.0,3.67,4.17,3.67,V,4,4,5,4,4,4,4,3,4,3,4,4
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_hugh_jackman_grey_suit_outdoor,46,3.67,3.67,3.33,3.67,3.5,3.67,BC,3,4,4,3,3,4,3,4,4,4,3,4
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_hugh_jackman_grey_suit_outdoor,47,3.67,4.0,4.0,4.0,3.83,4.0,BC,3,4,4,4,4,4,3,4,5,4,4,4
