set_id,seed,vote,nudge
dualuse_emma_watson_black_blazer_armscrossed+dualuse_gal_gadot_blue_dress_redcarpet,46,tie,
dualuse_emma_watson_black_blazer_armscrossed+dualuse_gal_gadot_blue_dress_redcarpet,47,tie,
dualuse_emma_watson_black_blazer_armscrossed+dualuse_gal_gadot_blue_dress_redcarpet,48,tie,
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,46,B,
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,47,B,
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,48,B,
dualuse_emma_watson_black_blazer_armscrossed+g004,46,tie,
dualuse_emma_watson_black_blazer_armscrossed+g004,47,tie,
dualuse_emma_watson_black_blazer_armscrossed+g004,48,tie,
dualuse_emma_watson_black_blazer_armscrossed+g027,46,tie,
dualuse_emma_watson_black_blazer_armscrossed+g027,47,tie,
dualuse_emma_watson_black_blazer_armscrossed+g027,48,tie,
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_hugh_jackman_grey_suit_outdoor,46,tie,
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_hugh_jackman_grey_suit_outdoor,47,tie,
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_hugh_jackman_grey_suit_outdoor,48,tie,
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_woman_top_denim_skirt_nonceleb,46,tie,
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_woman_top_denim_skirt_nonceleb,47,tie,
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_woman_top_denim_skirt_nonceleb,48,tie,
dualuse_gal_gadot_blue_dress_redcarpet+g005,46,tie,
dualuse_gal_gadot_blue_dress_redcarpet+g005,47,tie,
dualuse_gal_gadot_blue_dress_redcarpet+g005,48,tie,
dualuse_gal_gadot_blue_dress_redcarpet+g029,46,tie,
dualuse_gal_gadot_blue_dress_redcarpet+g029,47,tie,
dualuse_gal_gadot_blue_dress_redcarpet+g029,48,tie,
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_man_black_suit_studio_nonceleb,46,tie,
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_man_black_suit_studio_nonceleb,47,tie,
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_man_black_suit_studio_nonceleb,48,tie,
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,46,fail,
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,47,fail,
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,48,fail,
dualuse_hugh_jackman_grey_suit_outdoor+g009,46,tie,
dualuse_hugh_jackman_grey_suit_outdoor+g009,47,tie,
dualuse_hugh_jackman_grey_suit_outdoor+g009,48,tie,
