set_id,seed,verdict
g027+p003,49,latest
g027+p003,50,latest
g027+p003,51,latest
dualuse_lp_floral_kimono_set+g005,49,latest
dualuse_lp_floral_kimono_set+g005,50,latest
dualuse_lp_floral_kimono_set+g005,51,last
dualuse_lp_floral_kimono_set+g024,49,latest
dualuse_lp_floral_kimono_set+g024,50,last
dualuse_lp_floral_kimono_set+g024,51,tie
g004+g005,49,tie
g004+g005,50,tie
g004+g005,51,tie
g014+g029,49,tie
g014+g029,50,tie
g014+g029,51,tie
p001+p014,49,last
p001+p014,50,last
p001+p014,51,latest
p011+p024,49,tie
p011+p024,50,tie
p011+p024,51,tie
p018+dualuse_lp_navy_quarterzip_knit_LOWRES,49,tie
p018+dualuse_lp_navy_quarterzip_knit_LOWRES,50,tie
p018+dualuse_lp_navy_quarterzip_knit_LOWRES,51,tie
p020+dualuse_navy_peacoat_onmodel,49,tie
p020+dualuse_navy_peacoat_onmodel,50,tie
p020+dualuse_navy_peacoat_onmodel,51,tie
p020+p021,49,tie
p020+p021,50,tie
p020+p021,51,tie
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,49,last
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,50,last
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,51,last
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,49,original
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,50,original
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,51,original
g005+g014,49,last
g005+g014,50,tie
g005+g014,51,last
g024+p002,49,tie
g024+p002,50,tie
g024+p002,51,tie
g029+p004,49,last
g029+p004,50,last
g029+p004,51,last
p013+dualuse_scarlett_johansson_black_dress_backview_night,49,last
p013+dualuse_scarlett_johansson_black_dress_backview_night,50,latest
p013+dualuse_scarlett_johansson_black_dress_backview_night,51,original
p015+dualuse_zendaya_white_blazer_skirt,49,tie
p015+dualuse_zendaya_white_blazer_skirt,50,tie
p015+dualuse_zendaya_white_blazer_skirt,51,tie
p025+dualuse_zendaya_white_blazer_skirt,49,tie
p025+dualuse_zendaya_white_blazer_skirt,50,tie
p025+dualuse_zendaya_white_blazer_skirt,51,tie
dualuse_lp_plaid_overcoat_brown_suit+g029,49,tie
dualuse_lp_plaid_overcoat_brown_suit+g029,50,tie
dualuse_lp_plaid_overcoat_brown_suit+g029,51,tie
dualuse_navy_peacoat_onmodel+g030,49,tie
dualuse_navy_peacoat_onmodel+g030,50,tie
dualuse_navy_peacoat_onmodel+g030,51,tie
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,49,tie
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,50,tie
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,51,tie
dualuse_zendaya_white_blazer_skirt+dualuse_navy_peacoat_onmodel,49,tie
dualuse_zendaya_white_blazer_skirt+dualuse_navy_peacoat_onmodel,50,tie
dualuse_zendaya_white_blazer_skirt+dualuse_navy_peacoat_onmodel,51,tie
g018+g024,49,tie
g018+g024,50,tie
g018+g024,51,tie
p003+p026,49,tie
p003+p026,50,tie
p003+p026,51,tie
p011+p016,49,tie
p011+p016,50,tie
p011+p016,51,tie
p015+p016,49,tie
p015+p016,50,tie
p015+p016,51,tie
p026+g013,49,tie
p026+g013,50,tie
p026+g013,51,tie
p028+g015,49,tie
p028+g015,50,tie
p028+g015,51,tie
p030+dualuse_queen_latifah_gown_stage,49,tie
p030+dualuse_queen_latifah_gown_stage,50,tie
p030+dualuse_queen_latifah_gown_stage,51,tie
p030+g024,49,tie
p030+g024,50,tie
p030+g024,51,tie
p019+dualuse_gal_gadot_blue_dress_redcarpet,49,tie
p019+dualuse_gal_gadot_blue_dress_redcarpet,50,tie
p019+dualuse_gal_gadot_blue_dress_redcarpet,51,tie
