set_id,seed,judge_verdict,audit
dualuse_lp_beige_long_coat_menswear+g018,46,fail,wrong
dualuse_lp_beige_long_coat_menswear+g018,47,fail,wrong
dualuse_lp_beige_long_coat_menswear+g018,48,fail,wrong
g013+p006,46,fail,wrong
g013+p006,47,fail,wrong
g013+p006,48,fail,wrong
g029+p012,46,fail,agree
g029+p012,47,fail,agree
g029+p012,48,fail,agree
dualuse_lp_plaid_overcoat_brown_suit+g011,46,fail,passable
g009+p003,46,fail,passable
p005+p010,46,fail,passable
p022+g005,46,fail,wrong
g009+g011,46,fail,agree
g009+g011,47,fail,agree
g009+g011,48,fail,wrong
g015+g030,46,fail,agree
g015+g030,47,fail,passable
g015+g030,48,fail,passable
g005+g009,46,fail,agree
g005+g009,47,fail,agree
g005+g009,48,fail,agree
p024+g011,46,fail,wrong
p024+g011,47,fail,wrong
p024+g011,48,fail,wrong
p024+dualuse_woman_top_denim_skirt_nonceleb,47,fail,wrong
p024+dualuse_woman_top_denim_skirt_nonceleb,48,fail,wrong
dualuse_lp_plaid_overcoat_brown_suit+g029,46,fail,passable
p003+p026,46,fail,agree
p017+dualuse_lp_floral_kimono_set,46,fail,wrong
p006+p019,47,fail,wrong
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_lp_navy_quarterzip_knit_LOWRES,48,fail,wrong
g029+p004,48,fail,agree
p004+p009,48,fail,wrong
p005+p006,48,fail,wrong
dualuse_lp_floral_kimono_set+dualuse_lp_navy_quarterzip_knit_LOWRES,46,fail,passable
dualuse_lp_floral_kimono_set+dualuse_lp_navy_quarterzip_knit_LOWRES,47,fail,passable
dualuse_lp_floral_kimono_set+dualuse_lp_navy_quarterzip_knit_LOWRES,48,fail,passable
dualuse_lp_floral_kimono_set+g024,46,fail,agree
dualuse_lp_floral_kimono_set+g024,47,fail,wrong
dualuse_lp_floral_kimono_set+g024,48,fail,agree
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,46,fail,agree
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,47,fail,passable
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,48,fail,passable
g009+g015,46,fail,passable
g009+g015,47,fail,passable
g009+g015,48,fail,passable
g015+g018,46,fail,agree
g015+g018,47,fail,passable
g015+g018,48,fail,passable
g012+p005,46,fail,passable
g012+p005,48,fail,passable
p008+dualuse_emma_watson_black_blazer_armscrossed,46,fail,wrong
p008+dualuse_emma_watson_black_blazer_armscrossed,47,fail,passable
p008+p021,46,fail,passable
p008+p021,47,fail,wrong
p025+dualuse_zendaya_white_blazer_skirt,46,fail,passable
p025+dualuse_zendaya_white_blazer_skirt,48,fail,passable
p025+p030,47,fail,passable
p025+p030,48,fail,passable
dualuse_lp_floral_kimono_set+g005,46,fail,passable
dualuse_lp_floral_kimono_set+g005,47,fail,agree
dualuse_lp_floral_kimono_set+g005,48,fail,agree
g014+g029,46,fail,wrong
g014+g029,47,fail,passable
g014+g029,48,fail,agree
g027+p011,46,fail,agree
g027+p011,47,fail,agree
g027+p011,48,fail,agree
p006+p011,46,fail,wrong
p006+p011,47,fail,wrong
p006+p011,48,fail,wrong
p010+p011,46,fail,wrong
p010+p011,47,fail,wrong
p010+p011,48,fail,wrong
p019+p020,46,fail,agree
p019+p020,47,fail,agree
p019+p020,48,fail,agree
p009+p022,46,fail,wrong
p009+p022,47,fail,wrong
p009+p022,48,fail,wrong
dualuse_queen_latifah_gown_stage+dualuse_scarlett_johansson_black_dress_backview_night,46,fail,passable
dualuse_queen_latifah_gown_stage+dualuse_scarlett_johansson_black_dress_backview_night,47,fail,passable
dualuse_queen_latifah_gown_stage+dualuse_scarlett_johansson_black_dress_backview_night,48,fail,passable
g004+g005,46,fail,agree
g004+g005,47,fail,agree
g004+g005,48,fail,agree
g014+p007,46,fail,passable
g014+p007,47,fail,passable
g014+p007,48,fail,passable
g024+p010,46,fail,passable
g024+p010,47,fail,passable
g024+p010,48,fail,passable
p001+p024,46,fail,agree
p001+p024,47,fail,agree
p001+p024,48,fail,agree
p008+p013,46,fail,wrong
p008+p013,47,fail,wrong
p008+p013,48,fail,wrong
p009+p010,46,fail,wrong
p009+p010,47,fail,wrong
p009+p010,48,fail,wrong
p019+dualuse_gal_gadot_blue_dress_redcarpet,46,fail,passable
p019+dualuse_gal_gadot_blue_dress_redcarpet,47,fail,passable
p019+dualuse_gal_gadot_blue_dress_redcarpet,48,fail,passable
p029+g018,46,fail,wrong
p029+g018,47,fail,wrong
p029+g018,48,fail,wrong
p007+p020,46,fail,wrong
p007+p020,47,fail,wrong
p015+p016,46,fail,wrong
p015+p016,47,fail,wrong
p022+dualuse_queen_latifah_gown_stage,46,fail,passable
p022+dualuse_queen_latifah_gown_stage,47,fail,passable
dualuse_man_black_suit_studio_nonceleb+g011,47,fail,agree
dualuse_man_black_suit_studio_nonceleb+g011,48,fail,passable
p003+p004,47,fail,wrong
p003+p004,48,fail,wrong
p015+p028,47,fail,wrong
p015+p028,48,fail,wrong
dualuse_gal_gadot_blue_dress_redcarpet+g029,46,fail,passable
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,47,fail,agree
p013+dualuse_scarlett_johansson_black_dress_backview_night,47,fail,passable
p020+dualuse_navy_peacoat_onmodel,47,fail,wrong
p023+p024,47,fail,wrong
p025+p026,47,fail,wrong
p026+g013,47,fail,passable
p011+p016,48,fail,wrong
p016+p017,48,fail,wrong
p028+dualuse_lp_navy_quarterzip_knit_LOWRES,48,fail,wrong
p030+dualuse_navy_peacoat_onmodel,48,fail,wrong
p011+p024,46,fail,wrong
p011+p024,47,fail,wrong
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,46,fail,passable
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,47,fail,passable
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,48,fail,passable
g005+p002,46,fail,agree
g005+p002,47,fail,agree
g005+p002,48,fail,agree
g027+g029,46,fail,agree
g027+g029,47,fail,agree
g027+g029,48,fail,agree
p015+dualuse_zendaya_white_blazer_skirt,46,fail,passable
p015+dualuse_zendaya_white_blazer_skirt,47,fail,passable
p015+dualuse_zendaya_white_blazer_skirt,48,fail,passable
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,46,fail,agree
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,48,fail,wrong
p019+dualuse_lp_plaid_overcoat_brown_suit,46,fail,wrong
p019+dualuse_lp_plaid_overcoat_brown_suit,48,fail,wrong
p020+p025,46,fail,wrong
p020+p025,47,fail,wrong
p028+dualuse_hugh_jackman_grey_suit_outdoor,46,fail,passable
p028+dualuse_hugh_jackman_grey_suit_outdoor,48,fail,passable
g013+g027,47,fail,wrong
g013+g027,48,fail,wrong
p019+p024,47,fail,wrong
p019+p024,48,fail,wrong
p023+g009,47,fail,wrong
p023+g009,48,fail,wrong
g011+g018,46,fail,wrong
g011+g018,47,fail,wrong
g011+g018,48,fail,wrong
g024+p002,46,fail,passable
g024+p002,47,fail,passable
g024+p002,48,fail,passable
g004+p001,46,fail,passable
g004+p001,47,fail,passable
g004+p001,48,fail,passable
g013+g014,46,fail,passable
g013+g014,47,fail,passable
g018+p009,46,fail,wrong
g018+p009,47,fail,wrong
p028+g015,47,fail,passable
p028+g015,48,fail,passable
p030+g024,47,fail,agree
p030+g024,48,fail,agree
p002+p003,47,fail,agree
g011+p004,48,fail,wrong
