set_id,seed,vei_verdict,best_arm,report_example
p001+p002,46,clean,VEi,
p001+p002,47,mid,VEi,yes
p001+p002,48,clean,VEi,
p002+p003,46,clean,VEi,
p002+p003,47,fail,VEi,yes
p002+p003,48,clean,VEi,
p003+p004,46,clean,VEi,
p003+p004,47,clean,VEi,
p003+p004,48,clean,VEi,
p004+p005,46,clean,VEi,
p004+p005,47,clean,VEi,
p004+p005,48,clean,VEi,
p005+p006,46,clean,VEi,
p005+p006,47,clean,VEi,
p005+p006,48,clean,VEi,
p006+p007,46,clean,VEi,
p006+p007,47,clean,VEi,
p006+p007,48,clean,VEi,
p007+p008,46,clean,VEi,
p007+p008,47,clean,VEi,
p007+p008,48,clean,VEi,
p008+p009,46,clean,VEi,
p008+p009,47,clean,VEi,
p008+p009,48,clean,VEi,
p009+p010,46,clean,VEi,
p009+p010,47,clean,VEi,
p009+p010,48,clean,VEi,
p010+p011,46,clean,VEi,
p010+p011,47,clean,VEi,
p010+p011,48,clean,VEi,
p011+p012,46,clean,VEi,
p011+p012,47,clean,VEi,
p011+p012,48,clean,VEi,
p012+p013,46,clean,VEi,
p012+p013,47,clean,VEi,
p012+p013,48,clean,VEi,
p013+p014,46,clean,VEi,yes
p013+p014,47,clean,VEi,
p013+p014,48,clean,VEi,
p014+p015,46,clean,VEi,
p014+p015,47,clean,VEi,
p014+p015,48,clean,VEi,
p015+p016,46,clean,VEi,
p015+p016,47,clean,VEi,
p015+p016,48,clean,VEi,yes
p016+p017,46,clean,VEi,
p016+p017,47,clean,VEi,
p016+p017,48,clean,VEi,
p017+p018,46,clean,VEi,
p017+p018,47,clean,VEi,
p017+p018,48,clean,VEi,
p018+p019,46,clean,VEi,
p018+p019,47,clean,VEi,
p018+p019,48,clean,VEi,
p019+p020,46,fail,VEi,
p019+p020,47,fail,VEi,
p019+p020,48,fail,VEi,
p020+p021,46,clean,VEi,
p020+p021,47,clean,VEi,
p020+p021,48,clean,VEi,
p021+p022,46,clean,VEi,
p021+p022,47,clean,VEi,
p021+p022,48,clean,VEi,
p022+p023,46,clean,VEi,
p022+p023,47,mid,VEi,
p022+p023,48,clean,VEi,
p023+p024,46,clean,VEi,
p023+p024,47,clean,VEi,
p023+p024,48,clean,VEi,
p024+p025,46,clean,VEi,yes
p024+p025,47,clean,VEi,
p024+p025,48,clean,VEi,
p025+p026,46,clean,VEi,
p025+p026,47,clean,VEi,
p025+p026,48,clean,VEi,
p026+p027,46,clean,VEi,
p026+p027,47,clean,VEi,
p026+p027,48,clean,VEi,
p027+p028,46,clean,VEi,
p027+p028,47,clean,VEi,
p027+p028,48,clean,VEi,
p028+p029,46,fail,VEi,yes
p028+p029,47,clean,VEi,
p028+p029,48,clean,VEi,
p029+p030,46,clean,VEi,
p029+p030,47,clean,VEi,
p029+p030,48,clean,VEi,
p030+dualuse_emma_watson_black_blazer_armscrossed,46,clean,VEi,
p030+dualuse_emma_watson_black_blazer_armscrossed,47,clean,VEi,
p030+dualuse_emma_watson_black_blazer_armscrossed,48,clean,VEi,
dualuse_emma_watson_black_blazer_armscrossed+dualuse_gal_gadot_blue_dress_redcarpet,46,clean,VEi,
dualuse_emma_watson_black_blazer_armscrossed+dualuse_gal_gadot_blue_dress_redcarpet,47,clean,VEi,
dualuse_emma_watson_black_blazer_armscrossed+dualuse_gal_gadot_blue_dress_redcarpet,48,clean,VEi,
