set_id,seed,verdict
dualuse_lp_floral_kimono_set+g005,49,fail_better
dualuse_lp_floral_kimono_set+g005,50,fail_better
dualuse_lp_floral_kimono_set+g005,51,pass
dualuse_lp_floral_kimono_set+g024,49,worse
dualuse_lp_floral_kimono_set+g024,50,pass
dualuse_lp_floral_kimono_set+g024,51,pass
g004+g005,49,worse
g004+g005,50,pass
g004+g005,51,fail_better
g014+g029,49,pass
g014+g029,50,pass
g014+g029,51,pass
p001+p014,49,pass
p001+p014,50,pass
p001+p014,51,fail_better
p011+p024,49,pass
p011+p024,50,pass
p011+p024,51,pass
p018+dualuse_lp_navy_quarterzip_knit_LOWRES,49,pass
p018+dualuse_lp_navy_quarterzip_knit_LOWRES,50,pass
p018+dualuse_lp_navy_quarterzip_knit_LOWRES,51,pass
p020+dualuse_navy_peacoat_onmodel,49,pass
p020+dualuse_navy_peacoat_onmodel,50,pass
p020+dualuse_navy_peacoat_onmodel,51,pass
p020+p021,49,pass
p020+p021,50,pass
p020+p021,51,pass
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,49,pass
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,50,pass
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,51,pass
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,49,pass
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,50,pass
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,51,pass
g005+g014,49,pass
g005+g014,50,pass
g005+g014,51,pass
g024+p002,49,pass
g024+p002,50,pass
g024+p002,51,pass
g029+p004,49,worse
g029+p004,50,pass
g029+p004,51,pass
p013+dualuse_scarlett_johansson_black_dress_backview_night,49,pass
p013+dualuse_scarlett_johansson_black_dress_backview_night,50,fail_better
p013+dualuse_scarlett_johansson_black_dress_backview_night,51,pass
p015+dualuse_zendaya_white_blazer_skirt,49,pass
p015+dualuse_zendaya_white_blazer_skirt,50,pass
p015+dualuse_zendaya_white_blazer_skirt,51,pass
p025+dualuse_zendaya_white_blazer_skirt,49,pass
p025+dualuse_zendaya_white_blazer_skirt,50,pass
p025+dualuse_zendaya_white_blazer_skirt,51,pass
dualuse_lp_plaid_overcoat_brown_suit+g029,49,pass
dualuse_lp_plaid_overcoat_brown_suit+g029,50,pass
dualuse_lp_plaid_overcoat_brown_suit+g029,51,pass
dualuse_navy_peacoat_onmodel+g030,49,fail_better
dualuse_navy_peacoat_onmodel+g030,50,pass
dualuse_navy_peacoat_onmodel+g030,51,pass
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,49,pass
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,50,pass
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,51,pass
dualuse_zendaya_white_blazer_skirt+dualuse_navy_peacoat_onmodel,49,pass
dualuse_zendaya_white_blazer_skirt+dualuse_navy_peacoat_onmodel,50,pass
dualuse_zendaya_white_blazer_skirt+dualuse_navy_peacoat_onmodel,51,pass
g018+g024,49,pass
g018+g024,50,pass
g018+g024,51,pass
p003+p026,49,pass
p003+p026,50,pass
p003+p026,51,pass
p011+p016,49,pass
p011+p016,50,pass
p011+p016,51,pass
p015+p016,49,worse
p015+p016,50,pass
p015+p016,51,pass
p026+g013,49,pass
p026+g013,50,pass
p026+g013,51,worse
p028+g015,49,pass
p028+g015,50,pass
p028+g015,51,pass
p030+dualuse_queen_latifah_gown_stage,49,fail_better
p030+dualuse_queen_latifah_gown_stage,50,pass
p030+dualuse_queen_latifah_gown_stage,51,pass
p030+g024,49,fail_better
p030+g024,50,pass
p030+g024,51,pass
g027+p003,49,worse
g027+p003,50,worse
g027+p003,51,worse
p019+dualuse_gal_gadot_blue_dress_redcarpet,49,fail_better
p019+dualuse_gal_gadot_blue_dress_redcarpet,50,fail_better
p019+dualuse_gal_gadot_blue_dress_redcarpet,51,fail_better
