set_id,seed,bc_failed,er_failed,er2,hold
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,46,fail,,fails,
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,46,fail,,fails,held
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,47,fail,,clean,held
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,48,fail,,clean,held
dualuse_lp_floral_kimono_set+g005,46,fail,,fails,held
dualuse_lp_floral_kimono_set+g005,47,fail,,fails,held
dualuse_lp_floral_kimono_set+g005,48,fail,fail,fails,held
dualuse_man_black_suit_studio_nonceleb+g011,47,fail,,,held
dualuse_navy_peacoat_onmodel+g030,47,fail,,clean,
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,47,fail,fail,fails,held
dualuse_scarlett_johansson_black_dress_backview_night+g013,48,fail,,fails,held
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_plaid_overcoat_brown_suit,47,fail,fail,fails,held
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_plaid_overcoat_brown_suit,48,fail,,clean,
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,46,fail,fail,fails,held
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,48,fail,,fails,
g004+g005,46,fail,fail,fails,held
g004+g005,47,fail,fail,fails,held
g004+g005,48,fail,fail,fails,held
g005+g009,46,,fail,clean,
g005+g009,47,fail,fail,clean,
g005+g009,48,fail,,clean,
g005+g014,47,,fail,fails,
g005+p002,47,fail,,clean,
g005+p002,48,fail,fail,fails,held
g013+p006,46,fail,,fails,held
g013+p006,48,fail,,fails,held
g014+g029,47,fail,,fails,held
g014+g029,48,fail,,fails,held
g015+g018,48,fail,,fails,held
g024+p010,47,fail,fail,fails,held
g027+p003,46,fail,,fails,held
g027+p003,48,fail,,,held
g027+p011,48,fail,fail,fails,held
g029+p012,48,fail,,clean,held
g030+p013,47,fail,fail,fails,held
p006+p011,48,fail,,clean,
p006+p029,47,fail,,clean,
p008+dualuse_emma_watson_black_blazer_armscrossed,47,fail,fail,fails,held
p008+dualuse_emma_watson_black_blazer_armscrossed,48,,fail,fails,held
p008+p013,47,fail,fail,fails,held
p012+dualuse_queen_latifah_gown_stage,46,fail,fail,fails,held
p012+dualuse_queen_latifah_gown_stage,47,fail,,clean,
p012+p017,47,fail,,clean,
p012+p025,47,fail,,clean,
p013+dualuse_scarlett_johansson_black_dress_backview_night,46,fail,,clean,
p013+dualuse_scarlett_johansson_black_dress_backview_night,47,fail,,clean,
p013+dualuse_scarlett_johansson_black_dress_backview_night,48,fail,,clean,
p016+p021,46,fail,,fails,held
p019+dualuse_gal_gadot_blue_dress_redcarpet,46,fail,,fails,held
p019+dualuse_gal_gadot_blue_dress_redcarpet,47,fail,,clean,
p019+dualuse_gal_gadot_blue_dress_redcarpet,48,fail,,fails,held
p022+dualuse_queen_latifah_gown_stage,46,fail,,clean,held
p022+dualuse_queen_latifah_gown_stage,47,fail,,clean,held
