set_id,seed,bc,better,showcase
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,46,fail,,
dualuse_navy_peacoat_onmodel+g030,47,fail,same,
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,47,fail,,
dualuse_scarlett_johansson_black_dress_backview_night+g013,48,fail,,
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,46,fail,,
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,47,fail,,
dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,48,fail,ER,
g004+g005,46,fail,,
g004+g005,47,fail,,
g004+g005,48,fail,,
g005+g009,47,fail,,
g005+g009,48,fail,ER,
g005+p002,47,fail,ER,
g005+p002,48,fail,ER,
g013+p006,46,fail,,
g013+p006,48,fail,,
g027+g029,48,fail,,
g030+p013,47,fail,,
p008+dualuse_emma_watson_black_blazer_armscrossed,47,fail,,
p008+p013,47,fail,,
p008+p021,48,fail,,
p011+p024,47,fail,,
p012+dualuse_queen_latifah_gown_stage,46,fail,,
p012+dualuse_queen_latifah_gown_stage,47,fail,ER,
p013+dualuse_scarlett_johansson_black_dress_backview_night,46,fail,ER,
p013+dualuse_scarlett_johansson_black_dress_backview_night,48,fail,,
p016+p029,46,fail,,
p022+dualuse_queen_latifah_gown_stage,46,fail,,
p022+dualuse_queen_latifah_gown_stage,47,fail,,
dualuse_emma_watson_black_blazer_armscrossed+dualuse_gal_gadot_blue_dress_redcarpet,46,ok,,
dualuse_emma_watson_black_blazer_armscrossed+g027,48,ok,,
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_woman_top_denim_skirt_nonceleb,48,ok,,
dualuse_gal_gadot_blue_dress_redcarpet+g005,48,ok,,
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,47,ok,,
dualuse_hugh_jackman_grey_suit_outdoor+g009,48,ok,,
dualuse_lp_beige_long_coat_menswear+dualuse_lp_floral_kimono_set,46,ok,,
dualuse_lp_beige_long_coat_menswear+g018,46,ok,,
dualuse_lp_beige_long_coat_menswear+g018,48,ok,,
dualuse_lp_floral_kimono_set+dualuse_lp_navy_quarterzip_knit_LOWRES,48,ok,,
dualuse_lp_navy_quarterzip_knit_LOWRES+g009,48,ok,,
dualuse_lp_plaid_overcoat_brown_suit+dualuse_navy_peacoat_onmodel,48,ok,,
dualuse_lp_plaid_overcoat_brown_suit+g029,47,ok,,
dualuse_lp_plaid_overcoat_brown_suit+g029,48,ok,,
dualuse_man_black_suit_studio_nonceleb+dualuse_lp_beige_long_coat_menswear,47,ok,,
dualuse_man_black_suit_studio_nonceleb+dualuse_lp_beige_long_coat_menswear,48,ok,,
dualuse_man_black_suit_studio_nonceleb+g011,48,ok,,
dualuse_navy_peacoat_onmodel+g004,47,ok,,
dualuse_queen_latifah_gown_stage+dualuse_scarlett_johansson_black_dress_backview_night,47,ok,,
dualuse_queen_latifah_gown_stage+g012,46,ok,,
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_lp_navy_quarterzip_knit_LOWRES,46,ok,,
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_lp_navy_quarterzip_knit_LOWRES,47,ok,,
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_plaid_overcoat_brown_suit,46,ok,,
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_plaid_overcoat_brown_suit,48,ok,ER,
dualuse_zendaya_white_blazer_skirt+dualuse_lp_beige_long_coat_menswear,48,ok,,
dualuse_zendaya_white_blazer_skirt+dualuse_navy_peacoat_onmodel,48,ok,,
g004+g013,47,ok,,
g004+g013,48,ok,,
g004+p001,47,ok,,
g011+g012,48,ok,,
g011+g018,48,ok,,
g011+p004,47,ok,,
g013+g014,46,ok,,
g013+g014,47,ok,,
g013+g014,48,ok,,
g013+g027,48,ok,,
g014+g015,48,ok,,
g015+g030,48,ok,,
g018+p009,48,ok,,
g024+g027,46,ok,,
g024+p002,48,ok,,
g024+p010,46,ok,,
g024+p010,47,ok,,
g024+p010,48,ok,,
g027+p003,47,ok,,
g029+g030,47,ok,,
g029+p004,46,ok,,
p001+p006,46,ok,,
p001+p024,46,ok,,
p002+p003,46,ok,,
p002+p015,47,ok,,
p003+p016,48,ok,,
p004+p017,46,ok,,
p005+p018,47,ok,,
p005+p028,48,ok,,
p006+p019,48,ok,,
p006+p029,47,ok,,
p007+p008,46,ok,,
p007+p020,48,ok,,
p008+p009,46,ok,,
p009+p014,46,ok,,
p010+dualuse_hugh_jackman_grey_suit_outdoor,46,ok,,
p010+p011,48,ok,,
p010+p015,46,ok,,
p010+p015,48,ok,,
p010+p023,46,ok,,
p010+p023,47,ok,,
p010+p023,48,ok,,
p011+p012,47,ok,,
p011+p012,48,ok,,
p011+p016,46,ok,,
p013+dualuse_scarlett_johansson_black_dress_backview_night,47,ok,,
p013+p014,48,ok,,
p013+p018,47,ok,,
p013+p018,48,ok,,
p013+p026,48,ok,,
p014+dualuse_woman_top_denim_skirt_nonceleb,48,ok,,
p014+p015,46,ok,,
p014+p015,47,ok,,
p014+p019,47,ok,,
p015+p020,47,ok,,
p015+p028,48,ok,,
p016+dualuse_lp_beige_long_coat_menswear,48,ok,,
p016+p017,48,ok,,
p016+p029,47,ok,,
p016+p029,48,ok,,
p017+dualuse_lp_floral_kimono_set,48,ok,,
p017+p018,47,ok,,
p017+p030,47,ok,,
p018+dualuse_emma_watson_black_blazer_armscrossed,48,ok,,
p018+p019,46,ok,,
p019+p020,47,ok,,
p020+dualuse_hugh_jackman_grey_suit_outdoor,48,ok,,
p020+dualuse_navy_peacoat_onmodel,46,ok,,
p021+dualuse_man_black_suit_studio_nonceleb,47,ok,,
p021+p026,46,ok,,
p022+p023,46,ok,,
p022+p023,47,ok,,
p022+p023,48,ok,,
p023+dualuse_scarlett_johansson_black_dress_backview_night,47,ok,,
p023+g009,48,ok,,
p023+p024,46,ok,,
p023+p024,47,ok,,
p024+g011,46,ok,,
p024+g011,47,ok,,
p025+dualuse_zendaya_white_blazer_skirt,46,ok,,
p026+dualuse_lp_beige_long_coat_menswear,46,ok,,
p026+dualuse_lp_beige_long_coat_menswear,47,ok,,
p026+g013,47,ok,,
p027+dualuse_lp_floral_kimono_set,48,ok,,
p028+dualuse_lp_navy_quarterzip_knit_LOWRES,47,ok,,
p028+dualuse_lp_navy_quarterzip_knit_LOWRES,48,ok,,
